"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Bleday, JJ","668709","448","18.6",37.1,"113.3","88.5","99","90.9","86.8","417","183","392","162",36.2,"37",8.3,5.8
"Rooker, Brent","667670","373","18.9",38.3,"113.4","91.9","103.3","96.9","87.2","452","202","413","185",49.6,"62",16.6,10.1
"Langeliers, Shea","669127","343","16.3",35.3,"113.7","91.3","102.1","95.4","88.3","454","178","404","151",44,"44",12.8,8.2
"Gelof, Zack","680869","317","14.2",34.4,"109.1","89.2","99","93.1","85.5","436","163","406","118",37.2,"28",8.8,5.1
"Butler, Lawrence","671732","308","11.3",35.1,"113.1","91.1","101.8","94.6","88","457","177","405","146",47.4,"34",11,7.5
"Schuemann, Max","680474","286","16.6",39.5,"105.4","89","97.7","91.8","86.3","403","175","379","107",37.4,"16",5.6,3.5
"Toro, Abraham","647351","277","12.2",33.2,"109.9","87.2","97.5","90.7","85.7","415","156","396","82",29.6,"12",4.3,3.3
"Brown, Seth","664913","261","14.6",35.2,"110.9","90","100.9","94","86.7","445","174","404","106",40.6,"22",8.4,5.5
"Andujar, Miguel","609280","261","9.2",26.1,"110.8","86.1","97.9","87.9","86.9","412","132","388","88",33.7,"7",2.7,2.2
"Nevin, Tyler","663527","184","10.7",37,"107.9","89.8","99.1","92.9","86.3","415","167","390","75",40.8,"16",8.7,5.8
"Soderstrom, Tyler","691016","137","9.6",31.4,"112.1","91.9","102.5","97.4","87.9","431","168","407","68",49.6,"20",14.6,9.4
"Cameron, Daz","663662","121","8.6",36.4,"112.6","91.6","101.3","92.7","91.5","419","164","387","59",48.8,"10",8.3,5.4
"Hernaiz, Darell","687231","96","10.8",30.2,"107.7","87.1","97.7","87.2","88.7","391","142","391","32",33.3,"1",1,0.7
"Wilson, Jacob","805779","84","9.5",26.2,"104.6","85.4","94.5","87.8","85","352","134",,"16",19,"0",0,0
"McCann, Kyle","668832","81","12.5",30.9,"111.4","89.6","100.5","94.8","84.6","433","169","393","31",38.3,"10",12.3,6.4
"Allen, Nick","669397","80","8.9",23.8,"104.6","84.4","93.9","85.4","85.5","360","116","360","14",17.5,"1",1.3,1
"Harris, Brett","695391","79","12.8",26.6,"107.1","87.4","99.9","92.9","86.2","428","156","406","29",36.7,"4",5.1,3.3
"Noda, Ryan","676116","59","16",23.7,"108","86.2","98.8","94.6","79","367","147","367","20",33.9,"3",5.1,2.7
"Ruiz, Esteury","665923","39","17.1",28.2,"109.8","87.7","98.2","95.1","80","412","170","409","14",35.9,"4",10.3,6.2
"Alvarez, Armando","669137","29","14.8",31,"103.6","80.8","91.6","84.2","78","358","145",,"3",10.3,"0",0,0
"Gray, Tristan","656484","12","17.5",16.7,"105.7","93","101.5","88","98","284","133",,"7",58.3,"0",0,0
