"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Sears, JP","676664","557","18.1",32.5,"114.4","89.3","78.2","94.2","85.6","448","180","402","224",40.2,"57",10.2,7.5
"Spence, Mitch","687765","475","9.6",30.9,"113.7","89.5","79","92.5","87.9","441","152","399","198",41.7,"40",8.4,6.1
"Estes, Joey","683155","414","25.4",37,"113.6","89.5","79.1","93.6","86.1","448","204","391","164",39.6,"40",9.7,7.4
"Stripling, Ross","548389","309","13.6",39.8,"111.7","88.3","77.8","91.6","86.6","403","165","379","109",35.3,"21",6.8,5.5
"Harris, Hogan","663687","208","15.6",36.1,"112.8","88.9","78.6","92.7","86.2","432","176","400","82",39.4,"15",7.2,4.9
"McFarland, T.J.","519008","175","3.2",25.7,"114.9","87.5","76.1","93.5","85.7","420","118","405","61",34.9,"8",4.6,3.4
"Bido, Osvaldo","674370","163","21.7",32.5,"112","85.6","74","90.7","79.7","407","176","399","44",27,"7",4.3,2.7
"Muller, Kyle","666205","155","13.6",35.5,"116.1","90.2","80.2","92.9","89.3","411","168","385","67",43.2,"12",7.7,5.9
"Wood, Alex","622072","129","14.5",41.1,"109.3","92.3","82.3","94.1","91.9","429","176","392","63",48.8,"11",8.5,5.9
"Medina, Luis","665622","127","16.3",31.5,"111.1","89.5","77.7","92","88.6","420","168","400","57",44.9,"11",8.7,6.1
"Boyle, Joe","671212","126","16.2",32.5,"110.7","88.2","77.4","91.3","86.3","406","162","374","51",40.5,"5",4,2.2
"Miller, Mason","695243","123","17.9",28.5,"109.8","86.1","74.7","91.8","81.7","407","163","379","40",32.5,"7",5.7,2.8
"Ferguson, Tyler","621053","119","17.3",31.9,"116.3","88.2","76.6","90.6","86.7","430","172","413","46",38.7,"10",8.4,4.8
"Alexander, Scott","518397","112","-1.5",36.6,"115.1","89.2","77.4","97","84.2","411","132","393","50",44.6,"14",12.5,8.8
"Bielak, Brandon","656232","111","15.4",36,"110.8","89.2","79.1","92","87.4","425","178","405","43",38.7,"11",9.9,7.9
"Ginn, J.T.","669372","102","11.3",34.3,"109","90.3","79.4","93.7","88.7","438","153","400","46",45.1,"7",6.9,4.9
"Adams, Austin","613534","102","16.6",34.3,"108.1","85.1","73.2","91.4","80.5","404","167","380","32",31.4,"5",4.9,2.6
"Brooks, Aaron","605156","98","11.1",31.6,"113.4","91.5","81.7","96.4","87.3","443","163","416","47",48,"10",10.2,8.4
"Kelly, Michael","547184","93","18.4",40.9,"107.5","85.2","75.1","89.7","79.6","424","174","421","19",20.4,"3",3.2,2.3
"Otañez, Michel","671305","73","15.2",35.6,"106.3","86.3","75.7","91.4","83.1","383","165","368","24",32.9,"3",4.1,2
"Jiménez, Dany","666204","72","23.6",29.2,"110.1","87.2","76.4","91.9","81","427","193","402","23",31.9,"13",18.1,11.1
"Basso, Brady","669620","69","15",33.3,"108.9","89.6","81.1","92.3","90.3","405","169","384","29",42,"5",7.2,5.4
"Holman, Grant","680880","47","17.1",29.8,"108.4","84.3","72.2","89.8","81.5","374","146","374","12",25.5,"0",0,0
"Junk, Janson","676083","36","14.3",41.7,"110.4","90.5","79.1","95","84.4","399","179","391","18",50,"4",11.1,8.3
"O'Loughlin, Jack","672552","36","9.8",38.9,"110.5","90.4","79.3","95.7","85.2","366","153","366","17",47.2,"3",8.3,6.4
"Newcomb, Sean","656794","29","11.9",20.7,"108.7","88.7","77.3","91.7","89","407","144","401","13",44.8,"2",6.9,4.4
"Klein, Will","694361","25","8.9",40,"110.9","91.4","79.2","94.4","86.5","397","178",,"10",40,"2",8,5.3
"Reyes, Gerardo","622103","13","25",30.8,"104.1","92","85.6","95.7","90","346","180",,"7",53.8,"0",0,0
