"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Guerrero Jr., Vladimir","665489","524","7.4",35.1,"117.6","93.8","105.7","97.1","91.6","471","162","412","287",54.9,"72",13.7,10.3
"Springer, George","543807","432","9.4",29.2,"110.6","87.5","99.9","93.8","83","434","147","389","161",37.4,"40",9.3,6.5
"Clement, Ernie","676391","397","16.3",34.3,"109.4","85.5","95.7","90.2","81.8","415","168","393","99",24.9,"15",3.8,3.3
"Varsho, Daulton","662139","324","24.4",29.6,"110.2","86.1","98.5","91.6","83.9","427","175","391","110",34,"20",6.2,3.9
"Kirk, Alejandro","672386","298","10.8",34.6,"112.9","89.4","99.8","94.1","87.9","405","152","391","122",40.9,"20",6.7,5.2
"Horwitz, Spencer","687462","262","13.7",37.4,"108.1","88.2","98.2","92.1","85.6","421","167","396","96",36.6,"21",8,5.5
"Schneider, Davis","676914","258","21.4",38,"109.3","88.6","99","93.1","80.3","423","198","388","98",38,"31",12,6.8
"Bichette, Bo","666182","249","7.2",31.3,"111.2","89.2","100.9","92.3","87.7","431","147","416","107",43.5,"11",4.4,3.3
"Loperfido, Joey","694388","150","12.9",40.7,"110.1","88.3","98","92.1","85.5","415","163","389","52",34.7,"6",4,2.3
"Barger, Addison","680718","149","12.1",32.9,"110.7","88.3","100.6","92.4","87.2","439","157","400","57",38.3,"13",8.7,5.8
"Jiménez, Leo","677870","123","12.3",40.7,"107","87.6","97.3","91","84.5","424","173","401","41",33.3,"10",8.1,4.8
"Lukes, Nathan","664770","72","13.6",34.7,"104.3","88.9","96.5","92.2","86.7","411","155","341","20",27.8,"3",4.2,3.3
"Wagner, Will","695238","66","5.1",39.4,"109.1","90.6","101.3","94.2","87.7","419","154","401","33",50,"6",9.1,7
"Vogelbach, Daniel","596129","53","8.1",35.8,"109","90.9","101.5","93.3","88.1","403","155","394","23",45.1,"5",9.4,6.3
"Clase, Jonatan","682729","44","15.1",27.3,"105.6","87.9","96.4","88.9","87.6","381","181","380","13",29.5,"0",0,0
"Serven, Brian","661531","42","20.6",33.3,"105","84.7","94.9","91","75","382","166",,"7",16.7,"1",2.4,1.4
"Berroa, Steward","672642","23","16.3",26.1,"101.9","84.7","94.7","90.4","77.3","370","150",,"5",21.7,"0",0,0
"De Los Santos, Luis","665782","19","-5.7",26.3,"106.3","84.9","98.9","92.8","79.2","352","115",,"8",42.1,"0",0,0
"Heineman, Tyler","623168","6","37.4",16.7,"97.9","82.8","91.1","87.7",,"353","231",,"1",16.7,"0",0,0
"Martinez, Orelvis","682619","2","0.9",50,"86.6","75.4","86.6","86.6","64.2","181","97",,"0",0,"0",0,0
