"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Berríos, José","621244","565","13.4",36.3,"114.5","89.6","79.1","92.6","87.7","436","169","392","236",41.8,"44",7.8,5.6
"Gausman, Kevin","592332","535","16.1",35.5,"117.5","90.2","79.5","94.3","86.5","477","181","404","223",42.4,"52",9.7,6.9
"Bassitt, Chris","605135","504","14.3",36.1,"117.2","87.8","75.6","91","86.7","444","165","395","187",37.1,"38",7.5,5
"Yarbrough, Ryan","642232","289","14.3",33.6,"112.9","86","74.8","91","83","429","157","389","85",29.4,"18",6.2,4.5
"Francis, Bowden","670102","287","18.9",35.5,"112.2","89.1","79.1","92.9","85.8","443","181","399","104",36.2,"25",8.7,6.1
"Rodríguez, Yariel","684320","239","16.8",28.9,"111.6","87.8","76.5","92.6","86.4","426","166","401","89",37.2,"15",6.3,4.1
"Cabrera, Génesis","650893","190","14.1",33.7,"111.1","89.8","79.7","93.1","88.2","439","160","393","78",41.1,"14",7.4,5.2
"Pop, Zach","647315","155","4.9",25.2,"113.1","88.9","77.2","94.3","86.3","416","129","380","69",44.5,"11",7.1,5.3
"Green, Chad","643338","148","17.2",35.1,"115.2","91.3","81.4","95.1","86.1","426","189","381","68",45.9,"13",8.8,6.2
"Little, Brendon","663893","137","-6.9",21.9,"111.6","87.9","76.9","92.3","87","440","92","402","52",38,"8",5.8,4.1
"Tate, Dillon","622253","121","8.2",32.2,"112.9","87.5","76.9","91.1","87","424","137","419","37",30.6,"6",5,3.7
"Swanson, Erik","657024","116","12.8",38.8,"111.8","92","82.6","96","89.5","437","175","388","58",50,"14",12.1,8.3
"Burr, Ryan","621114","80","16.3",43.8,"113.1","91.3","81.2","93.8","86.7","424","192","401","38",47.5,"7",8.8,5
"Rodríguez, Yerry","666720","73","16.1",35.6,"109.4","90.8","80.1","94.3","87.3","439","201","393","36",49.3,"9",12.3,8.6
"Manoah, Alek","666201","65","16.3",35.4,"112.1","88.6","78.1","93.4","85.5","410","172","401","23",35.4,"7",10.8,6.8
"Nance, Tommy","667297","64","7.9",37.5,"108","87.3","76","91.5","85.4","392","142","363","23",35.9,"8",12.5,8.6
"Cuas, Jose","621016","51","15.6",35.3,"108.9","92.8","84.9","94.7","90.5","421","195","399","22",43.1,"6",11.8,7.2
"Romano, Jordan","605447","44","17.7",43.2,"107.3","91.6","81.8","95.5","88.3","409","203","392","22",50,"6",13.6,9.7
"Lucas, Easton","687922","41","16.2",31.7,"105.9","89.3","81.1","88.3","92","390","179","346","15",36.6,"2",4.9,3.3
"Robertson, Nick","687798","39","16.4",35.9,"110","90.3","79.7","91.2","89.9","393","186","378","19",48.7,"4",10.3,7.3
"de Geus, Brett","676969","38","5.3",42.1,"107.3","86.4","74.8","92.9","81.5","361","132",,"13",34.2,"1",2.6,1.9
"Espino, Paolo","502179","35","20.4",37.1,"112","90.5","79.4","94.4","87","425","190","410","16",45.7,"6",17.1,13.6
"Frías, Luis","666818","34","11.5",47.1,"109.6","91.7","81.3","92.1","91.1","397","171","395","18",52.9,"4",11.8,7.5
"Eisert, Brandon","685126","20","10.6",30,"103.7","86.4","75.6","92.8","81.5","361","144",,"6",30,"1",5,3.8
"Clement, Ernie","676391","5","10.7",60,"107.1","92.1","85.3","99.9","80.5","366","196",,"2",40,"0",0,0
"Heineman, Tyler","623168","4","27.5",50,"93.2","73.2","54.1","93.2","91.7","249","103",,"0",0,"0",0,0
