"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Ozuna, Marcell","542303","440","14.4",40.2,"114.8","92.2","103.4","97.1","85.4","448","195","412","235",53.5,"68",15.5,9.9
"Olson, Matt","621566","435","16.1",35.4,"113.9","91.5","102.7","95.4","87.3","450","188","403","206",47.4,"54",12.4,7.9
"Arcia, Orlando","606115","431","8.6",29.7,"107.8","88.2","98.4","92.8","85.9","421","145","394","163",37.8,"23",5.3,3.8
"Urshela, Gio","570482","365","10.5",38.6,"109","86.4","96.7","90.4","83.2","416","155","386","103",28.4,"18",4.9,3.9
"Soler, Jorge","624585","356","17.9",33.4,"115.4","90.5","101.9","94.6","87.6","478","180","418","157",44.1,"45",12.6,7.8
"Harris II, Michael","671739","349","7.5",33.5,"114.7","90.5","103.3","95.3","88.3","426","150","406","164",47,"35",10,7.4
"Albies, Ozzie","645277","338","18.4",33.4,"113.7","88.4","97.1","91.5","87","431","170","395","108",32,"21",6.2,4.8
"Riley, Austin","663586","309","15.9",37.2,"114.7","93.3","103.8","96.6","89.6","449","194","414","165",53.4,"46",14.9,9.8
"Kelenic, Jarred","672284","283","16",38.2,"110.7","89.8","100.3","93.7","85.6","427","190","394","128",45.2,"28",9.9,6.2
"Merrifield, Whit","593160","245","12.9",33.9,"104.6","84.1","94.4","88","81.6","384","152","371","53",21.6,"6",2.4,1.8
"Rosario, Eddie","592696","226","14.3",27.9,"110.2","91","99.2","93.6","87.5","413","172","377","96",42.5,"12",5.3,3.8
"d'Arnaud, Travis","518595","222","11.6",32.9,"109.8","89.9","100.5","94.8","86.3","445","163","415","91",41,"23",10.4,6.7
"Duvall, Adam","594807","205","22.2",27.8,"113","86.9","99.8","93.1","80.4","441","182","415","75",36.6,"22",10.7,6.7
"Laureano, Ramón","657656","191","13.3",38.7,"110.7","89.2","100.3","94.9","81.2","442","186","403","78",40.8,"24",12.6,7.8
"Murphy, Sean","669221","167","10.5",25.7,"112.6","88","99.8","93.7","84.3","431","144","406","61",36.5,"16",9.6,6.1
"Acuña Jr., Ronald","660670","139","8.5",31.7,"114.2","92.2","103.1","95.2","90.6","461","145","415","67",48.2,"13",9.4,5.9
"Biggio, Cavan","624415","118","21.2",37.3,"104.7","82","92.8","87.1","76.5","402","162","373","20",16.9,"3",2.5,1.3
"Short, Zack","670097","49","21.2",34.7,"108.9","88.6","96.6","90.5","86.7","385","179",,"13",26.5,"2",4.1,2.3
"Tromp, Chadwick","644433","36","6",38.9,"107.6","88.1","99.1","91.7","83.4","368","167",,"13",36.1,"1",2.8,1.9
"Williams, Luke","663897","34","18.6",23.5,"104.6","89.6","96.8","89.5","91.8","379","186",,"10",29.4,"1",2.9,1.9
"White, Eli","642201","27","8.3",25.9,"104.2","88.7","99.5","92.5","87.6","380","150","377","13",48.1,"3",11.1,7.1
"Alvarez Jr., Nacho","805373","20","9.8",30,"109.6","83.8","97.9","94","80.5","348","125",,"6",30,"0",0,0
"Fletcher, David","664058","8","14",12.5,"93.1","80.7","90.7","87.8","76.4","306","125",,"0",0,"0",0,0
"Martínez, J.P.","679881","6","0.1",16.7,"96.5","83.7","93","88.6","88.1","267","82",,"1",16.7,"0",0,0
"Anderson, Brian","605119","3","10.1",66.7,"105.9","101.6","103.7","103.7","97.2","342","182",,"3",100,"1",33.3,20
