"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Fried, Max","608331","483","3",30.4,"114.4","86.3","73.9","91.5","83.8","461","125","412","167",34.6,"24",5,3.4
"Morton, Charlie","450203","451","9",33,"114.4","88.7","77.7","93.1","85.3","452","159","402","173",38.4,"42",9.3,6
"Sale, Chris","519242","430","9.6",34.9,"114.4","86.5","75","91.4","82.2","422","159","396","134",31.2,"24",5.6,3.4
"López, Reynaldo","625643","351","13.8",37.3,"115.6","89.8","79.4","92.8","87.9","451","172","402","148",42.2,"31",8.8,5.7
"Schwellenbach, Spencer","680885","344","11.7",35.2,"117.3","87.6","75.6","91.8","84.3","452","161","404","137",39.8,"17",4.9,3.4
"Holmes, Grant","656550","195","13.9",35.9,"111.7","88.7","78.3","92.6","85.4","432","171","398","75",38.5,"13",6.7,4.6
"Chavez, Jesse","445926","189","11.1",37.6,"117.8","87.3","75.5","91.2","83.4","416","170","386","67",35.4,"12",6.3,4.5
"Iglesias, Raisel","628452","175","14.2",25.7,"115.1","86","74.4","90.8","81.4","416","158","404","54",30.9,"7",4,2.7
"Jiménez, Joe","641729","168","16.3",29.8,"111.9","87.8","77.8","92.7","83.1","396","175","385","55",32.7,"8",4.8,2.9
"Elder, Bryce","693821","161","8.1",31.1,"109.6","89.9","79.6","92.9","88.4","426","149","406","73",45.3,"14",8.7,6.2
"Bummer, Aaron","607481","155","0",29,"112.4","86.6","74.3","90.4","85.3","400","110","362","51",32.9,"2",1.3,0.8
"Brebbia, John","605154","153","19.7",39.9,"111.4","88.8","77.8","92.3","84.2","440","200","394","57",37.3,"16",10.5,6.6
"Jackson, Luke","592426","148","8.4",31.1,"109.5","89.2","78.7","93.4","85.9","422","152","391","59",39.9,"13",8.8,5.5
"Lee, Dylan","669276","147","16.8",35.4,"111.2","87.5","76.8","91.4","82.7","436","184","394","47",32,"11",7.5,4.6
"Johnson, Pierce","572955","142","11.7",33.8,"112.3","89.4","79","92.7","86.7","439","161","405","56",39.4,"12",8.5,5.1
"Minter, A.J.","621345","87","15.3",26.4,"110.6","87.3","75.6","90.7","84.5","464","156","406","29",33.3,"6",6.9,4.5
"Kerr, Ray","678061","66","15.5",48.5,"111","90.6","80","93.7","85.4","403","203","380","30",45.5,"8",12.1,7.8
"Vines, Darius","670241","52","17.7",32.7,"108","88.3","75.3","94.7","83.6","410","170","401","25",48.1,"5",9.6,7.6
"Hernández, Daysbel","678226","37","19.5",27,"111.9","85.2","73.8","87.1","83.3","373","158",,"10",27,"1",2.7,1.4
"Matzek, Tyler","554431","35","11.6",48.6,"107.7","93.3","84.2","96.4","86.6","413","205","393","18",51.4,"6",17.1,12.5
"Herget, Jimmy","623474","34","22.6",26.5,"112.2","83.9","70.4","89.4","76.4","431","184","415","9",26.5,"3",8.8,5.8
"Winans, Allan","642216","33","6.1",42.4,"106.7","85.5","72.7","96.2","77.1","409","165","394","13",39.4,"5",15.2,12.2
"Strider, Spencer","675911","25","16.8",32,"108.3","87","75.5","87","86.6","396","173","390","9",36,"3",12,7.1
"Waldrep, Hurston","694462","24","12.8",20.8,"108.6","84.9","71.1","91.9","82.7","429","161","392","8",33.3,"1",4.2,2.8
"Williams, Luke","663897","17","22.8",47.1,"102.2","90.4","82.1","90.4","93.6","338","197",,"7",41.2,"1",5.9,5.3
"Stephens, Jackson","623451","13","33.2",30.8,"105.2","84.8","74.3","90.4","82.9","385","181","371","4",30.8,"1",7.7,5.9
"Smith-Shawver, AJ","700363","12","31.7",25,"108.5","89.5","79.3","97.7","85.9","338","199",,"6",50,"1",8.3,5.6
"Dunshee, Parker","670161","8","17.6",50,"105.1","96.9","90.5","97.7","96","401","216","392","5",62.5,"3",37.5,21.4
"Dodd, Dylan","689266","6","14.1",33.3,"106.7","92.5","83.4","94.4","90.6","270","151",,"2",33.3,"0",0,0
