"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Rea, Colin","607067","526","15.2",36.3,"114.3","90.4","80.2","93","88.9","438","175","391","221",42,"46",8.7,6.4
"Civale, Aaron","650644","482","17.2",36.5,"119.5","89.4","79.2","93.4","85.4","430","182","385","190",39.4,"35",7.3,5.1
"Peralta, Freddy","642547","447","17.3",35.3,"113.5","87.6","76","91.7","84.4","452","177","397","165",36.9,"39",8.7,5.4
"Montas, Frankie","593423","434","13.5",35.9,"113","89.3","77.8","93.8","85.2","436","169","395","187",43.1,"40",9.2,6.1
"Myers, Tobias","668964","401","16.4",36.4,"115.9","89.8","79.3","94.2","86","441","175","403","155",38.7,"32",8,5.6
"Wilson, Bryse","669060","325","16.7",37.5,"111.8","89.7","78.4","92.8","88.3","446","181","397","144",44.3,"30",9.2,6.8
"Ross, Joe","605452","224","16.7",30.8,"114.5","88.7","77.8","91.8","86.3","414","165","398","87",38.8,"18",8,5.6
"Milner, Hoby","571948","188","8.4",30.9,"111.8","87.7","75.8","91.6","86.1","424","141","399","68",36.2,"5",2.7,1.9
"Koenig, Jared","657649","174","10.5",27.6,"113.1","87.5","76.1","91.4","85.1","434","148","407","62",35.6,"14",8,5.3
"Mears, Nick","683232","157","14.3",38.2,"109.7","88.1","77.7","91","84.9","435","182","405","52",33.1,"11",7,4.3
"Payamps, Joel","606303","156","15.9",34,"118.5","89.4","78.2","95.8","83.6","421","178","397","68",43.6,"15",9.6,6.4
"Peguero, Elvis","665625","151","3.2",29.1,"112.6","90.1","79.6","92.5","89.1","420","126","401","61",40.4,"8",5.3,3.5
"Hudson, Bryan","663542","148","14.2",35.8,"111.6","87.8","76.4","92.2","83.7","430","165","394","54",36.5,"10",6.8,4.3
"Hall, DL","669084","127","14",28.3,"112.8","87.3","75.1","92","85.6","414","152","396","48",37.8,"11",8.7,5.6
"Megill, Trevor","656730","118","19",35.6,"109.8","91.2","82.6","92.2","90.2","416","189","389","50",42.4,"9",7.6,4.9
"Gasser, Robert","688107","94","14.3",34,"108.8","86","75.2","90.2","82.5","410","157","404","23",24.5,"2",2.1,1.8
"White, Mitch","669952","83","12.4",38.6,"116.7","89.3","78.7","94","84.9","424","172","387","35",42.2,"7",8.4,6.4
"Ashby, Aaron","676879","76","4.5",31.6,"111.9","90.2","80.8","93.7","87.6","424","141","394","28",36.8,"5",6.6,4.2
"Keuchel, Dallas","572971","60","10.3",30,"109.2","88.3","77.2","93.6","85.2","411","139","390","21",35,"3",5,3.8
"Hernández, Elieser","622694","51","27.9",35.3,"107.7","91.9","82.7","96.5","94.4","417","217","388","27",52.9,"8",15.7,12.5
"Rodriguez, Carlos","692230","45","17.9",46.7,"108.4","87.4","76.7","92.3","82.9","440","185","406","17",37.8,"2",4.4,3.5
"Uribe, Abner","682842","40","3.1",25,"113.8","86.8","72.8","96.9","84.8","406","124","406","19",47.5,"3",7.5,4.5
"Williams, Devin","642207","37","14.8",29.7,"104.9","84.2","73.5","89","78.6","399","160","399","12",32.4,"2",5.4,2.3
"Herget, Kevin","643361","31","18.7",25.8,"106.2","89.2","77.4","99.3","79.9","391","168","391","15",48.4,"4",12.9,9.3
"Jay, Tyler","664079","24","5.8",25,"110.8","89.1","77.6","94.3","87.4","348","117",,"10",41.7,"0",0,0
"Miley, Wade","489119","23","0.2",34.8,"107.8","90","80.4","91","89.2","402","134","379","8",34.8,"2",8.7,6.7
"Zastryzny, Rob","642239","21","26.3",28.6,"109.5","84.8","73.6","91","81.9","387","169",,"6",28.6,"1",4.8,3.4
"Bauers, Jake","641343","15","34.6",46.7,"104.6","88.8","80.1","92.9","92","392","229",,"6",40,"3",20,15
"Bukauskas, J.B.","656266","15","10.9",40,"112.3","94.2","83.4","100.2","87.2","450","199","450","8",53.3,"4",26.7,18.2
"Miller, Owen","680911","11","21.7",36.4,"104.1","88.3","80.6","86.7","92.7","392","184","392","3",27.3,"1",9.1,8.3
"Meeker, James","703231","3","0.3",33.3,"101.2","95","91.9","101.2","91.9","197","95",,"1",33.3,"0",0,0
