"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Mikolas, Miles","571945","567","13.6",38.1,"113","88.8","77.5","93.6","85.4","440","167","400","240",42.3,"46",8.1,6.4
"Fedde, Erick","607200","515","14.9",32.4,"116.5","88.6","77.5","91.5","88.1","437","162","397","194",37.7,"39",7.6,5.4
"Gibson, Kyle","502043","499","12",34.3,"112.7","88.2","76.6","92.3","85.3","448","162","399","195",39.1,"46",9.2,6.4
"Gray, Sonny","543243","425","11.5",38.1,"113.5","89.6","79.3","93.6","86.2","459","167","409","161",37.9,"38",8.9,5.7
"Pallante, Andre","669467","365","1.1",24.4,"112.3","87.4","75.3","91.1","86.6","427","119","391","136",38.1,"12",3.3,2.4
"Lynn, Lance","458681","354","17",36.7,"114.6","88.9","77.6","93.9","84.2","433","179","398","139",39.3,"37",10.5,7.2
"Liberatore, Matthew","669461","252","13.2",31.7,"111.3","89.7","79.2","92.1","88.3","447","163","407","97",38.6,"18",7.1,5
"Kittredge, Andrew","552640","200","11.8",33,"111.1","88.9","78.2","93.4","85.6","439","165","405","79",39.5,"17",8.5,5.9
"King, John","667463","195","1.2",27.2,"109.7","88.5","77.8","92.5","86.2","420","122","395","72",36.9,"12",6.2,4.8
"Fernandez, Ryan","681676","180","10.4",35.6,"111.8","89","78.9","93","85.1","408","158","385","61",33.9,"13",7.2,4.6
"Romero, JoJo","668941","171","7.9",34.5,"114.3","89.9","79.3","93","87.8","438","154","403","68",39.8,"18",10.5,7.4
"Helsley, Ryan","664854","164","18.3",36.6,"114.3","89.4","80.2","90.4","90.5","425","168","404","58",35.4,"6",3.7,2.3
"Leahy, Kyle","681517","147","14.8",33.3,"112","89.9","79.3","94.3","86.3","430","183","397","64",43.5,"9",6.1,4.7
"Matz, Steven","571927","140","12.3",43.6,"115.8","87.6","77.3","89.6","86.6","419","164","401","43",30.7,"11",7.9,5.8
"Roycroft, Chris","688297","101","1",25.7,"109.7","86.9","75.1","92.3","83.7","411","128","409","34",33.7,"2",2,1.3
"McGreevy, Michael","700241","65","-3.3",30.8,"108.1","87.3","76.2","95.3","83.3","391","111","380","22",33.8,"3",4.6,3.5
"Gallegos, Giovanny","606149","63","9.7",30.2,"107","86.9","74.3","93.6","79.8","411","155","376","26",41.3,"6",9.5,6.4
"Thompson, Zack","668868","54","17.7",33.3,"115.2","89","77.1","93.2","90.7","406","174","388","22",40.7,"7",13,8.4
"O'Brien, Riley","676617","26","17.7",42.3,"112.3","89","78.5","88.1","93.7","420","167","417","11",42.3,"2",7.7,4.3
"Graceffo, Gordon","700669","23","14.6",30.4,"109.1","88.9","76.6","90.5","88","396","170","396","9",39.1,"3",13,9.7
"Loutos, Ryan","702795","9","15",11.1,"99.6","85.4","77.7","89.8","79.8","323","164",,"2",22.2,"0",0,0
"Crawford, Brandon","543063","7","8.3",42.9,"109.2","84.6","70.3","92.9","80.7","364","130",,"3",42.9,"0",0,0
"Kloffenstein, Adam","680572","3","29.2",33.3,"97.2","81.9","74.2","97.2","73.4","375","208",,"1",33.3,"0",0,0
