"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Ward, Taylor","621493","430","17.4",41.9,"109.4","90.9","100","93.6","86.5","422","203","396","182",42.4,"56",13,8.4
"Schanuel, Nolan","694384","426","10.3",36.4,"105.9","86.1","95.3","89.2","83.4","410","157","384","108",25.4,"15",3.5,2.5
"Neto, Zach","687263","407","12.3",29,"111.3","88.5","100.1","94.2","83.9","428","163","398","158",38.8,"34",8.4,5.6
"O'Hoppe, Logan","681351","326","15.3",42.9,"111.6","90.4","101.2","95.4","84.5","467","183","410","151",46.3,"39",12,7.5
"Adell, Jo","666176","282","15.9",30.5,"115.6","89.8","102.7","96.4","83.3","439","181","407","126",44.7,"33",11.7,7.3
"Moniak, Mickey","666160","279","19.8",31.5,"112.8","88.1","99.5","93.3","83.4","437","172","406","96",34.4,"26",9.3,6.2
"Drury, Brandon","592273","247","6",25.9,"113.7","87.6","99.1","92.2","85.3","459","123","395","88",35.6,"9",3.6,2.5
"Rengifo, Luis","650859","240","6.7",30.4,"110.2","87","97","89.6","86.1","413","127","391","78",32.5,"6",2.5,2
"Pillar, Kevin","607680","219","17.9",36.5,"108.8","84.6","96.4","89.3","80","411","176","379","65",29.7,"8",3.7,2.5
"Calhoun, Willie","641432","199","12.4",30.2,"109.6","89","99","91.2","89.6","414","155","398","75",37.7,"6",3,2.4
"Rendon, Anthony","543685","175","14.1",31.4,"108.9","87.9","97.6","90.9","85.9","389","157",,"65",37.1,"4",2.3,1.7
"Thaiss, Matt","642136","100","12.9",33,"109.7","86.6","99.8","92.8","80.9","446","167","427","40",40,"8",8,4.3
"Stefanic, Michael","683021","91","7",24.2,"104","85.1","94.5","85.5","85.7","375","120",,"24",26.4,"1",1.1,0.8
"Trout, Mike","545361","82","25.2",40.2,"114.5","89.2","101.8","94.3","82.5","473","211","411","34",41.5,"14",17.1,11.1
"Wagaman, Eric","676572","55","8.3",38.2,"111.7","91.7","101.3","95.7","87.8","434","175","416","22",40,"3",5.5,4.1
"Kavadas, Niko","694359","52","27.3",42.3,"107.9","91.7","100.8","92.6","88.6","408","233","384","21",40.4,"6",11.5,5.7
"Sanó, Miguel","593934","48","8.9",33.3,"114.9","93.8","106.4","95.5","92.4","406","159","399","26",54.2,"5",10.4,5.3
"López, Jack","605346","43","10",32.6,"104.1","87.3","97.1","92.4","84.4","379","132","379","14",32.6,"1",2.3,1.4
"Campero, Gustavo","672569","38","7.7",28.9,"108.9","83.8","94.8","88.7","82.4","359","119","359","6",15.8,"1",2.6,2.1
"Tucker, Cole","657061","34","7.7",35.3,"104.9","90.2","98.3","91.7","88.8","377","157",,"15",44.1,"0",0,0
"Paris, Kyren","677347","34","6.3",32.4,"110.3","87.8","99.4","92.5","83.7","408","146","408","12",35.3,"2",5.9,3.4
"Hicks, Aaron","543305","34","4.7",32.4,"105","87.5","99.6","92.7","86.9","367","126","365","12",35.3,"2",5.9,3.2
"Adams, Jordyn","677941","23","10.5",34.8,"105.5","88","97.6","92","84.6","419","167","419","7",30.4,"1",4.3,2.6
"Goodrum, Niko","592348","20","-15.7",15,"104.2","86.3","95.8","96.8","84.2","389","58",,"5",25,"1",5,3
"Hiura, Keston","669374","17","6.3",35.3,"107.4","82.2","95.1","91.3","84.4","344","114",,"4",23.5,"0",0,0
"Adrianza, Ehire","501303","15","4.8",46.7,"100.7","88.4","96.9","95.2","82.4","381","191","381","5",33.3,"1",6.7,3.6
"Leblanc, Charles","641779","12","20.2",41.7,"107","85.3","99.6","94.3","56.4","397","234","391","4",33.3,"2",16.7,7.1
"Teodosio, Bryce","669326","7","5.9",28.6,"98.9","78.9","89","87.1","75.6","303","113",,"1",14.3,"0",0,0
