"last_name, first_name","player_id","year","ab","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba"
"Alvarez, Yordan","670541","2024","378","20",15.7,10.4,".299",".534",".382","0.916",".387"
"Espinal, Santiago","669289","2024","207","6",11.8,6.1,".222",".329",".267","0.596",".259"
"Butler, Lawrence","671732","2024","216","11",26.8,9.2,".255",".481",".322","0.803",".345"
"Gomes, Yan","543228","2024","91","2",37.5,2.1,".154",".242",".179","0.421",".185"
"Grossman, Robbie","543257","2024","152","3",20.6,14.4,".237",".342",".344","0.686",".310"
"Harper, Bryce","547180","2024","344","24",20.8,13.5,".282",".555",".378","0.933",".392"
"Devers, Rafael","646240","2024","350","23",23.8,11.6,".297",".589",".379","0.968",".402"
"Bailey, Patrick","672275","2024","265","7",21.2,10.3,".268",".400",".339","0.739",".324"
"Meneses, Joey","608841","2024","281","3",20.1,6.7,".231",".302",".291","0.593",".264"
"Langeliers, Shea","669127","2024","314","20",28.4,7,".213",".452",".272","0.724",".308"
"Robles, Victor","645302","2024","95","2",19.5,9.7,".295",".421",".382","0.803",".355"
"Stallings, Jacob","607732","2024","167","5",21,10.8,".263",".437",".361","0.798",".349"
"Singleton, Jon","572138","2024","256","8",26.8,11.3,".234",".355",".320","0.675",".302"
"Bregman, Alex","608324","2024","406","14",13.5,7.4,".254",".416",".315","0.731",".319"
"Matos, Luis","682641","2024","138","4",12.6,2.8,".217",".333",".238","0.571",".245"
"Kepler, Max","596146","2024","279","6",19.2,6.5,".265",".401",".320","0.721",".315"
"McCormick, Chas","676801","2024","173","4",28.8,7.3,".208",".318",".272","0.590",".263"
"Gorman, Nolan","669357","2024","328","19",38,8.8,".204",".418",".275","0.693",".299"
"Grandal, Yasmani","518735","2024","141","4",16.7,4.7,".184",".319",".221","0.540",".236"
"Mendick, Danny","664901","2024","132","3",24.8,4.3,".197",".318",".243","0.561",".248"
"Mullins II, Cedric","656775","2024","295","11",23.1,5.6,".220",".397",".268","0.665",".288"
"Taylor, Michael A.","572191","2024","187","3",34.9,8,".209",".299",".269","0.568",".253"
"Fairchild, Stuart","656413","2024","183","6",23.2,7.4,".230",".372",".302","0.674",".299"
"Tauchman, Mike","643565","2024","251","5",19,11.8,".243",".351",".339","0.690",".311"
"Jankowski, Travis","608671","2024","140","1",20,4.7,".207",".250",".260","0.510",".233"
"Narváez, Omar","553882","2024","65","0",17.4,4.3,".154",".185",".191","0.376",".171"
"Edwards, Xavier","669364","2024","87","1",15.2,14.3,".379",".494",".462","0.956",".416"
"Arias, Gabriel","672356","2024","153","3",32.9,3.7,".222",".353",".255","0.608",".264"
"Velázquez, Nelson","676369","2024","205","8",26.5,8.3,".200",".366",".274","0.640",".281"
"Grissom, Vaughn","687093","2024","81","0",21.8,5.7,".148",".160",".207","0.367",".174"
"Rosario, Eddie","592696","2024","276","10",23.9,5.1,".181",".333",".220","0.553",".240"
"Canzone, Dominic","686527","2024","142","7",27.7,10.1,".211",".394",".289","0.683",".294"
"Monasterio, Andruw","655316","2024","82","1",26.1,9.8,".195",".268",".283","0.551",".254"
"Mead, Curtis","678554","2024","101","1",22,4.6,".257",".317",".306","0.623",".279"
"Siri, Jose","642350","2024","286","14",35.1,7.5,".199",".392",".270","0.662",".288"
"Hayes, Ke'Bryan","663647","2024","305","3",18,6.3,".239",".298",".293","0.591",".266"
"Busch, Michael","683737","2024","328","13",31,11.7,".262",".454",".350","0.804",".349"
"Moniak, Mickey","666160","2024","265","6",26.2,5.3,".208",".332",".252","0.584",".256"
"Díaz, Elias","553869","2024","265","5",18.5,5.6,".275",".389",".324","0.713",".310"
"Freeman, Freddie","518692","2024","379","16",14.9,13.4,".288",".493",".395","0.888",".380"
"Biggio, Cavan","624415","2024","168","4",31.7,10.1,".202",".304",".316","0.620",".286"
"Rice, Ben","700250","2024","110","7",26.2,11.5,".209",".455",".300","0.755",".322"
"Heyward, Jason","518792","2024","135","5",16.6,9.6,".200",".393",".293","0.686",".299"
"Alonso, Pete","624413","2024","407","22",20.4,9.6,".246",".472",".328","0.800",".343"
"Benintendi, Andrew","643217","2024","301","8",18.1,6.7,".199",".312",".255","0.567",".250"
"Castro, Willi","650489","2024","376","7",23.5,8.6,".261",".407",".350","0.757",".335"
"Torkelson, Spencer","679529","2024","209","4",24.3,7,".201",".330",".266","0.596",".265"
"Newman, Kevin","621028","2024","208","2",14.3,4.5,".274",".385",".305","0.690",".298"
"Isbel, Kyle","664728","2024","247","7",19.1,6.3,".235",".385",".288","0.673",".294"
"Joe, Connor","656582","2024","291","7",19.5,9.1,".237",".378",".320","0.698",".309"
"Montero, Elehuris","660707","2024","224","4",22.7,8.1,".205",".304",".267","0.571",".254"
"Pasquantino, Vinnie","686469","2024","376","11",12.9,8,".261",".423",".319","0.742",".319"
"Wood, James","695578","2024","92","2",34,9.7,".239",".359",".320","0.679",".303"
"Fortes, Nick","663743","2024","202","2",12.6,2.3,".203",".267",".230","0.497",".220"
"Carpenter, Kerry","681481","2024","145","8",23.3,6.7,".283",".572",".342","0.914",".383"
"Paredes, Isaac","670623","2024","363","16",15.9,12.1,".245",".435",".357","0.792",".347"
"McCann, James","543510","2024","142","3",22.1,5.8,".218",".324",".273","0.597",".265"
"Naylor, Bo","666310","2024","232","7",31.5,8.2,".203",".341",".270","0.611",".268"
"Rortvedt, Ben","666163","2024","190","3",25.1,12.3,".258",".358",".356","0.714",".322"
"Marte, Noelvi","682622","2024","93","2",32.3,2,".183",".290",".222","0.512",".226"
"Urías, Ramón","602104","2024","168","4",16.7,8.1,".232",".357",".306","0.663",".296"
"Wong, Connor","657136","2024","280","10",21.2,6.4,".300",".450",".363","0.813",".356"
"Schneider, Davis","676914","2024","285","10",28.2,10.9,".218",".382",".309","0.691",".305"
"Schwarber, Kyle","656941","2024","356","22",27.3,16.9,".247",".463",".376","0.839",".365"
"Peralta, David","444482","2024","111","2",20.7,6.6,".243",".333",".306","0.639",".286"
"Acuña Jr., Ronald","660670","2024","192","4",23.9,12.2,".250",".365",".351","0.716",".322"
"Freeman, Tyler","671289","2024","288","7",14.3,8.1,".219",".344",".313","0.657",".294"
"Lopez, Otto","672640","2024","200","3",16.4,3.7,".230",".315",".261","0.576",".253"
"France, Ty","664034","2024","300","8",24.4,8.2,".223",".350",".312","0.662",".297"
"Lopez, Nicky","670032","2024","283","0",14.9,7.3,".237",".279",".303","0.582",".266"
"Garcia, Maikel","672580","2024","412","6",15.2,6.5,".238",".350",".287","0.637",".280"
"Rogers, Jake","668670","2024","203","7",30.9,4.6,".202",".360",".244","0.604",".262"
"Herrera, Iván","671056","2024","172","3",21.4,7.8,".279",".378",".340","0.718",".318"
"Lee, Korey","686676","2024","250","9",30.3,4.2,".216",".364",".249","0.613",".267"
"Martin, Austin","668885","2024","132","1",19.2,8.9,".235",".333",".303","0.636",".285"
"Anderson, Tim","641313","2024","234","0",28.2,2.9,".214",".226",".237","0.463",".208"
"Flores, Wilmer","527038","2024","214","4",13.6,8.3,".206",".318",".277","0.595",".263"
"McNeil, Jeff","643446","2024","335","9",12.6,6.3,".233",".370",".286","0.656",".287"
"Gallo, Joey","608336","2024","140","5",43,12.7,".164",".321",".285","0.606",".275"
"Doyle, Brenton","686668","2024","372","17",25.2,8.2,".274",".476",".337","0.813",".349"
"Lindor, Francisco","596019","2024","429","22",16.9,8.5,".256",".473",".335","0.808",".350"
"Barnes, Austin","605131","2024","96","1",24.1,9.3,".281",".333",".349","0.682",".308"
"Ramos, Heliot","671218","2024","277","15",26.5,8.5,".292",".509",".353","0.862",".368"
"Bruján, Vidal","660644","2024","185","1",19.4,10,".227",".330",".319","0.649",".287"
"Cameron, Daz","663662","2024","83","4",21.3,10.6,".181",".349",".277","0.626",".280"
"Nimmo, Brandon","607043","2024","378","16",25,12.9,".233",".418",".350","0.768",".340"
"Mateo, Jorge","622761","2024","192","5",23.1,4.8,".229",".401",".267","0.668",".286"
"Abreu, José","547989","2024","113","2",23.3,3.3,".124",".195",".167","0.362",".164"
"Urshela, Gio","570482","2024","263","4",16.2,5.3,".243",".327",".282","0.609",".268"
"Peña, Jeremy","665161","2024","398","9",16.4,4.4,".279",".397",".323","0.720",".315"
"Kwan, Steven","680757","2024","324","11",8.5,7.1,".336",".494",".389","0.883",".384"
"Vázquez, Christian","543877","2024","193","5",20.7,3.4,".212",".321",".240","0.561",".244"
"Carpenter, Matt","572761","2024","106","3",30.3,7.6,".255",".377",".322","0.699",".309"
"Rafaela, Ceddanne","678882","2024","371","12",26.1,3.1,".253",".415",".280","0.695",".298"
"Frazier, Adam","624428","2024","188","3",19,8.1,".197",".282",".281","0.563",".258"
"Knizner, Andrew","668800","2024","90","1",23.7,1.1,".167",".211",".183","0.394",".174"
"Carter, Evan","694497","2024","144","5",26.5,9.3,".188",".361",".272","0.633",".279"
"Taveras, Leody","665750","2024","333","7",19.9,8.2,".225",".342",".288","0.630",".280"
"Toglia, Michael","669911","2024","209","18",32.3,8.2,".215",".512",".280","0.792",".333"
"Taylor, Chris","621035","2024","162","3",32.8,12.2,".167",".265",".277","0.542",".251"
"Schneemann, Daniel","682177","2024","108","4",30.6,11.3,".213",".417",".298","0.715",".309"
"Pérez, Wenceel","672761","2024","313","8",20,6.8,".249",".399",".302","0.701",".305"
"Madrigal, Nick","663611","2024","86","0",10.6,4.3,".221",".256",".280","0.536",".245"
"Marsh, Brandon","669016","2024","263","11",32.6,10.4,".255",".433",".329","0.762",".331"
"Judge, Aaron","592450","2024","378","39",24.4,17.8,".315",".696",".446","1.142",".472"
"Arenado, Nolan","571448","2024","380","11",14.3,6.9,".261",".384",".316","0.700",".307"
"Raley, Luke","670042","2024","274","11",31.3,3.7,".226",".401",".284","0.685",".300"
"Sánchez, Jesús","660821","2024","309","12",24.3,5.4,".243",".414",".292","0.706",".306"
"Rengifo, Luis","650859","2024","273","6",13.6,5.4,".300",".421",".348","0.769",".338"
"Gurriel Jr., Lourdes","666971","2024","394","14",19.8,3.6,".269",".419",".299","0.718",".310"
"Arraez, Luis","650333","2024","430","3",5.3,3.7,".309",".384",".342","0.726",".319"
"Hays, Austin","669720","2024","169","3",24.1,4.8,".249",".379",".306","0.685",".299"
"Raleigh, Cal","663728","2024","353","23",30.6,10.2,".218",".442",".303","0.745",".320"
"Loperfido, Joey","694388","2024","106","2",36.4,5.9,".236",".358",".299","0.657",".291"
"Santana, Carlos","467793","2024","341","14",16.9,9.9,".243",".425",".327","0.752",".328"
"Melendez Jr., MJ","669004","2024","274","12",25.9,7.1,".197",".398",".259","0.657",".284"
"Yoshida, Masataka","807799","2024","201","5",14.2,7.1,".279",".398",".354","0.752",".334"
"Muncy, Max","571970","2024","139","9",29.9,12.6,".223",".475",".323","0.798",".336"
"Abrams, CJ","682928","2024","394","15",19.9,7.5,".256",".457",".331","0.788",".339"
"Campusano, Luis","669134","2024","224","6",12.6,5.9,".237",".375",".280","0.655",".286"
"Dubón, Mauricio","643289","2024","255","3",12.2,3.3,".271",".380",".295","0.675",".293"
"Martinez, J.D.","502110","2024","282","11",28.7,9.3,".262",".443",".340","0.783",".341"
"McCann, Kyle","668832","2024","102","4",34.5,12.1,".284",".441",".371","0.812",".354"
"Jackson, Alex","656577","2024","102","3",36.6,6.3,".108",".245",".171","0.416",".186"
"McGuire, Reese","624512","2024","139","3",24.7,8.2,".209",".295",".280","0.575",".259"
"Rojas, Johan","679032","2024","237","3",18.9,3.5,".232",".295",".269","0.564",".252"
"Ozuna, Marcell","542303","2024","389","31",23.5,10.8,".306",".596",".384","0.980",".415"
"Abreu, Wilyer","677800","2024","246","9",28.1,8.8,".268",".488",".332","0.820",".351"
