"last_name, first_name","player_id","year","ab","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","p_era","woba","whiff_percent","swing_percent"
"Cole, Gerrit","543037","2024","355",25.4,7.4,".220",".358",".290","0.648","3.41",".286",24.8,48.3
"Cabrera, Edward","665795","2024","361",25.7,11.8,".227",".391",".326","0.717","4.95",".317",28,45.5
"Fedde, Erick","607200","2024","661",21.2,7.2,".233",".381",".291","0.672","3.30",".293",21.6,45.5
"Antone, Tejay","622088","2024","7",18.2,36.4,".286",".429",".545","0.974","4.50",".445",31.3,34
"Headrick, Brent","687396","2024","11",38.5,15.4,".182",".545",".308","0.853","3.00",".360",33.3,45
"Muñoz, Roddery","682610","2024","327",18.5,11.1,".272",".575",".359","0.934","6.53",".393",23.6,45.7
"Flexen, Chris","623167","2024","635",17.4,8.9,".283",".476",".349","0.825","4.95",".355",22.7,46
"Garrett, Amir","607237","2024","19",45.8,20.8,".211",".421",".375","0.796","5.06",".355",39.5,36.5
"Pint, Riley","666207","2024","15",31.8,22.7,".333",".733",".545","1.278","21.60",".529",36,24.5
"Gibaut, Ian","664139","2024","9",10,10,".333",".444",".400","0.844","4.50",".371",10.5,47.5
"Dunshee, Parker","670161","2024","11",21.4,14.3,".364","1.000",".500","1.500","19.29",".595",40,39.2
"Law, Derek","571882","2024","333",20.8,6.6,".246",".348",".294","0.642","2.60",".282",28.3,49.9
"Zuber, Tyler","676604","2024","13",26.7,13.3,".231",".462",".333","0.795","2.70",".346",20.7,38.7
"Beeter, Clayton","690925","2024","14",33.3,6.7,".286",".429",".333","0.762","4.91",".331",32,49
"Effross, Scott","664123","2024","12",14.3,14.3,".250",".500",".357","0.857","5.40",".371",14.8,49.1
"Brogdon, Connor","641401","2024","13",15.8,31.6,".385","1.385",".579","1.964","24.00",".715",28.2,40.2
"Mattson, Isaac","676755","2024","17",26.1,21.7,".059",".059",".304","0.363","5.06",".219",23.9,46
"Trevino, Jose","624431","2024","11",0,15.4,".455",".727",".538","1.265","13.50",".531",5,46.5
"Teheran, Julio","527054","2024","14",18.8,12.5,".429",".714",".500","1.214","13.50",".513",25.8,45.6
"Altavilla, Dan","656186","2024","16",23.8,14.3,".313",".563",".450","1.013","14.73",".437",30.6,43.4
"Whitley, Forrest","666215","2024","16",25,15,".313",".375",".450","0.825","0.00",".378",17.9,41.5
"Penrod, Zach","683068","2024","15",15,20,".200",".267",".400","0.667","2.25",".325",25.6,45.3
"Márquez, Germán","608566","2024","16",15,20,".313",".500",".450","0.950","6.75",".417",28.1,45.7
"Stephens, Jackson","623451","2024","15",11.8,5.9,".333",".533",".412","0.945","2.70",".411",17.9,54.9
"Cruz, Steven","674444","2024","18",22.2,0,".056",".056",".056","0.112","0.00",".049",22.7,53.7
"Blach, Ty","621389","2024","301",10.9,5.5,".342",".585",".387","0.972","6.94",".413",14.8,50.1
"Rea, Colin","607067","2024","656",18.9,6,".258",".447",".311","0.758","4.29",".327",19.3,46.8
"Bukauskas, J.B.","656266","2024","21",27.3,4.5,".143",".286",".182","0.468","1.50",".205",37.5,45.5
"Severino, Luis","622663","2024","684",21.2,7.9,".243",".383",".313","0.696","3.91",".308",22,50.6
"Mederos, Victor","682989","2024","21",18.5,22.2,".333",".571",".481","1.052","11.81",".453",24,46.7
"Davidson, Tucker","656353","2024","17",5.3,10.5,".235",".235",".316","0.551","0.00",".258",20.6,50.7
"Kelly, Casey","543391","2024","19",19,4.8,".263",".474",".286","0.760","5.06",".316",27.9,55.1
"Shaw, Bryan","543766","2024","20",16.7,16.7,".400",".700",".500","1.200","9.00",".496",14,45.3
"Boushley, Caleb","676961","2024","18",5,10,".333",".444",".400","0.844","4.50",".371",6.5,49.2
"White, Owen","669391","2024","17",0,5.6,".529",".882",".556","1.438","24.00",".606",5.7,50.7
"Gose, Anthony","543238","2024","21",18.2,4.5,".429",".905",".455","1.360","10.38",".566",21.1,48.1
"Ribalta, Orlando","687377","2024","20",13,8.7,".500",".600",".565","1.165","13.50",".507",32.1,54.6
"Busenitz, Alan","641427","2024","21",14.3,0,".429",".619",".429","1.048","13.50",".451",31.6,50.7
"Maile, Luke","571912","2024","17",0,0,".353",".824",".333","1.157","14.73",".460",10,61.5
"Contreras, Luis","664351","2024","24",23.1,7.7,".292",".375",".346","0.721","9.00",".319",25.5,44.8
"Selby, Colin","681882","2024","23",17.9,14.3,".130",".130",".286","0.416","2.57",".219",20.5,39.3
"Rivera, Emmanuel","656896","2024","19",0,0,".368",".526",".400","0.926","9.00",".403",10.7,50
"Gillispie, Connor","687362","2024","26",25,15.6,".154",".231",".281","0.512","2.25",".241",25.8,47.8
"Bruihl, Justin","677865","2024","24",18.5,3.7,".375",".625",".407","1.032","9.53",".421",25.4,59.6
"Davis, Austin","656354","2024","25",18.2,15.2,".240",".320",".406","0.726","9.00",".341",16.4,38.7
"Musgrove, Joe","605397","2024","375",24.6,5.6,".251",".419",".310","0.729","3.88",".317",28.3,47.4
"Heasley, Jonathan","669169","2024","25",13.8,10.3,".400",".640",".483","1.123","16.88",".481",21.7,42.6
"Casparius, Ben","676508","2024","33",32.4,10.8,".273",".333",".351","0.684","2.16",".309",34.7,48.1
"Brzykcy, Zach","694350","2024","25",14.3,10.7,".360",".640",".429","1.069","14.29",".454",26.1,44.2
"Hartwig, Grant","701643","2024","25",12.9,12.9,".240",".360",".387","0.747","6.75",".344",28.6,41.5
"Silseth, Chase","681217","2024","33",31.6,10.5,".242",".545",".324","0.869","6.75",".370",32.4,42.5
"Rutledge, Jackson","671131","2024","31",26.5,5.9,".258",".452",".324","0.776","3.24",".336",24.2,44.6
"Duffey, Tyler","608648","2024","32",23.8,19,".219",".313",".381","0.694","5.00",".322",23.9,37.6
"Miley, Wade","489119","2024","24",6.7,13.3,".250",".375",".379","0.754","6.43",".343",9.6,44.1
"Santos, Gregory","666619","2024","29",19.4,3.2,".241",".310",".290","0.600","4.91",".269",20.3,52.7
"Sabrowski, Erik","681870","2024","43",40.4,8.5,".140",".163",".213","0.376","0.00",".179",29,50.5
"Waldrep, Hurston","694462","2024","27",8.3,22.2,".333",".704",".500","1.204","16.71",".501",20.8,39.8
"Bieber, Shane","669456","2024","44",44.4,2.2,".227",".318",".244","0.562","0.00",".244",36.7,47.6
"Jay, Tyler","664079","2024","30",16.7,16.7,".300",".400",".417","0.817","4.70",".366",22.4,49.7
"Leibrandt, Brandon","605335","2024","30",15.6,6.3,".367",".667",".406","1.073","9.95",".456",25,51.3
"Klein, Will","694361","2024","31",18.4,15.8,".387",".516",".474","0.990","11.05",".426",20.8,36.3
"Strider, Spencer","675911","2024","37",28.6,11.9,".270",".486",".357","0.843","7.00",".365",33,51.1
"O'Brien, Riley","676617","2024","36",23.9,17.4,".361",".639",".478","1.117","11.25",".467",27.3,39.7
"Walker, Taijuan","592836","2024","338",15.2,9.7,".317",".589",".386","0.975","7.10",".413",16.7,44.1
"Peralta, Luis","678821","2024","40",28.6,10.2,".175",".200",".292","0.492","0.73",".238",17.8,40.3
"deGrom, Jacob","594798","2024","42",31.8,2.3,".262",".405",".295","0.700","1.69",".304",32.1,48.8
"Dunning, Dane","641540","2024","373",21.6,9.5,".260",".461",".340","0.801","5.31",".347",23.7,45.5
"Keller, Mitch","656605","2024","697",21.5,6.5,".261",".446",".321","0.767","4.25",".331",21.4,47.6
"McMillon, John","669111","2024","41",27.7,10.6,".171",".244",".261","0.505","1.50",".234",37.5,44.4
"Campbell, Isaiah","663462","2024","35",16.2,5.4,".400",".743",".432","1.175","16.20",".496",23.3,50.4
"Castillo, Diego","650895","2024","34",14,18.6,".235",".294",".372","0.666","2.70",".309",18.4,42.9
"Parsons, Wes","641149","2024","36",18.4,5.3,".278",".472",".316","0.788","6.00",".340",28.6,52
"Halvorsen, Seth","678020","2024","43",28.3,4.3,".186",".326",".239","0.565","1.46",".250",30.7,49.4
"Bickford, Phil","641360","2024","36",15.4,2.6,".278",".417",".316","0.733","8.64",".319",28.6,40.9
"Nelson, Kyle","669459","2024","37",19,9.5,".216",".405",".286","0.691","4.22",".289",23,51
"Warren, Austin","681810","2024","37",16.7,11.9,".243",".351",".333","0.684","1.69",".308",19.3,48
"Gilbert, Tyler","656457","2024","35",10.5,5.3,".286",".400",".342","0.742","3.24",".328",14.5,57.2
"Herget, Kevin","643361","2024","40",20.9,7,".150",".275",".209","0.484","1.59",".216",22.2,47.7
"Anderson, Tyler","542881","2024","681",18.6,9.5,".232",".394",".311","0.705","3.81",".308",27.7,49.3
"Dobnak, Randy","677976","2024","40",15.6,11.1,".275",".450",".356","0.806","5.59",".343",17.3,44.3
"Hill, Jaden","677955","2024","37",13.3,8.9,".216",".378",".311","0.689","5.06",".302",20.5,48.3
"Borucki, Ryan","621366","2024","45",25.5,7.8,".311",".511",".380","0.891","7.36",".385",34.5,50
