"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Anderson, Tyler","542881","543","17.6",34.1,"113.8","87.2","76.3","91.9","82.4","438","173","403","179",33,"43",7.9,5.6
"Canning, Griffin","656288","537","14.3",32.2,"114.7","90.5","80.4","93.7","87.6","464","172","399","225",41.9,"46",8.6,6.2
"Soriano, José","667755","316","-0.9",28.5,"112","89.9","78.9","94.7","87.6","451","122","391","140",44.3,"21",6.6,4.5
"Fulmer, Carson","608334","252","13",34.1,"113.6","90.6","80.4","93.9","87.6","432","178","402","112",44.4,"24",9.5,6.3
"Detmers, Reid","672282","242","16.2",34.3,"112.7","89.9","80.2","93.1","86.9","442","181","393","95",39.3,"26",10.7,6.6
"Sandoval, Patrick","663776","234","11",32.9,"112.6","87.9","76.7","90.8","86.3","433","156","405","85",36.3,"12",5.1,3.4
"Kochanowicz, Jack","686799","223","3.6",29.1,"113.9","90.3","79.4","95.3","88.3","445","130","408","99",44.4,"14",6.3,5.3
"Strickland, Hunter","519326","211","21.7",30.3,"111.4","88.9","79.2","93.1","84.8","419","180","400","75",35.5,"19",9,6.5
"Contreras, Roansy","672710","207","11.3",32.9,"109.6","89.8","79.5","92.2","88","439","169","407","90",43.5,"20",9.7,6.7
"Suarez, José","660761","153","13.4",37.3,"111.6","89","76.7","93.5","86.9","431","167","386","73",47.7,"13",8.5,5.4
"Moore, Matt","519043","141","23",38.3,"113.1","88.8","78.6","94.9","80.9","455","190","399","50",35.5,"13",9.2,6.2
"Daniel, Davis","669721","99","17.9",39.4,"112.7","87.2","74.8","90.4","85.8","457","177","396","39",39.4,"10",10.1,7.5
"Burke, Brock","656271","95","12.6",30.5,"108.1","90.1","80.7","93.7","88.9","411","151","395","39",41.1,"4",4.2,2.6
"Joyce, Ben","690829","91","0.2",25.3,"111.1","87.2","74.9","93","84.7","377","118","373","34",37.4,"4",4.4,2.8
"Rosenberg, Kenny","670046","79","17.1",36.7,"113.8","90.3","80.7","94.3","86.9","441","179","403","30",38,"8",10.1,7.7
"Cimber, Adam","643256","68","10",41.2,"111.4","88.3","77.6","92.7","84.9","405","155","378","24",35.3,"6",8.8,5.6
"Marte, José","665896","55","4.7",23.6,"109.4","88.1","77.5","90","86.7","400","130","400","20",36.4,"2",3.6,2.5
"Zuñiga, Guillo","670871","55","14.4",32.7,"111.8","90.5","80.3","94.9","85.4","403","183","384","27",49.1,"4",7.3,5.3
"Crouse, Hans","668968","54","25.3",31.5,"110","85.4","73.6","90.1","76.2","431","208","423","16",29.6,"5",9.3,4.7
"Cisnero, José","542585","47","14.8",31.9,"108.2","88","75.6","94.6","84.8","408","173","384","19",40.4,"4",8.5,5.4
"Aldegheri, Sam","691951","45","28.9",31.1,"107.6","90.4","81.6","91.9","93.7","400","202","389","17",37.8,"2",4.4,3
"Plesac, Zach","668676","42","30.5",35.7,"115.5","90.8","80.6","94.8","81.6","459","217","406","19",45.2,"10",23.8,18.5
"Quijada, José","650671","41","24.2",46.3,"108.2","90.7","81.8","92.4","88","422","223","422","16",39,"2",4.9,2.4
"Cueto, Johnny","456501","41","13",36.6,"113","93.9","84.4","95.3","93.6","425","190","410","23",56.1,"7",17.1,14
"Miller, Ryan","668943","39","16.2",30.8,"109.1","87.8","76.5","89.2","87.6","403","158","402","14",35.9,"4",10.3,6.9
"Zeferjahn, Ryan","666171","38","17.4",26.3,"109.8","87","78.2","87.5","90.3","339","148",,"10",26.3,"0",0,0
"Dana, Caden","702674","36","12.1",19.4,"109.4","91.2","81.6","94.2","89.2","437","155","414","15",41.7,"5",13.9,9.6
"Silseth, Chase","681217","21","16.9",61.9,"108.7","92.7","82.7","96.1","81.8","435","230","403","10",47.6,"3",14.3,7.9
"Mederos, Victor","682989","16","8.8",37.5,"111.7","98","89.6","100.3","95.1","414","185","414","11",68.8,"2",12.5,7.4
"Garrett, Amir","607237","8","31.8",25,"107.1","92.4","82.3","93.4","105","375","219","375","3",37.5,"1",12.5,4.2
"Kristofak, Zac","670219","7","4.2",28.6,"107.4","95.3","88.9","90.9","98.7","283","124",,"4",57.1,"0",0,0
"Hicks, Aaron","543305","5","32.3",80,"107.3","90.1","80.8","94.6",,"393","295","393","2",40,"1",20,16.7
"Stefanic, Michael","683021","4","32.7",75,"103.3","85","73.5","90.4",,"324","196",,"1",25,"0",0,0
"Tucker, Cole","657061","3","-7.4",0,"103.3","85.7","76.9",,"85.7","90","47",,"1",33.3,"0",0,0
"Wantz, Andrew","681806","2","31.1",100,"104.3","96.5","88.6","96.5",,"407","364","407","1",50,"1",50,16.7
"Sanó, Miguel","593934","1","-24.9",0,"83.3","83.3","83.3",,"83.3","6","6",,"0",0,"0",0,0
