"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Altuve, Jose","514888","509","14.1",34.8,"108.4","86.5","97.3","89.1","84.3","438","157","390","159",31.2,"33",6.5,4.8
"Peña, Jeremy","665161","500","7.5",28.8,"109.5","88.2","99.3","91.3","86.3","418","144","399","194",38.8,"27",5.4,4.2
"Bregman, Alex","608324","499","18.2",34.9,"109.1","89.1","99","92.8","86.9","424","178","387","202",40.5,"32",6.4,5
"Diaz, Yainer","673237","486","8.9",35,"111.4","90.2","101.3","94.6","87.5","455","147","394","231",47.5,"37",7.6,6
"Alvarez, Yordan","670541","461","18.3",35.4,"117","93.1","104.1","95.5","90.9","461","202","407","229",49.7,"67",14.5,10.6
"Dubón, Mauricio","643289","355","14.6",30.4,"108.3","86.1","96","88.6","86.2","401","153","379","94",26.5,"10",2.8,2.3
"Meyers, Jake","676694","351","14.4",34.8,"110","88.2","99.3","91.9","85.2","415","165","375","130",37,"24",6.8,4.7
"Singleton, Jon","572138","247","12.8",34.8,"115.4","88.7","99.8","92.1","85","442","177","391","92",37.2,"22",8.9,5.4
"Tucker, Kyle","663656","225","21.2",40,"108.1","91.1","100.2","94.1","85.4","456","212","391","101",44.9,"29",12.9,8.6
"Caratini, Victor","605170","195","9.3",35.9,"111.1","91.2","100.5","92.5","90.2","417","158","381","84",43.1,"11",5.6,4
"Heyward, Jason","518792","178","10.4",29.8,"108.4","88","100","93.1","86.3","415","146","383","74",41.6,"10",5.6,3.9
"McCormick, Chas","676801","174","15.2",32.2,"110.2","86.2","97.9","90.3","83.8","428","163","406","57",32.8,"13",7.5,4.9
"Abreu, José","547989","86","6.7",26.7,"109.7","87.8","98.2","91.1","85.9","401","141","389","29",33.7,"2",2.3,1.7
"Gamel, Ben","592325","57","12.8",47.4,"110.5","89.1","99.1","88.4","90.8","404","164","356","21",36.8,"6",10.5,6.1
"Cabbage, Trey","663550","52","7.7",32.7,"113.4","92.8","103.3","98.5","89.4","409","165","409","28",53.8,"8",15.4,8.8
"Dezenzo, Zach","701305","40","10.5",30,"112.2","87.5","101.3","95.1","83.9","446","163","442","16",40,"4",10,6.2
"Whitcomb, Shay","694376","33","18.1",39.4,"109.9","88.8","100.1","90.2","88.9","394","187",,"14",42.4,"2",6.1,4.3
"Díaz, Aledmys","649557","24","11.9",16.7,"105.7","87.1","97.8","91.5","85.9","347","146",,"8",33.3,"0",0,0
"Salazar, César","663967","22","17.7",45.5,"99.6","85.6","92.8","84.6","87.7","330","180",,"3",13.6,"0",0,0
"Kessinger, Grae","666197","14","11",21.4,"98.9","85.1","94.8","93.2","76.9","368","156",,"3",21.4,"0",0,0
"León, Pedro","694175","10","16.8",30,"108.9","93","103.6","96","90","378","137",,"4",40,"2",20,9.5
"Hummel, Cooper","669450","6","-19",16.7,"107.1","82.3","94.2","88.6","79.2","312","87",,"1",16.7,"1",16.7,12.5
