"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Kikuchi, Yusei","579328","484","14.2",33.3,"119.2","90.1","79.1","93","87.4","443","171","391","218",45,"47",9.7,6.4
"Valdez, Framber","664285","473","0.4",26,"114.7","90.2","80","94.3","87.9","429","122","397","213",45,"25",5.3,3.6
"Brown, Hunter","686613","468","9.6",28,"114","86.2","74.7","91","83.3","413","141","383","142",30.3,"21",4.5,2.9
"Blanco, Ronel","669854","439","16.4",30.1,"118.7","88.7","78.1","92.4","86.3","461","173","392","156",35.5,"41",9.3,6.1
"Arrighetti, Spencer","681293","389","16.4",38.3,"119.9","88.9","77.9","93.3","83.7","447","183","395","155",39.8,"30",7.7,4.7
"Verlander, Justin","434378","289","20.9",38.8,"118.8","88.6","78.7","91.7","86.3","428","194","389","94",32.5,"20",6.9,5.1
"Abreu, Bryan","650556","184","16",32.1,"111.3","90.4","81.1","91.6","89.4","412","176","380","70",38,"16",8.7,4.9
"Scott, Tayler","605463","171","13.5",33.3,"113.2","88","77.7","92.9","84","399","159","367","61",35.7,"6",3.5,2.1
"Pressly, Ryan","519151","165","6.2",37,"119.3","89.8","78.8","96","84.4","473","154","415","69",41.8,"13",7.9,5.3
"Neris, Héctor","593576","165","14.8",34.5,"109.4","88.6","77.5","93.1","84.3","416","174","390","67",40.6,"15",9.1,5.8
"Martinez, Seth","661527","164","16.4",31.1,"109","88.4","77.6","91.3","88.3","405","159","374","66",40.2,"11",6.7,5
"Ferguson, Caleb","657571","153","9.9",35.9,"114.1","88.2","76.9","89","88","432","156","413","57",37.3,"10",6.5,4
"Hader, Josh","623352","147","21.2",33.3,"111","89.7","79.3","94.1","85.7","423","194","387","57",38.8,"15",10.2,5.4
"Dubin, Shawn","681869","130","12.1",31.5,"112.6","89.5","79","92.4","88.1","414","160","395","55",42.3,"10",7.7,4.8
"Montero, Rafael","606160","119","11.3",36.1,"110.7","89.8","79.6","94.7","85.6","407","172","384","50",42,"12",10.1,7.3
"Javier, Cristian","664299","104","24.6",41.3,"109.8","88.9","79.8","91.8","86.1","407","210","381","32",30.8,"7",6.7,4.7
"France, J.P.","641585","86","19.4",39.5,"114.6","87.9","76","91.4","83.6","432","189","412","28",32.6,"8",9.3,6.6
"King, Bryan","687911","64","11.3",29.7,"109.3","85.7","73.8","90.7","85.6","403","144","361","22",34.4,"2",3.1,1.8
"Ort, Kaleb","672391","63","21.4",23.8,"112.1","88.2","77.1","93.2","85","420","189","386","23",36.5,"4",6.3,4.3
"Mushinski, Parker","656786","41","17.1",34.1,"105","87.4","78.2","89","87.9","381","165","365","13",31.7,"0",0,0
"Bloss, Jake","814005","40","19.3",45,"113","86.9","75.7","89.6","83.1","414","206","396","12",30,"6",15,10.9
"Hernandez, Nick","663321","23","15.5",39.1,"110.4","82.9","69.6","87.3","84.3","414","170","377","7",30.4,"1",4.3,2.9
"Contreras, Luis","664351","18","19.2",27.8,"110.5","89.7","77.1","91.4","95","386","172",,"9",50,"1",5.6,3.8
"Whitley, Forrest","666215","11","14.1",36.4,"111","93.2","85.5","97","92.3","333","156",,"5",45.5,"1",9.1,5
"Speas, Alex","666208","5","21.5",20,"102.4","89.7","82.8","86.5","95.2","405","144","405","2",40,"1",20,12.5
"Henley, Blair","668874","5","22.9",40,"107.6","86.3","77","78.3","100.4","255","148",,"1",20,"0",0,0
"Díaz, Miguel","622766","3","26.5",33.3,"100.6","96.1","93.8","95.2","97.9","384","199",,"2",66.7,"1",33.3,33.3
"Kessinger, Grae","666197","3","7.2",66.7,"97.4","87.5","82.5","96.1","70.4","346","231",,"1",33.3,"0",0,0
"Coleman, Dylan","669395","2","18",0,"100.9","93.2","85.5","85.5","100.9","245","126",,"1",50,"0",0,0
"Suero, Wander","593833","1","18.2",100,"109","109","109","109",,"353","353",,"1",100,"1",100,100
