"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Turang, Brice","668930","462","6.1",32,"107.8","87","96.9","89.1","86.5","419","133","386","137",29.7,"11",2.4,1.8
"Contreras, William","661388","459","6.1",29,"118.1","92.8","103.9","98","89.7","448","144","408","227",49.5,"46",10,6.8
"Adames, Willy","642715","440","20.6",38.2,"112.3","88.6","99.8","93","83.4","446","192","400","179",40.7,"53",12,7.7
"Chourio, Jackson","694192","410","7.6",33.2,"111.6","89.7","100.8","93.6","86.5","449","153","399","184",44.9,"32",7.8,5.6
"Frelick, Sal","686217","400","9.7",29.5,"106.6","83.4","94.4","86.1","82.9","400","134","373","78",19.5,"3",0.8,0.6
"Ortiz, Joey","687401","346","9.9",26.3,"111.5","87.8","99.4","91.4","87.2","425","146","395","133",38.4,"16",4.6,3.1
"Hoskins, Rhys","656555","306","20.8",29.7,"109.6","88.7","99.7","94.4","82.6","423","189","395","129",42.2,"39",12.7,7.5
"Perkins, Blake","663368","281","12",31.3,"106.8","88.8","97.8","92","86.6","406","154","387","106",37.7,"11",3.9,2.5
"Yelich, Christian","592885","214","5.2",32.2,"113.2","91.1","103","96.2","88","446","142","412","100",46.7,"17",7.9,5.4
"Bauers, Jake","641343","184","22.6",38.6,"110.1","89.4","100","92.7","84.3","444","198","401","79",42.9,"19",10.3,5.5
"Sánchez, Gary","596142","172","16.2",31.4,"114.4","90","101.9","94.1","86","444","175","411","76",44.2,"18",10.5,6.4
"Mitchell, Garrett","669003","127","2.8",33.9,"111","88.8","101","95.6","83.8","420","128","402","47",37,"11",8.7,4.9
"Monasterio, Andruw","655316","85","14.9",36.5,"107","88.1","98.6","92.3","82.9","410","177","410","35",41.2,"8",9.4,5.6
"Dunn, Oliver","686554","56","6.6",33.9,"110.7","89.1","101","92.5","86.8","413","140","413","26",46.4,"3",5.4,2.9
"Haase, Eric","606992","38","11.5",39.5,"109.6","90","100.6","95.8","84.4","438","179","405","15",39.5,"5",13.2,7.2
"Black, Tyler","672012","32","16.4",31.3,"102.6","83","93.4","84.1","85.1","361","166",,"5",15.6,"0",0,0
"Miller, Owen","680911","19","9.7",21.1,"104.7","89.6","97.1","87.1","91.8","356","140",,"4",21.1,"0",0,0
"Collins, Isaac","686555","7","23.5",42.9,"103.7","87.2","96.5","89.1","85.4","344","194",,"2",28.6,"0",0,0
"Capra, Vinny","681962","6","16.2",16.7,"92.5","77.6","89.3","90.4","76.2","321","86",,"0",0,"0",0,0
"Hicklen, Brewer","676551","1","3.1",0,"82.5","82.5","82.5",,"82.5","62","62",,"0",0,"0",0,0
