"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Donovan, Brendan","680977","511","13.2",36.6,"108.7","88.7","98.6","92.1","87.2","422","165","385","192",37.6,"28",5.5,4.3
"Arenado, Nolan","571448","493","16.9",35.9,"107.5","86.3","96.9","88.9","84.6","425","164","384","156",31.6,"16",3.2,2.5
"Winn, Masyn","691026","486","13.2",33.1,"111.1","87","98.1","89.3","87","417","160","394","159",32.7,"18",3.7,2.8
"Burleson, Alec","676475","478","13.6",34.3,"111","89.7","99.4","93.4","86.3","435","169","387","199",41.7,"31",6.5,5.2
"Goldschmidt, Paul","502671","428","13.1",34.3,"111.4","91.2","101.9","96.5","86.5","457","175","401","212",49.6,"46",10.7,7
"Nootbaar, Lars","663457","273","6",32.2,"113.5","91.8","102.3","95.8","89.6","441","151","410","135",49.5,"27",9.9,6.7
"Siani, Michael","672279","218","5.1",30.7,"104.8","84.4","95.8","89.1","81.7","396","116","382","49",22.6,"5",2.3,1.5
"Gorman, Nolan","669357","216","20.3",40.3,"111","88.5","100.7","93.7","80.2","436","201","399","83",38.6,"36",16.7,9
"Contreras, Willson","575929","205","14.2",32.7,"115.3","91.6","103.7","95.3","90.3","445","168","410","96",46.8,"23",11.2,6.4
"Herrera, Iván","671056","178","9.2",38.2,"112.4","89.3","100.7","92.7","86.7","446","163","417","75",42.1,"16",9,6.2
"Pagés, Pedro","686780","147","11.8",32,"109.7","89","99.2","91.2","88.3","462","165","406","59",40.4,"7",4.8,3.2
"Walker, Jordan","691023","116","9.4",29.3,"115.5","91.2","101.8","92.7","91.1","425","161","404","50",43.1,"11",9.5,6.2
"Scott II, Victor","687363","105","12.1",30.5,"107.1","88.4","98.6","92.5","85.3","402","155","397","35",33.3,"6",5.7,3.9
"Carpenter, Matt","572761","88","24.2",45.5,"106.5","85.8","96.6","90.6","77.8","436","202","404","25",28.7,"6",6.8,3.8
"Fermín, José","665877","60","8.3",15,"105.7","85.4","95.3","89.9","85.8","370","107",,"15",25,"0",0,0
"Crawford, Brandon","543063","45","13.5",37.8,"108.4","89.7","98.7","90.1","90.4","410","164","410","15",33.3,"3",6.7,3.8
"Saggese, Thomas","695336","35","11.3",45.7,"108.4","85.7","96.5","92.7","78.2","374","176","374","9",25.7,"1",2.9,1.9
"Baker, Luken","663609","31","16.2",32.3,"109.3","91","100.8","94.3","92","388","189","382","18",58.1,"2",6.5,4.1
