"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Hoerner, Nico","663538","519","10.4",36,"110.1","85.7","96","87.4","85.7","400","150","368","143",27.6,"6",1.2,0.9
"Paredes, Isaac","670623","443","22.4",37,"107.3","85","95.9","89.4","79.5","415","179","375","120",27.1,"20",4.5,3.1
"Bellinger, Cody","641355","432","17.4",32.9,"109.2","87.8","97.3","90.6","85.4","430","179","396","142",32.9,"27",6.3,4.7
"Happ, Ian","664023","403","15.1",37,"114","90.8","101.6","94.6","88.5","442","182","397","182",45.2,"47",11.7,7.2
"Swanson, Dansby","621020","393","10.4",32.6,"109.8","89.4","100.2","94.9","85.1","425","153","389","168",42.7,"36",9.2,6.1
"Suzuki, Seiya","673548","356","16.2",38.8,"115.5","91.7","102.6","94.2","89.6","459","198","407","175",49.2,"41",11.5,7
"Busch, Michael","683737","338","17.2",36.4,"109.3","89.9","100","95.4","83.6","468","177","404","135",39.9,"38",11.2,6.7
"Crow-Armstrong, Pete","691718","285","17.2",32.6,"107.2","88.9","98.8","94","82.7","438","169","403","105",36.8,"21",7.4,5.1
"Amaya, Miguel","665804","274","11.1",33.9,"111.3","88.4","99.1","91.4","86.6","426","153","401","93",33.9,"13",4.7,3.6
"Tauchman, Mike","643565","229","15.5",34.9,"110.3","89","99.1","92.3","86.2","421","178","384","94",41,"17",7.4,4.9
"Bethancourt, Christian","542194","105","12.4",25.7,"110.9","89.1","100.5","92.2","86.4","431","150","390","44",41.9,"8",7.6,5.4
"Wisdom, Patrick","621550","101","28",23.8,"112.7","90.9","102.1","95","84.3","438","213","415","49",48.5,"16",15.8,9.2
"Nido, Tomás","621512","100","14.1",35,"108.4","89.8","99.7","95.8","84.7","405","181","389","44",44,"12",12,8.6
"Mastrobuoni, Miles","670156","82","13.9",32.9,"107.6","87.4","96.3","88.3","87","390","167",,"26",31.7,"2",2.4,1.9
"Madrigal, Nick","663611","77","3.4",27.3,"105.1","85.1","94.5","88.9","83.7","326","110",,"14",18.2,"0",0,0
"Gomes, Yan","543228","57","17",42.1,"106.9","87.1","99.5","92.2","79.4","410","180","410","24",42.1,"6",10.5,6.3
"Bote, David","623520","33","13.4",30.3,"107.6","88.3","101.2","91.4","90.2","383","153",,"16",48.5,"1",3,2.1
"Mervis, Matt","670223","18","10.5",16.7,"111.7","87.1","96.3","90.3","84.1","362","155",,"5",27.8,"1",5.6,3.6
"Canario, Alexander","672744","14","10.8",28.6,"109.2","88","102.8","94.2","87.4","416","167","416","6",42.9,"2",14.3,7.1
"Alcántara, Kevin","682634","9","-10.1",0,"106.9","86.3","99.6","94.9","85.2","344","60",,"3",33.3,"0",0,0
"Vazquez, Luis","676679","7","-0.2",14.3,"103.3","84.3","99.3","101.4","79","316","93",,"3",42.9,"0",0,0
