"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Taillon, Jameson","592791","515","15.9",32.2,"114","89.7","79.7","92.4","87.7","433","172","397","200",38.8,"37",7.2,5.5
"Imanaga, Shota","684007","489","17.8",35.8,"114.4","88.6","77.6","92.4","84.7","441","180","398","192",39.3,"42",8.6,6.1
"Assad, Javier","665871","445","13.3",36,"114.7","89.1","78.3","93.3","86.3","435","170","396","177",39.8,"39",8.8,6.1
"Hendricks, Kyle","543294","434","13",36.4,"113.6","85.9","73.6","91.5","82.4","460","158","398","145",33.4,"32",7.4,5.6
"Steele, Justin","657006","379","12.3",30.6,"114.1","86.9","75.7","90.2","85.3","427","150","391","126",33.2,"16",4.2,2.9
"Armstrong, Shawn","542888","202","16.7",36.6,"113","88.9","77.6","92.2","87.8","422","178","393","77",38.1,"18",8.9,6.1
"Wesneski, Hayden","669713","193","10.8",32.1,"113.3","87.6","75.7","93.6","84.1","448","159","409","71",36.8,"18",9.3,6.4
"Pearson, Nate","663878","187","16.8",38,"110.6","90.9","81.3","95","86.9","436","186","395","85",45.5,"19",10.2,6.7
"Smyly, Drew","592767","173","19.5",34.1,"114.1","89.2","78.3","91.9","89.8","431","179","394","66",38.2,"11",6.4,4.3
"Miller, Tyson","668338","165","20.3",33.3,"111.3","88.2","77.7","92.9","81.6","451","186","414","57",34.5,"13",7.9,5.5
"Wicks, Jordan","696136","148","14.9",35.8,"118.1","89.4","78.6","93","85.2","418","179","397","59",39.9,"13",8.8,6.1
"López, Jorge","605347","146","9.1",27.4,"109.5","88.7","77.3","93.3","86.3","418","147","389","58",39.7,"12",8.2,5.6
"Brown, Ben","676962","138","16.2",34.1,"113.7","91.8","81.6","95.9","90.2","427","179","390","71",51.4,"15",10.9,6.8
"Hodge, Porter","687863","92","13.4",28.3,"109.5","88.6","77.7","91.7","86.8","411","158","404","33",35.9,"3",3.3,1.8
"Roberts, Ethan","681799","81","20.6",40.7,"116.7","91","81.7","91.7","93.4","406","205","400","35",43.2,"6",7.4,5.1
"Thompson, Keegan","624522","72","12.9",41.7,"119.7","90.6","80.1","94.5","84.9","416","184","392","34",47.2,"9",12.5,7.1
"Brewer, Colten","605155","63","11.9",31.7,"112.9","87.2","76.8","91","84.8","411","150","411","19",30.2,"5",7.9,5.3
"Little, Luke","681432","59","-1.6",15.3,"108.9","87.4","75.7","91.5","86.5","410","95","378","24",40.7,"2",3.4,1.8
"Paredes, Enoli","660600","59","15.1",30.5,"108.4","86.7","75.5","92.9","83.2","397","160",,"19",32.2,"5",8.5,5.7
"Alzolay, Adbert","640470","55","16.8",40,"110.9","92","83.5","93.7","89.7","410","183","391","21",38.2,"9",16.4,12
"Merryweather, Julian","657240","48","11.9",39.6,"110.9","93.5","85.8","94.7","93.5","395","177",,"25",53.2,"2",4.2,2.7
"Palencia, Daniel","694037","40","7.1",30,"109","92.5","82.8","94.9","92.5","395","148",,"18",45,"2",5,2.9
"Almonte, Yency","622075","37","14.5",32.4,"107.9","84.5","72.4","82.6","88","407","142","407","12",32.4,"3",8.1,4.5
"Kilian, Caleb","668873","35","11.6",40,"109.3","89.1","78.7","96","83.6","421","155","417","13",37.1,"5",14.3,10.4
"Wingenter, Trey","622259","32","7",34.4,"107.3","90","81.8","94.9","88.1","419","139","399","16",50,"1",3.1,2.4
"Neely, Jack","680891","19","14.6",31.6,"106.5","91.1","83.2","95.1","84.7","398","208","387","9",47.4,"2",10.5,7.1
"Mervis, Matt","670223","9","18.9",77.8,"107.3","91.1","80.9","93.3","73","344","237",,"4",44.4,"1",11.1,11.1
"Hollowell, Gavin","668970","5","-14.4",0,"99.1","91.7","86.5",,"91.7","83","28",,"1",20,"0",0,0
"Bote, David","623520","4","15.6",25,"100.1","93.8","90.8","95.3","92.4","392","208",,"1",25,"1",25,20
"Wisdom, Patrick","621550","2","-4.9",0,"104.9","93.4","82",,"93.4","47","30",,"1",50,"0",0,0
