"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Chapman, Matt","656305","419","16.2",31.3,"114.5","93.2","104.4","96.8","91.3","428","178","407","202",48.3,"53",12.6,8.2
"Ramos, Heliot","671218","344","10.4",34.3,"111.8","91.5","102.6","96.1","87.2","448","169","410","163",47.5,"50",14.5,9.7
"Conforto, Michael","624424","323","14.8",33.7,"113.6","90.2","102","95.4","86.3","440","168","399","148",46,"38",11.8,7.8
"Bailey, Patrick","672275","309","12.1",37.9,"110.1","91.3","100.7","93.5","89.5","433","171","411","132",43,"17",5.5,3.8
"Yastrzemski, Mike","573262","306","19.1",33,"108.2","90.4","99.5","94","85.8","422","181","380","125",41,"32",10.5,6.8
"Canha, Mark","592192","302","9.6",31.5,"107","88.4","98.2","92.8","86.7","414","147","390","113",37.4,"10",3.3,2.2
"Estrada, Thairo","642731","290","10.5",30.3,"108.6","86.2","97.3","92.4","82.4","409","146","391","92",31.7,"14",4.8,3.7
"Wade Jr., LaMonte","664774","245","12.9",39.6,"110.8","90.5","101.2","94.8","85.7","442","180","391","108",44.1,"23",9.4,5.7
"Fitzgerald, Tyler","666149","207","20.2",38.6,"107.3","87.7","97.6","90.6","83.6","434","187","397","66",31.9,"17",8.2,5
"Wisely, Brett","689172","192","16.2",29.7,"107","86.8","96.9","89.5","84.7","413","169","395","60",31.6,"10",5.2,3.7
"Flores, Wilmer","527038","186","21.4",36.6,"107.1","83.5","95.5","90.8","77.1","394","177","387","51",27.6,"11",5.9,4.5
"Lee, Jung Hoo","808982","134","9.2",29.1,"108.9","89.1","99.5","91.9","87.8","406","154","385","56",41.8,"6",4.5,3.8
"Matos, Luis","682641","127","14.1",29.1,"109.1","86.9","98.3","91.9","83.5","410","165","390","47",37,"5",3.9,3.2
"Casali, Curt","592200","88","20",33,"104.5","83","92.6","87.1","78.6","403","162","403","15",17,"1",1.1,0.8
"Schmitt, Casey","669477","83","16.5",31.3,"109.7","89.2","99.2","94.2","85","422","181","399","30",36.1,"7",8.4,6.2
"Encarnacion, Jerar","666464","80","6.7",37.5,"115","95","105.6","99.3","91.1","430","158","396","47",58.8,"12",15,10.1
"McCray, Grant","687529","68","5.4",29.4,"108.9","90.2","101.8","95.5","85.1","425","155","415","30",44.1,"8",11.8,6.2
"Luciano, Marco","682617","48","12.4",41.7,"108.1","87.9","100.6","91.7","83.5","371","172",,"22",45.8,"3",6.3,3.7
"Villar, David","681584","23","15.7",34.8,"106.7","91.3","101.4","96.1","84.9","433","194","433","12",52.2,"3",13,8.1
"Sabol, Blake","666165","23","12.7",30.4,"110.5","90.3","100.9","95.8","88.1","402","166",,"10",43.5,"2",8.7,5.3
"Murphy, Tom","608596","20","4.5",35,"109.3","87.4","100.2","98.5","79.4","407","140","407","7",35,"2",10,5.3
"Brooks, Trenton","670092","19","16.2",31.6,"103.8","87.2","97.3","93.2","75.2","381","196",,"5",26.3,"1",5.3,3.4
"Walton, Donovan","622268","15","10.4",33.3,"102.3","84.1","94.8","89.5","80.7","408","154","408","3",20,"1",6.7,4
"Reetz, Jakson","656883","9","19.3",11.1,"106.5","85.5","96.4","88.2","82.2","393","190","393","4",44.4,"1",11.1,6.7
"McKenna, Ryan","663630","9","27.4",22.2,"108.2","84.5","99.7","97.6","70.3","403","212","378","4",44.4,"2",22.2,13.3
"Knapp, Andrew","595284","4","-1.1",0,"102.3","83.8","98.7","95.1","80","304","99",,"2",50,"0",0,0
