"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Kirby, George","669923","568","14.8",30.5,"113.9","89","78.8","91.9","88.1","433","164","402","206",36.3,"46",8.1,5.9
"Gilbert, Logan","669302","542","12.6",33,"114.9","89.6","79","93.7","86.9","459","162","398","213",39.3,"39",7.2,4.9
"Castillo, Luis","622491","492","16.3",37,"112.4","89.7","78.9","94","87.6","445","170","393","206",41.9,"42",8.5,5.8
"Miller, Bryce","682243","485","16.3",32.8,"110.7","90.3","80.7","92.9","88.3","437","177","392","200",41.2,"47",9.7,6.7
"Woo, Bryan","693433","355","15.6",29.9,"115.6","88.8","78.8","92.2","85.8","429","167","395","125",35.2,"17",4.8,3.6
"Hancock, Emerson","676106","202","16.5",39.6,"111.8","88.5","76.5","92.9","85.6","416","180","391","93",46,"20",9.9,7.5
"Thornton, Trent","663423","193","16.2",31.1,"111.7","87.9","77","92.5","83.2","415","163","384","72",37.3,"15",7.8,5.1
"Voth, Austin","608723","166","16.2",40.4,"115.5","85.8","74.6","89.1","81.7","420","178","393","49",29.5,"13",7.8,5.2
"Muñoz, Andrés","662253","126","1.5",31,"108.8","86.3","74.8","92.3","82.5","438","139","408","42",33.3,"11",8.7,4.7
"Hernández, Jonathan","642546","124","6.9",33.9,"114.5","89.2","78.6","93.8","84.9","395","155","385","49",39.5,"11",8.9,5.7
"Snider, Collin","676092","109","16.7",37.6,"107.8","85.7","72.7","90.8","79.7","416","178","397","40",36.7,"11",10.1,6.5
"Saucedo, Tayler","642048","108","7.3",25.9,"111.4","85.2","73.5","89.6","82.3","395","128","377","30",27.8,"5",4.6,3
"Chargois, JT","608638","101","16.3",38.6,"113.9","89.7","79.3","93.6","85.6","433","182","409","42",41.6,"8",7.9,5.5
"García, Yimi","554340","90","23.3",36.7,"111.9","87.4","75.6","93.6","79.7","405","196","398","31",34.4,"12",13.3,7.8
"Bazardo, Eduard","660825","66","10.4",21.2,"108.7","87.3","77","89.6","86.6","412","137","408","22",33.3,"3",4.5,2.8
"Bolton, Cody","675989","57","15.1",33.3,"113.4","87","75.3","93.7","83.8","411","149","392","20",35.1,"4",7,4.8
"Speier, Gabe","642100","55","19.1",23.6,"110.6","88.2","77.9","89.6","87.9","404","162","379","20",36.4,"4",7.3,3.8
"Taylor, Troy","700187","49","16.5",34.7,"115","85.7","72.2","91.9","81.3","405","182","372","17",34.7,"7",14.3,8.6
"Díaz, Jhonathan","646242","36","13.9",27.8,"109","89.2","79.6","91.9","87.9","372","168","365","13",36.1,"1",2.8,2.1
"Snead, Kirby","669912","34","1.6",17.6,"107.5","88.3","76.2","91.9","84.8","388","141",,"14",41.2,"1",2.9,2.1
"Santos, Gregory","666619","23","6.4",21.7,"105.6","85.7","74.1","91.5","84.3","326","109",,"8",34.8,"1",4.3,3.2
"Rivas, Leo","660844","9","24",44.4,"101.8","91.8","85.6","95.7","92.2","369","220",,"4",44.4,"1",11.1,11.1
"Rojas, Josh","668942","6","39.5",33.3,"105","88.2","78","97.1","97.9","409","193","409","2",33.3,"1",16.7,12.5
