"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Lindor, Francisco","596019","494","17",35.4,"112.7","90.9","101.1","95.1","85.4","432","188","397","234",47.4,"67",13.6,9.7
"Alonso, Pete","624413","440","14.4",30.5,"116.3","89.8","102.8","95.3","86.1","471","171","409","204",46.4,"58",13.2,8.3
"Nimmo, Brandon","607043","416","11.2",33.7,"111.5","91.9","101.3","94.5","90.5","440","172","399","197",47.4,"38",9.1,5.7
"McNeil, Jeff","643446","360","14.9",32.2,"107.7","87","96.9","89.3","85.9","402","167","378","112",31.1,"11",3.1,2.3
"Winker, Jesse","608385","329","14",30.1,"109.2","88.6","98.9","92.8","86.6","429","148","402","123",37.4,"25",7.6,4.9
"Bader, Harrison","664056","313","11.9",33.9,"111.7","87.2","98.7","92.1","84.4","431","156","404","111",35.5,"20",6.4,4.6
"Martinez, J.D.","502110","295","14.4",39.3,"110.8","91","101.4","94.6","87.4","430","186","402","136",46.1,"44",14.9,8.9
"Vientos, Mark","668901","283","11.4",34.6,"113.2","91.2","102.5","96","87.2","451","169","402","132",46.6,"40",14.1,8.8
"Marte, Starling","516782","259","4.3",36.7,"110.9","89.8","101.2","94.4","86.2","434","137","402","111",42.9,"18",6.9,4.9
"Taylor, Tyrone","621438","241","16.8",34.4,"110.7","87.3","99.4","93.4","81.9","413","168","399","85",35.3,"17",7.1,4.9
"Iglesias, Jose","578428","232","9",36.2,"109.8","85.8","97","89.1","83.2","413","144","403","71",30.6,"5",2.2,1.7
"Alvarez, Francisco","682626","224","6.9",27.2,"114.8","88.8","101.3","94.2","85.4","439","143","408","94",42,"15",6.7,4.4
"Baty, Brett","683146","112","10.3",27.7,"112","86.6","99.4","91.9","83.6","424","135","409","37",33,"6",5.4,3.5
"Stewart, DJ","621466","111","19.1",34.2,"110.9","89.7","100.3","92.5","88.2","425","186","401","44",39.6,"9",8.1,4.6
"Torrens, Luis","620443","91","13.1",36.3,"108.6","89.6","99.1","93.1","86.6","404","158","402","42",46.2,"6",6.6,4.6
"Narváez, Omar","553882","54","21",27.8,"99.4","86.1","95.1","89.3","84.4","374","171",,"12",22.2,"0",0,0
"Acuña, Luisangel","682668","33","10.3",27.3,"109.8","91","101.5","91.4","91.1","414","157","396","15",45.5,"3",9.1,7.5
"Wendle, Joey","621563","27","4.8",37,"99.9","88.3","94.7","90.7","86.3","355","138",,"7",25.9,"0",0,0
"Alvarez, Eddy","657193","7","3.4",14.3,"102.3","89.1","95.6","97.7","85.7","270","75",,"2",28.6,"0",0,0
