"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Abrams, CJ","682928","418","15.1",33,"110","88.2","99.5","93.6","84","429","173","404","170",40.7,"29",6.9,4.8
"García Jr., Luis","671277","415","8.2",32.8,"110.7","89.1","100.2","93.2","85.7","438","158","399","173",41.7,"33",8,6.3
"Ruiz, Keibert","660688","410","19.8",32.2,"107.9","85.4","95.5","87.7","84.8","418","174","393","105",25.6,"13",3.2,2.7
"Young, Jacob","696285","377","4",27.6,"106.7","85.8","96.9","89.6","84.4","403","123","397","109",28.9,"6",1.6,1.2
"Vargas, Ildemaro","545121","251","4",29.5,"108.5","87","97.1","89.4","86.2","388","130","388","80",31.9,"3",1.2,1
"Meneses, Joey","608841","224","8.3",30.8,"114.2","88.9","99.3","93","86.9","393","153","383","88",39.3,"10",4.5,3.2
"Wood, James","695578","198","2.4",31.3,"111.6","92.8","104.7","96.9","89.4","435","144","408","103",52,"21",10.6,6.3
"Ramírez, Harold","623912","189","-0.2",27.5,"110.9","87","98.3","89.6","86.7","429","114","411","64",33.9,"6",3.2,2.4
"Yepez, Juan","660766","188","8.5",30.3,"112.2","86.6","98.2","89.6","85.9","432","137","396","67",35.6,"11",5.9,4.4
"Lipscomb, Trey","702358","152","0.7",23,"108.2","86.5","97.9","90.2","85.9","394","106","384","48",31.6,"1",0.7,0.5
"Gallo, Joey","608336","122","26.1",32.8,"109","90.5","100.3","94.8","85.6","447","196","392","53",43.4,"16",13.1,6.2
"Tena, José","677588","120","7.6",30.8,"109.4","91.2","101","96.8","85.7","412","155","404","59",49.2,"10",8.3,6
"Chaparro, Andrés","665953","97","16.6",27.8,"107.1","87.8","98.3","90.8","85.1","426","179","401","32",33,"6",6.2,4.5
"Crews, Dylan","686611","94","8.8",23.4,"109.6","89","101.3","94.7","86.8","404","134","402","42",44.7,"6",6.4,4.5
"Adams, Riley","656180","83","13.6",30.1,"110.1","89.9","101.8","93.5","89.2","427","142","415","36",43.4,"6",7.2,4.6
"Call, Alex","669743","80","12.5",28.7,"107.9","88","97.2","91.8","85.4","397","150","381","26",32.5,"4",5,3.5
"Nuñez, Nasim","683083","51","-1.9",17.6,"103","83.3","95.6","92","81.8","388","79",,"11",21.6,"0",0,0
"Millas, Drew","686452","41","2.7",39,"105.7","88","97.3","89.4","86.3","428","141","428","14",34.1,"1",2.4,1.6
"Blankenhorn, Travis","663905","22","4.8",18.2,"107.1","86.7","97.6","96.9","83.3","372","91",,"8",36.4,"0",0,0
"Baker, Darren","671117","11","6.2",27.3,"100.4","86.7","96","81.9","87.9","346","91",,"3",27.3,"0",0,0
"Garrett, Stone","656448","5","20.5",60,"107.8","100","103.6","101.7","93.4","431","290","431","4",80,"2",40,33.3
