"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Corbin, Patrick","571578","568","10",37.3,"116.3","90.8","79.9","93.8","88.9","440","160","406","265",46.7,"47",8.3,6.2
"Irvin, Jake","663623","557","11.4",32.9,"115.6","88.8","77.5","93.9","84.5","462","165","403","218",39.1,"51",9.2,6.6
"Gore, MacKenzie","669022","473","13.5",35.9,"113.2","88","76.8","90.1","87.1","428","171","403","180",38.1,"32",6.8,4.4
"Parker, Mitchell","680730","468","15.3",35.3,"113.6","89.6","79.5","93.3","85.2","436","176","408","182",38.9,"38",8.1,5.9
"Law, Derek","571882","264","9",34.5,"110","88.2","77.9","91.1","86.9","408","147","391","93",35.2,"10",3.8,2.7
"Herz, DJ","687792","236","18",30.5,"113.3","89.4","79.8","92.7","86","425","176","403","82",34.7,"19",8.1,5
"Barnes, Jacob","606930","202","12.8",43.6,"113","89","78.4","92.9","83.7","447","183","420","84",41.6,"13",6.4,4.7
"Finnegan, Kyle","640448","187","10.6",31.6,"115.7","91.3","80.4","93.2","90.3","446","161","398","90",48.1,"13",7,4.8
"Williams, Trevor","592866","183","13.4",31.7,"111.6","89.4","79.5","92.1","88.3","433","162","410","72",39.3,"12",6.6,4.6
"Garcia, Robert","676395","159","11.5",29.6,"111.4","87.7","77.7","90.9","86.3","444","145","405","48",30.2,"5",3.1,2
"Rainey, Tanner","663432","154","25.8",33.8,"109.4","91.1","81.8","94.5","86.7","415","199","395","66",42.9,"22",14.3,9.5
"Weems, Jordan","607179","135","15.1",33.3,"112.3","89.7","78.8","93.5","86.9","426","175","405","58",43,"12",8.9,6.1
"Ferrer, Jose A.","678606","96","5.4",21.9,"110.3","90.7","80.4","91.8","91.3","390","121","390","46",47.9,"1",1,0.8
"Salazar, Eduardo","674285","91","5.8",28.6,"112","88.4","74.5","94.1","86.4","447","123","424","39",42.9,"4",4.4,3
"La Sorsa, Joe","686747","54","15.2",31.5,"113.7","86.6","73.5","92.1","78","430","159","402","18",33.3,"5",9.3,6.8
"Barnes, Matt","598264","45","17",35.6,"118.7","90.9","82","94.3","91.2","450","160","450","19",42.2,"4",8.9,6.7
"Adon, Joan","672851","37","-3.6",24.3,"109.4","84","70","96.4","75.6","390","117","390","11",29.7,"3",8.1,6.3
"Gray, Josiah","680686","30","22.2",36.7,"108.7","90.3","80.2","92.7","88.3","405","206","397","15",50,"4",13.3,9.1
"Rutledge, Jackson","671131","22","8.9",36.4,"104.4","90.3","80.9","89.5","93.6","411","144","411","8",36.4,"2",9.1,5.9
"Brzykcy, Zach","694350","21","19.5",38.1,"109.8","92.7","84.1","94.6","86.7","386","220","381","10",47.6,"4",19,14.3
"Ribalta, Orlando","687377","17","20.2",47.1,"105.5","90.4","82.7","91.2","88.9","352","198",,"6",35.3,"0",0,0
"Vargas, Ildemaro","545121","8","16.5",25,"104.2","93.2","85.9","91.6","95.8","414","197","414","4",50,"1",12.5,11.1
"Willingham, Amos","686294","4","21.8",50,"104.5","86.6","72.6","89.3","78.5","415","214","415","2",50,"1",25,20
