"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Burnes, Corbin","669203","553","11",26.8,"114.5","87.5","76.7","91.3","85.7","434","143","406","175",31.6,"37",6.7,4.7
"Eflin, Zach","621107","523","13.3",30,"115.3","88.1","76.4","92.5","85.6","450","159","404","189",36.1,"39",7.5,5.7
"Suárez, Albert","544150","411","17",38,"114.7","88.8","78.4","92.6","84.8","429","182","396","158",38.4,"29",7.1,5.1
"Rogers, Trevor","669432","405","10.4",33.1,"112.1","90.7","80.4","94","88.5","447","159","399","180",44.4,"34",8.4,6
"Kremer, Dean","665152","376","15.1",30.9,"114.5","87.4","75.9","92.4","83.4","447","165","403","133",35.4,"37",9.8,6.7
"Rodriguez, Grayson","680570","320","13.4",36.9,"112.9","89.2","78.5","93.8","84.8","431","172","398","127",39.7,"25",7.8,5.1
"Povich, Cade","700249","246","17.8",32.5,"115.1","88.4","77.6","92.9","83.5","431","181","401","90",36.6,"22",8.9,6.3
"Akin, Keegan","669211","195","18.5",29.7,"113.9","88.3","77.4","93.6","84.9","423","173","407","73",37.4,"15",7.7,4.8
"Smith, Burch","572143","181","12.9",34.8,"111.4","90.7","80.7","93.2","88.8","455","167","418","81",44.8,"17",9.4,7.1
"Domínguez, Seranthony","622554","164","16.3",35.4,"109","86.9","75.3","91","83.5","438","178","396","54",32.9,"20",12.2,7.8
"Cano, Yennier","666974","159","-1.9",25.8,"113.6","89.9","79","94.4","87.7","440","117","400","69",43.4,"10",6.3,4
"Pérez, Cionel","672335","159","4.1",28.9,"116.4","88.3","77","93.6","85.9","403","131",,"54",34,"8",5,3.4
"Webb, Jacob","657097","151","17.7",33.8,"115.5","87.4","76.1","93.3","80.2","402","182","395","52",34.4,"12",7.9,5.1
"Soto, Gregory","642397","144","6.2",34.7,"110.9","88.6","77.3","92.6","86.4","406","140","382","63",43.8,"11",7.6,4.5
"Kimbrel, Craig","518886","123","17.3",37.4,"120","91.1","81.6","94.6","87.1","431","190","404","53",43.1,"13",10.6,5.6
"Bowman, Matt","621199","93","8.4",36.6,"112.7","89.3","78.2","94.2","84.1","412","168","388","38",40.9,"11",11.8,8.3
"Bradish, Kyle","680694","91","3.1",31.9,"107.9","84.8","73.2","91.3","82.7","406","123","394","26",28.6,"6",6.6,3.7
"Coulombe, Danny","543056","70","11.8",27.1,"108.1","90.3","79.8","92.9","89.7","407","158","400","33",47.1,"4",5.7,3.7
"Baker, Bryan","641329","63","15.6",28.6,"113","90.6","79.2","94.7","88.3","405","179","379","30",47.6,"6",9.5,6.5
"Means, John","607644","61","26.5",39.3,"110.5","90.9","80.3","94.5","83","405","213","399","32",52.5,"4",6.6,5
"Wells, Tyler","669330","51","17",37.3,"111.9","89.9","77.8","97.8","83.5","434","181","414","23",45.1,"6",11.8,9
"Vespi, Nick","663989","37","14.4",32.4,"107.5","89.1","79","93.3","84.5","436","171","436","13",35.1,"2",5.4,4.1
"Nittoli, Vinny","657697","36","23.7",25,"109.1","91.5","82.8","92.8","92.7","422","193","422","15",41.7,"2",5.6,4.3
"Heasley, Jonathan","669169","21","4.8",23.8,"108","92.2","82.7","98.8","88.1","399","133","398","12",57.1,"2",9.5,6.9
"Rivera, Emmanuel","656896","19","21.6",42.1,"105.2","89","78.6","92.3","94.8","420","188","420","9",47.4,"1",5.3,5
"Selby, Colin","681882","18","4.1",11.1,"106.4","90.1","80.8","98.5","88.9","320","94",,"8",44.4,"0",0,0
"Davidson, Tucker","656353","16","13",12.5,"107.8","84.6","74.3","82.8","86","342","134",,"3",18.8,"0",0,0
"McDermott, Chayce","694646","13","13.3",15.4,"107.7","96.6","91.1","94.5","98","414","167","414","9",69.2,"1",7.7,5.6
"McCann, James","543510","5","18.5",40,"100.6","90","84.7","92.9","78.7","406","259","406","2",40,"1",20,20
"Krook, Matt","640454","3","0.5",33.3,"107.4","96.6","91.2","107.4","91.2","404","161","404","2",66.7,"1",33.3,16.7
