"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Arraez, Luis","650333","611","13.7",40.9,"108.4","86.3","94.8","89.3","83.9","401","164","379","145",23.7,"10",1.6,1.5
"Machado, Manny","592518","473","12.7",33.8,"115.6","92.5","103.4","95.7","91.3","438","167","402","231",48.8,"52",11,8.1
"Profar, Jurickson","595777","473","13.4",31.3,"110.3","91.1","101","93.1","91","431","164","386","210",44.4,"34",7.2,5.1
"Cronenworth, Jake","630105","463","13.9",35.4,"110.9","88.6","99.5","92.6","85.9","422","167","392","170",36.7,"36",7.8,5.5
"Merrill, Jackson","701538","462","14.6",39.4,"111.6","90.4","100.8","93.5","86.9","442","190","399","203",43.9,"52",11.3,8.8
"Bogaerts, Xander","593428","355","10.9",32.1,"111.3","88.1","98.1","91.1","86.2","447","153","399","118",33.2,"18",5.1,3.9
"Kim, Ha-Seong","673490","333","15.1",36.6,"107.9","87.9","98.6","92.1","87","405","165","388","118",35.4,"16",4.8,3.4
"Tatis Jr., Fernando","665487","303","10",33.7,"116.7","93.5","104.4","97.6","89.7","448","166","410","169",55.8,"44",14.5,10
"Díaz, Elias","553869","258","7.6",31,"110.5","87.1","99","91.2","85.4","419","138","400","89",34.5,"12",4.7,3.4
"Campusano, Luis","669134","237","9.9",27.4,"110.8","87.7","98.3","90.3","87.3","429","152","385","81",34.2,"11",4.6,3.7
"Solano, Donovan","456781","219","13.7",37,"107.6","87.3","98.1","90.7","84.7","404","165","387","82",37.4,"8",3.7,2.6
"Peralta, David","444482","182","8.9",36.8,"111.6","88.1","99.5","91","87.1","427","151","396","77",42.3,"10",5.5,3.8
"Higashioka, Kyle","543309","174","20.7",39.7,"107.2","88.4","99.4","93.6","82.2","420","200","386","65",37.4,"19",10.9,7.2
"Ahmed, Nick","605113","165","13.4",29.7,"104.2","84.9","95.4","90","82.1","396","144","391","38",23,"5",3,2.2
"Wade, Tyler","642180","113","14.5",37.2,"104.9","83.7","93.4","85.8","82.3","391","145",,"20",17.7,"2",1.8,1.3
"Azocar, José","640492","55","9.8",30.9,"108.4","86.5","97.5","90.9","84.2","387","144",,"17",30.9,"2",3.6,2.5
"Johnson, Bryce","669369","54","7.4",37,"103.9","86.1","95.5","88.1","83.9","353","126",,"13",24.1,"0",0,0
"Rosario, Eguy","666703","34","12.9",41.2,"107.7","89.2","100.5","97.9","81.8","404","184","385","16",47.1,"5",14.7,8.8
"McCoy, Mason","669200","33","9.3",33.3,"100.1","82.9","93.6","84.4","81.7","355","130",,"5",15.2,"0",0,0
"Pauley, Graham","688363","17","17.7",47.1,"105","85.8","98.9","86.8","84.1","419","198","386","9",52.9,"1",5.9,3.1
"Sullivan, Brett","664954","12","37.7",16.7,"99.3","81.8","92.8","92.3","70.6","359","168","359","3",25,"1",8.3,5.9
"Lockridge, Brandon","663604","8","18",12.5,"104.5","90.9","101.5","88.7","101.5","394","131","394","4",50,"1",12.5,8.3
"Batten, Matthew","676946","3","-1",33.3,"98.8","85.6","95.6","98.8","79","334","120",,"1",33.3,"0",0,0
