"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Cease, Dylan","656302","469","14.1",32.2,"116.8","89","78.3","93.8","84.1","429","171","397","181",38.6,"40",8.5,5.2
"King, Michael","650633","455","13.8",34.7,"112.4","85.7","74","89.4","82.5","431","157","401","138",30.3,"28",6.2,3.9
"Waldron, Matt","663362","440","16.4",33.6,"113.4","88.1","77.2","92.9","85.3","450","171","400","154",35,"31",7,5
"Pérez, Martín","527048","429","11.2",34.3,"117.4","89","76.9","94.4","85.2","445","166","405","178",41.5,"37",8.6,6.3
"Vásquez, Randy","681190","333","15",38.7,"119.2","88.7","77","92.6","86.1","441","171","398","132",39.6,"29",8.7,6.7
"Musgrove, Joe","605397","276","13.8",35.5,"115.8","90.3","80.6","93.6","86.9","426","173","395","112",40.6,"29",10.5,7.1
"Darvish, Yu","506433","228","17.1",32,"113.2","89.4","79.1","93.5","86","423","177","398","91",39.9,"17",7.5,5.1
"Suarez, Robert","663158","183","16",30.6,"109.5","89","78.5","92.5","88","420","163","385","74",40.4,"14",7.7,5.4
"Morejon, Adrian","670970","179","7.1",31.8,"110.7","86.6","74.8","92.3","83.8","442","145","396","58",32.4,"15",8.4,5.5
"Adam, Jason","592094","172","13.8",29.7,"117.8","88.5","77.1","93.7","84.7","444","165","430","65",37.8,"11",6.4,3.9
"Scott, Tanner","656945","171","11.1",29.8,"109.3","84.3","71.8","90.5","81.3","409","134","390","47",27.5,"8",4.7,2.7
"Matsui, Yuki","673513","161","18.2",30.4,"112.4","88.5","77.5","92.5","84.2","425","175","387","60",37.3,"11",6.8,4.3
"Kolek, Stephen","663568","156","3.6",30.8,"113.5","88.1","76.1","91.7","85.9","431","123","420","64",41,"6",3.8,2.8
"Hoeing, Bryan","663773","153","7.2",36.6,"114.4","90.9","80.3","92.5","90.3","428","146","405","70",45.8,"12",7.8,5.7
"Brito, Jhony","666745","146","9",30.1,"111.4","87.3","75.9","91.5","85.6","399","147","371","52",35.6,"9",6.2,4.9
"Estrada, Jeremiah","669093","134","17.5",35.8,"109.8","89.2","79.3","91.1","89.4","445","177","403","50",37.3,"7",5.2,2.8
"Peralta, Wandy","593974","122","7",32,"112.3","89.1","77.1","94.6","86","448","134","402","53",43.4,"10",8.2,6.2
"Mazur, Adam","800049","113","19.6",38.1,"110.6","90.7","81.7","93.9","88.1","411","186","391","44",38.9,"7",6.2,4.4
"Cosgrove, Tom","676680","50","14.5",30,"108.2","86.6","74.2","92.9","79.4","406","170","382","19",38,"2",4,2.6
"Gillaspie, Logan","670810","41","15.2",46.3,"112.9","90.6","80","93.7","89.3","430","192","413","20",48.8,"3",7.3,6.1
"Jacob, Alek","689690","34","21",41.2,"108.9","85.2","73.5","89.8","76.4","403","190","403","11",32.4,"1",2.9,1.8
"Reynolds, Sean","669308","22","20.2",36.4,"105","83.7","71.9","89.7","82.8","364","179",,"5",22.7,"0",0,0
"Davis, Austin","656354","20","15.1",20,"108.7","81.6","66.8","87.2","80.7","292","103",,"7",35,"0",0,0
"Edwards Jr., Carl","605218","1","-2.1",0,"98.3","98.3","98.3",,"98.3","29","29",,"1",100,"0",0,0
