"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Reynolds, Bryan","668804","469","9.4",37.5,"111.6","89.9","101","94.5","84.9","440","167","406","213",45.4,"45",9.6,6.5
"De La Cruz, Bryan","650559","419","13.1",35.6,"110.5","89.6","99.8","93.7","85.4","432","174","397","173",41.3,"39",9.3,6.3
"Kiner-Falefa, Isiah","643396","392","9.1",31.6,"107.9","86.1","96.7","89.7","84.5","406","147","382","116",29.7,"9",2.3,1.8
"Cruz, Oneil","665833","364","9.8",32.1,"121.5","95.5","107.2","98.5","94.4","472","160","422","200",54.9,"57",15.7,9.5
"McCutchen, Andrew","457705","317","14.3",31.9,"109.8","88.5","99.4","93.9","84.1","448","174","400","117",36.9,"38",12,7.4
"Tellez, Rowdy","642133","299","17",32.4,"115.5","89.4","100.6","92.6","88.6","447","171","409","109",36.5,"24",8,5.7
"Hayes, Ke'Bryan","663647","294","4.8",29.9,"110.4","88.9","99.8","92.1","87.8","404","139","386","126",42.9,"7",2.4,1.8
"Gonzales, Nick","693304","290","13",34.1,"110.4","87.9","98.8","91.3","84.9","429","166","389","107",36.9,"23",7.9,5.9
"Triolo, Jared","669707","281","13.4",38.8,"108","88.4","99.4","91.1","85.9","411","173","386","110",39.1,"15",5.3,3.4
"Joe, Connor","656582","275","16.3",30.9,"109.4","85.3","97.9","90.8","82.7","408","157","393","90",32.7,"13",4.7,3.1
"Bart, Joey","663698","181","10.5",32.6,"111.5","88.1","101","93.1","84.6","434","157","404","70",38.7,"17",9.4,6
"Grandal, Yasmani","518735","173","11.1",31.8,"108","91.1","100.2","92.9","89.9","424","161","397","74",42.8,"17",9.8,7
"Taylor, Michael A.","572191","172","13.7",30.8,"111.8","89.3","100.6","93.5","85.5","421","163","390","69",40.1,"20",11.6,6.7
"Suwinski, Jack","669261","170","12.9",28.2,"111.5","88.9","100.9","91.3","87.9","459","151","399","65",38.2,"15",8.8,5.4
"Olivares, Edward","658668","141","9.2",35.5,"109.9","86.8","98.5","88.4","87.9","424","138","404","50",35.5,"9",6.4,4.6
"Williams, Alika","675961","70","15.7",38.6,"108.5","87.2","96.8","87.3","87.5","362","156",,"19",27.1,"3",4.3,3.1
"Davis, Henry","680779","62","17.2",29,"111.5","85.3","97.6","93.5","82.7","412","128","412","22",35.5,"3",4.8,2.5
"Palacios, Joshua","641943","55","3.4",21.8,"108.4","89.8","101.3","94.1","90.3","396","113","385","26",47.3,"2",3.6,2.6
"Bae, Ji Hwan","678225","51","2.4",31.4,"108.1","87.3","99.2","92.8","83.4","397","131",,"19",37.3,"6",11.8,7.4
"Cook, Billy","695257","30","28.6",46.7,"109","92.6","103.1","97.1","89.2","424","201","401","15",50,"4",13.3,8.2
"Yorke, Nick","694377","26","8",38.5,"108.9","89.7","102.8","96.5","83.9","412","175","406","13",50,"4",15.4,9.5
"Delay, Jason","641511","16","22.4",18.8,"104.5","83.2","93.4","88.4","81.8","327","113",,"3",18.8,"0",0,0
"McKinney, Billy","641856","12","-0.4",33.3,"102.7","86","96","96.2","78.7","383","128",,"4",33.3,"1",8.3,3.6
"Peguero, Liover","678894","7","6",42.9,"104.9","84.4","92.8","90.2","76.7","315","169",,"2",28.6,"0",0,0
"Koch, Grant","667428","1","35.7",0,"89.1","89.1","89.1","89.1",,"305","305",,"0",0,"0",0,0
