"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Semien, Marcus","543760","546","17",33,"112.1","87.4","97.8","91.1","84.4","422","173","387","192",35.2,"36",6.6,5
"García, Adolis","666969","409","15",33.7,"116.1","91","101.8","95.5","87.5","428","178","390","197",48.2,"51",12.5,8
"Smith, Josh","669701","407","15.4",33.7,"108","87.8","98.3","91.7","84.5","410","167","378","151",37.1,"15",3.7,2.5
"Langford, Wyatt","694671","387","16.6",31.3,"111.9","89.6","101.2","92.9","87.9","415","170","395","168",43.4,"36",9.3,6.5
"Seager, Corey","608369","381","13.5",38.6,"113.3","92.1","103.3","95.9","87.9","457","190","392","193",50.7,"58",15.2,10.9
"Taveras, Leody","665750","375","14.7",31.5,"110.1","89","99.2","91.3","88.3","437","168","398","133",35.5,"22",5.9,4.2
"Heim, Jonah","641680","371","14.5",29.9,"109.8","88.5","98.5","92.1","86.4","411","162","386","135",36.4,"22",5.9,4.5
"Lowe, Nathaniel","663993","365","7.7",32.6,"111.8","88.9","100.4","92.7","86","441","151","394","146",40,"21",5.8,3.7
"Kelly, Carson","608348","227","13.6",27.3,"107.7","87.6","99","92.4","84.5","412","155","391","89",39.4,"15",6.6,4.8
"Duran, Ezequiel","677649","206","8.9",28.2,"111.8","87.1","98.7","90.7","85.3","414","149","403","74",35.9,"7",3.4,2.5
"Jankowski, Travis","608671","146","5.9",24.7,"105.1","85.4","95.3","88.5","84.9","396","120","396","36",24.7,"1",0.7,0.5
"Jung, Josh","673962","131","12.2",38.2,"108.3","86.2","97.9","91.6","81.2","427","174","387","52",39.7,"13",9.9,6.9
"Carter, Evan","694497","102","13.9",33.3,"108.7","86","97.2","90","84.5","407","168","397","33",32.4,"6",5.9,3.7
"Knizner, Andrew","668800","69","11.9",33.3,"106.8","87.3","98.2","91.9","86.5","410","149","410","24",34.8,"3",4.3,3.2
"Wendzel, Davis","673995","35","17.8",25.7,"107","85.4","97.2","93.6","80.6","413","156","408","10",28.6,"3",8.6,6.1
"Walsh, Jared","665120","32","21.5",40.6,"112.5","84.2","99.6","85.4","83.2","414","187","414","10",31.3,"3",9.4,5
"Ornelas, Jonathan","680716","25","0.9",24,"110.2","94.3","103.6","93.2","94.9","384","102",,"14",56,"0",0,0
"Foscue, Justin","679822","24","26.9",29.2,"107.2","86.9","96","88.4","89.3","369","162",,"4",16.7,"1",4.2,2.3
"Duffy, Matt","622110","6","14.3",33.3,"104.8","98.8","104.1","97.9","101.6","225","95",,"4",66.7,"0",0,0
"Fabian, Sandro","660758","5","33.9",20,"99.4","82","93.7","87.8","99.4","355","188",,"2",40,"1",20,20
"Harris, Dustin","687957","4","26.8",75,"102.1","97.5","101.9","97.5",,"371","253","371","3",75,"1",25,14.3
"Huff, Sam","669087","1","26.6",100,"72.2","72.2","72.2","72.2",,"227","227",,"0",0,"0",0,0
