"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Eovaldi, Nathan","543135","481","8.8",33.5,"114.2","89.3","77.9","92.8","87.1","450","155","396","205",42.6,"37",7.7,5.3
"Heaney, Andrew","571760","481","18.2",37.4,"112.9","89.6","79","93","86.1","444","187","399","193",40.1,"40",8.3,5.8
"Ureña, José","570632","350","9.8",26,"117","89","77.4","92.4","87.4","415","145","395","139",39.7,"27",7.7,5.8
"Gray, Jon","592351","325","15.3",34.8,"112.8","90.5","80.1","93.3","89.1","424","176","397","137",42.2,"28",8.6,6.4
"Dunning, Dane","641540","284","13.6",33.5,"112","90.4","79.4","94.7","87.4","436","169","397","130",45.8,"31",10.9,7.4
"Bradford, Cody","674003","224","17.8",35.3,"112.6","88.8","77.8","94","84.4","426","183","400","78",34.8,"20",8.9,6.5
"Anderson, Chase","502624","188","20",33,"112.8","86.5","74.8","91.3","81.9","418","189","391","62",33,"16",8.5,6.3
"Robertson, David","502085","164","9.9",31.1,"111.7","88.7","77.8","90.6","86.8","427","153","410","62",37.8,"9",5.5,3
"Leclerc, José","600917","163","18",36.2,"115.8","87.4","76","91.3","83","405","173","391","50",30.7,"12",7.4,4.2
"Chafin, Andrew","605177","144","15",37.5,"108.9","88.5","78.8","89.8","87.7","406","177","369","49",34,"9",6.3,3.7
"Scherzer, Max","453286","126","20.8",40.5,"112.6","87.9","76.9","93.3","82.3","446","181","400","44",34.9,"10",7.9,5.6
"Latz, Jacob","656641","124","18.9",29.8,"110.7","88","76.6","93.4","83.4","433","175","409","50",40.3,"11",8.9,5.7
"Leiter, Jack","683004","121","16.4",34.7,"111.4","91.2","81","94.6","87.1","454","183","403","54",44.6,"12",9.9,6.9
"Yates, Kirby","489446","121","15.2",16.5,"106.5","87.5","77","91.3","85.9","392","147","383","40",33.1,"5",4.1,2.1
"Anderson, Grant","681982","80","18.5",28.7,"114.2","89","77.2","93","89","433","178","398","33",41.3,"8",10,6.7
"Garabito, Gerson","642520","77","16.6",44.2,"112.2","87.7","76","93.6","80.7","451","191","429","27",35.1,"9",11.7,7.8
"Festa, Matt","670036","67","26.5",29.9,"111.1","86.3","74.3","89.7","89.9","422","178","406","23",34.3,"4",6,4
"Winn, Cole","668390","56","14.3",41.1,"113","89.9","79.4","92.1","88","427","177","411","23",41.1,"6",10.7,7.8
"Pennington, Walter","679156","54","9.9",42.6,"115.9","89.7","78.1","94.5","84.1","430","164","430","24",44.4,"4",7.4,4.8
"Sborz, Josh","622250","48","13.3",35.4,"112","88.6","78","91.8","85","387","162","377","19",39.6,"3",6.3,4.4
"Mahle, Tyler","641816","41","16.3",29.3,"109.9","88.8","77.8","88.6","89.2","401","175","401","14",34.1,"2",4.9,3.6
"Rocker, Kumar","677958","34","10.3",32.4,"104.2","89.9","81.5","92.2","87.8","401","156","401","16",47.1,"1",2.9,1.8
"deGrom, Jacob","594798","28","24.8",21.4,"112.1","92.1","81.6","95.6","91.2","399","168","390","15",53.6,"3",10.7,6.8
"Pruitt, Austin","643493","20","12.5",60,"108.7","87.5","75.3","89.2","82.3","422","216","408","7",35,"5",25,20.8
"White, Owen","669391","17","11.2",41.2,"110.1","91.6","82.2","94.4","87.6","364","163","364","9",52.9,"0",0,0
"Robert, Daniel","642016","16","28.5",31.3,"104.8","84.8","74.8","87.3","70.7","387","225","387","3",18.8,"1",6.3,3.8
"Knizner, Andrew","668800","9","8",44.4,"105.1","84.9","76.8","87","82.4","322","144",,"1",11.1,"0",0,0
"Church, Marc","687847","3","6",66.7,"104.2","93.3","87.8","92.9","94","291","161",,"1",33.3,"0",0,0
