"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Díaz, Yandy","650490","472","5",28.4,"117.4","92.2","103.4","94.8","92","440","135","395","230",48.7,"36",7.6,5.8
"Morel, Christopher","666624","381","14.2",27.6,"111.4","89.2","101.2","94.6","87.1","446","153","404","154",40.4,"39",10.2,6.4
"Caballero, José","676609","314","15.9",33.4,"109.9","83.7","96.2","89.4","78.1","423","154","395","79",25.2,"16",5.1,3.3
"Lowe, Brandon","664040","275","14.5",39.6,"111","89.8","101.3","94.1","84.3","444","187","401","123",44.7,"34",12.4,8
"DeLuca, Jonny","676356","257","16.2",32.7,"109.4","84.6","96.2","89.8","82.6","412","157","383","72",28,"10",3.9,2.8
"Siri, Jose","642350","238","15.4",35.7,"111","87.5","100.7","95.3","79.3","452","181","410","99",41.6,"35",14.7,7.8
"Lowe, Josh","666139","232","16.9",37.9,"109.3","90.8","100.9","94.3","87.9","437","186","391","107",46.1,"24",10.3,6.2
"Rortvedt, Ben","666163","202","11.9",30.2,"109.3","86.2","97","89.5","84.1","392","147","374","62",30.7,"7",3.5,2.1
"Palacios, Richie","680700","198","14",36.4,"108.5","86.2","96.8","90.2","83.3","394","157","381","60",30.3,"7",3.5,2.2
"Carlson, Dylan","666185","163","15.8",29.4,"107.2","86.8","96.5","89.8","83.2","380","168","370","42",25.8,"4",2.5,1.5
"Walls, Taylor","670764","154","18.2",29.2,"104.4","86.1","95.1","89.2","85.6","408","165","388","37",24,"5",3.2,2
"Caminero, Junior","691406","127","6.8",25.2,"116.3","89.7","103","97.8","87.5","429","142","408","58",45.7,"15",11.8,8.5
"Aranda, Jonathan","666018","97","11",34,"110.4","91.9","101.5","98.1","86.4","416","168","401","47",48.5,"16",16.5,11.2
"Mead, Curtis","678554","93","16.3",36.6,"112.4","88.8","99.4","92.7","86.4","399","168","327","34",36.6,"4",4.3,3
"Jackson, Alex","656577","88","20.2",21.6,"110.2","86.7","97.5","93.5","82.5","431","169","401","28",31.8,"8",9.1,5.2
"Driscoll, Logan","686482","30","0.7",26.7,"105.6","86.6","97.9","93.4","83.7","393","117","393","10",33.3,"2",6.7,5.4
"Shenton, Austin","668853","28","15.5",50,"103.7","83.9","94.7","90","72.9","365","193","365","7",25,"1",3.6,2
"Pinto, René","650907","26","27.6",46.2,"108.1","93.7","101.4","96.5","87.4","433","223","407","16",61.5,"5",19.2,10.2
"Brantly, Rob","542963","7","28.4",28.6,"105.1","90.4","99.6","99.6","79.3","380","221",,"3",42.9,"1",14.3,11.1
"Misner, Kameron","670224","5","20",40,"92.4","78","85.8","81.8","63","262","167",,"0",0,"0",0,0
