"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Littell, Zack","641793","478","18.1",36.2,"114.4","89.3","78.6","93.4","85.5","427","183","389","187",39.2,"46",9.6,7
"Bradley, Taj","671737","373","13.3",34.9,"116.4","91.2","81.6","94.6","88.7","437","170","394","160",42.9,"38",10.2,6.6
"Pepiot, Ryan","686752","341","19.1",31.4,"113.7","89.3","79.4","93.5","85.7","430","174","396","127",37.2,"31",9.1,5.8
"Alexander, Tyler","641302","336","21",36.6,"114.2","88.4","77.5","91.8","84.5","447","195","395","125",37.2,"33",9.8,7.3
"Baz, Shane","669358","219","18.1",28.3,"109.2","90.5","81.3","93.9","87.9","425","171","390","92",42,"16",7.3,5
"Kelly, Kevin","687330","201","4.7",29.4,"114.9","86.9","74.4","91.8","84.1","426","130","397","74",37,"10",5,3.6
"Cleavinger, Garrett","664076","157","12.5",35,"110.8","86.9","75.1","91.6","82.8","425","172","408","53",33.8,"15",9.6,5.6
"Fairbanks, Pete","664126","124","15.3",31.5,"110.6","89.1","78.1","92.3","87.3","406","164","394","51",41.1,"7",5.6,3.8
"Lovelady, Richard","663992","108","7.6",31.5,"111.8","89.5","77.2","92.8","89.6","426","143","412","50",46.3,"9",8.3,6.1
"Poche, Colin","621363","107","20.3",28,"111.1","91.1","81.7","93.9","90.1","420","183","393","45",42.1,"9",8.4,5.9
"Rodríguez, Manuel","655889","106","11",30.2,"112","88.7","77.5","91.3","87.9","424","147","409","37",34.9,"3",2.8,1.9
"Uceta, Edwin","670955","93","20.7",32.3,"111.8","87.3","76.9","91.2","84.7","389","158","383","29",31.2,"3",3.2,1.9
"Springs, Jeffrey","605488","93","15.9",38.7,"106.9","89.3","79","93","87.5","397","180","385","43",46.2,"9",9.7,6.3
"Devenski, Chris","606965","84","26.4",33.3,"110.9","91","80.7","95.5","90.1","446","208","404","37",44,"10",11.9,8.2
"Rasmussen, Drew","656876","75","6.6",24,"109","86.2","74.5","90","83.8","385","134",,"27",36,"0",0,0
"Ramírez, Erasmo","541640","59","17.9",32.2,"108.2","88","78.5","93.2","83.3","412","187","399","19",32.2,"9",15.3,10.6
"Bigge, Hunter","685801","44","19",45.5,"106.8","90.5","80.3","95.4","83.7","397","188","395","23",52.3,"5",11.4,6.8
"Sulser, Cole","642121","42","18.6",33.3,"109.9","88.9","79.8","92.3","87","385","179","354","16",38.1,"2",4.8,3
"Kuhnel, Joel","669270","33","12.1",30.3,"107.8","88.5","77.3","90.6","89.5","387","146","367","13",39.4,"2",6.1,5.1
"Waguespack, Jacob","621097","30","10.6",40,"105.5","86.9","75.3","89","85.1","422","155","422","11",36.7,"2",6.7,3.9
"Lopez, Jacob","682052","29","31.4",31,"107.2","88.3","80.8","91","80.3","400","216","398","8",27.6,"3",10.3,6.5
"Montgomery, Mason","682254","15","5.7",40,"107.6","91.8","81.7","98","87.6","404","177",,"9",60,"2",13.3,5.4
"Sterner, Justin","686993","14","20.3",21.4,"104.7","90","81.1","92","95.9","346","168",,"5",35.7,"0",0,0
"Zuber, Tyler","676604","9","34.1",11.1,"112.1","90.5","83.1","95.2","84.7","424","238","424","2",22.2,"1",11.1,6.7
"Rortvedt, Ben","666163","8","-2.9",50,"102.3","83.3","71.8","92.5","77.8","369","142","369","2",25,"1",12.5,9.1
