"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Crawford, Kutter","676710","524","19.8",33.4,"116.7","88.4","77.7","93.1","84.4","473","185","394","190",36.3,"52",9.9,6.9
"Houck, Tanner","656557","524","3.8",30.2,"113.8","89.4","78.5","93.9","87.1","422","134","395","219",41.8,"30",5.7,4
"Bello, Brayan","678394","474","6.2",34.2,"115.2","88.5","76.4","93","85.9","457","140","402","195",41.1,"35",7.4,5
"Pivetta, Nick","601713","386","19.4",38.9,"114.9","89.4","79.2","93","85.5","441","191","392","150",38.9,"39",10.1,6.6
"Paxton, James","572020","313","16",32.6,"118.1","90.5","80.4","94.2","87.4","426","175","393","135",43.1,"25",8,5.7
"Criswell, Cooper","681867","313","9.7",33.2,"113.5","89.3","78.4","91.6","88.4","430","153","388","117",37.4,"22",7,5.2
"Winckowski, Josh","670174","246","7.1",34.1,"115.3","88.5","76.7","93.2","86","422","140","397","106",43.1,"15",6.1,4.5
"Weissert, Greg","669711","185","12.8",33.5,"111.1","88.9","78.2","91.8","86.2","407","164","383","75",40.5,"11",5.9,4.2
"García, Luis","472610","183","6.3",33.9,"111.6","88.7","77.2","92.9","86.3","430","143","405","72",39.3,"13",7.1,5.1
"Priester, Quinn","682990","171","5.9",28.1,"111.5","89.3","77.7","93.4","87.2","421","130","397","79",46.2,"7",4.1,3.2
"Slaten, Justin","686580","155","8.6",29.7,"112.2","87.8","76.4","93.6","84.6","426","141","397","57",36.8,"6",3.9,2.7
"Kelly, Zack","677161","151","12",35.1,"114.4","87.2","76","92.7","83.9","470","158","419","47",31.1,"15",9.9,6.2
"Keller, Brad","641745","143","8.8",30.1,"113.5","88.6","77","93.2","85","437","157","398","56",39.2,"15",10.5,7.8
"Bernardino, Brennan","657514","142","8.4",33.8,"111.2","88","76.8","93.1","83.7","428","154","394","53",37.3,"10",7,4.4
"Jansen, Kenley","445276","135","22.3",36.3,"114.6","90.4","81.4","92.2","89.7","424","200","402","50",37,"15",11.1,6.9
"Ramírez, Yohan","670990","134","12.2",29.9,"113","88.5","77.6","93.1","85.6","434","148","414","46",34.3,"9",6.7,4.3
"Sims, Lucas","608371","134","24.1",32.8,"110.6","85.4","72.8","90.7","79.7","421","190","382","42",31.3,"13",9.7,6
"Booser, Cam","592155","124","20.6",38.7,"112.1","88.6","78","92.1","83.5","448","197","397","45",36.3,"10",8.1,5.5
"Martin, Chris","455119","123","9.4",35,"112.3","88.5","77.5","90.5","87.8","432","154","398","43",35,"5",4.1,2.8
"Fitts, Richard","690916","69","15.3",31.9,"115.6","88.5","78.5","90","88.5","376","169",,"23",33.3,"1",1.4,1.2
"Horn, Bailey","690544","65","6.8",36.9,"110.4","90.8","81","95.9","86.3","395","141","381","27",41.5,"7",10.8,8
"Whitlock, Garrett","676477","50","10.6",44,"104.6","89.4","79.3","93.6","85.9","375","164","357","18",36,"3",6,4
"Rodríguez, Joely","570257","49","-1.3",34.7,"109.9","85.7","73.3","98.3","81.1","418","120","400","14",28.6,"5",10.2,7.8
"Campbell, Isaiah","663462","29","6.5",37.9,"113.6","90.6","79.5","97.3","84.4","471","156","427","14",48.3,"3",10.3,8.1
"Guerrero, Luis","692285","25","18.9",28,"111.5","86.3","74.3","90.9","83.7","385","170",,"9",36,"2",8,5.6
"Shugart, Chase","663767","25","23.6",40,"108.4","86.3","75.7","89.2","87.8","405","203","391","8",32,"1",4,2.8
"Penrod, Zach","683068","12","18.8",41.7,"109.7","85.1","73.5","89.8","85.9","327","169",,"3",25,"0",0,0
"Uwasawa, Naoyuki","683822","11","24.9",18.2,"104","80.7","66","86.3","94","299","88",,"4",36.4,"0",0,0
"Hill, Rich","448179","6","15.6",50,"107.8","95.5","86.3","99.6","91.4","370","207","370","4",66.7,"2",33.3,13.3
"Reyes, Pablo","622569","4","8.3",75,"92.9","78.3","64","90.6","41.7","324","227",,"0",0,"0",0,0
