"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Steer, Spencer","668715","439","17.4",34.2,"108","88","99.2","92.7","84.9","439","175","390","175",39.9,"28",6.4,4.3
"India, Jonathan","663697","417","13.5",39.1,"110.8","87.2","98.9","91.4","84.8","436","164","395","152",36.5,"32",7.7,5
"De La Cruz, Elly","682829","403","9.7",35.5,"114.7","91.8","103","95.9","88.4","455","164","408","184",45.7,"51",12.7,7.3
"France, Ty","664034","370","12.9",30.5,"111.1","88.7","99.7","93.8","86","427","161","399","148",40,"27",7.3,5
"Stephenson, Tyler","663886","342","10.9",33,"111","90.2","100.3","95.1","86","436","163","394","150",43.9,"31",9.1,6
"Candelario, Jeimer","600869","316","12.4",33.9,"108.2","86.9","97.9","92.3","81.8","423","170","385","109",34.5,"26",8.2,5.6
"Espinal, Santiago","669289","311","15",35,"105.9","85.9","95","88.5","84.7","420","162","385","75",24.1,"6",1.9,1.5
"Fraley, Jake","641584","283","11.1",34.6,"108.7","84.3","95.7","88.6","82.6","389","151","372","70",24.7,"9",3.2,2.4
"Rosario, Amed","642708","260","4.6",33.5,"108.9","86.9","98.6","92.4","83.9","420","141","401","94",36.2,"12",4.6,3.5
"Friedl, TJ","670770","251","16.7",29.9,"108.9","86","97","88.6","84.2","429","164","385","79",31.5,"8",3.2,2.3
"Smith, Dominic","642086","199","13",37.7,"109.1","89.3","98.8","93.5","83.4","431","180","395","77",38.7,"21",10.6,6.8
"Benson, Will","666181","192","18.2",36.5,"110.7","89.4","99.8","94","83.2","439","187","397","77",40.1,"22",11.5,5.7
"Marte, Noelvi","682622","155","11.4",33.5,"111.5","87","98.6","90.9","85.6","413","152","388","56",36.1,"10",6.5,4.1
"Fairchild, Stuart","656413","152","20.5",27,"110.8","85.5","98.6","92.3","83.8","426","169","388","56",36.8,"12",7.9,5.2
"Martini, Nick","605361","111","14.9",32.4,"107.8","87.4","98.2","91","86.7","405","167","395","38",34.2,"8",7.2,4.9
"Maile, Luke","571912","85","11.3",37.6,"106","84.7","95.2","87.8","80.7","386","153","379","21",24.7,"3",3.5,1.9
"Encarnacion-Strand, Christian","687952","83","15.5",27.7,"113.3","87.8","99.9","94.5","83.6","422","143","405","31",37.3,"7",8.4,5.7
"Ford, Mike","645801","45","17.5",28.9,"107","86.4","97.9","89.6","85","427","153","427","15",33.3,"1",2.2,1.6
"Hurtubise, Jacob","674441","41","20.6",39,"99.6","82.8","92.7","84.5","85.4","345","169",,"6",14.6,"0",0,0
"Hinds, Rece","677956","30","18.9",40,"112.7","91.6","103.8","96","83.6","458","224","438","12",40,"6",20,11.8
"Wiemer, Joey","686894","17","18",23.5,"104.1","82.8","92.2","89","78.2","382","136",,"4",23.5,"1",5.9,3.6
"Dunn, Blake","694362","15","22.7",26.7,"105.3","85.7","94","90.5","84.4","422","132","422","2",13.3,"1",6.7,3.4
"Wynns, Austin","642851","14","15.8",50,"110","91.5","100","93.8","88.8","357","181",,"5",35.7,"0",0,0
"Jordan, Levi","682119","8","3.7",25,"96.8","91.6","94.7","93.6","89.6","342","144",,"2",25,"0",0,0
"Thompson, Bubba","669352","7","-9.6",28.6,"102.3","85.7","94.7","91.6","81.3","366","118",,"2",28.6,"1",14.3,5.6
"Capel, Conner","668843","6","10.8",50,"97.1","87.7","94.9","91.7","83.8","340","167",,"1",16.7,"0",0,0
"Ríos, Edwin","621458","5","13",40,"103.2","85","93.9","90.1","81.6","351","161",,"1",20,"0",0,0
