"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Martinez, Nick","607259","430","17",34,"112.4","86.4","74.9","90.3","83.7","431","168","397","131",30.5,"22",5.1,3.9
"Abbott, Andrew","671096","418","21.3",36.1,"112.2","88.2","78.2","92.1","85.8","425","185","394","140",33.5,"39",9.3,6.7
"Greene, Hunter","668881","366","20.8",29,"114.2","87.3","76.3","92.1","84.1","442","175","400","119",32.5,"19",5.2,3.1
"Lodolo, Nick","666157","316","11.8",32.6,"114.3","89.2","78.5","92.2","87.4","429","162","393","120",38,"26",8.2,5.3
"Spiers, Carson","686730","298","17.4",35.9,"113.5","88.9","77.5","93","85.7","421","186","391","116",38.9,"31",10.4,7.6
"Ashcraft, Graham","668933","260","8.8",31.9,"113.7","90.6","80.6","93.7","88.7","434","152","392","111",42.7,"20",7.7,5.7
"Suter, Brent","608718","205","13.8",33.7,"112.8","86.1","74.8","89.9","84.5","422","169","387","62",30.2,"15",7.3,5.6
"Farmer, Buck","571656","193","18.1",35.8,"111.2","88.3","77.6","91.9","87","442","169","392","69",35.8,"16",8.3,5.4
"Junis, Jakob","596001","191","15.1",35.1,"116.4","90","80.3","92.2","88.1","480","179","405","81",42.4,"16",8.4,6.3
"Díaz, Alexis","664747","150","22.6",31.3,"110.7","88.5","77.9","91.6","86.1","427","171","404","57",38,"10",6.7,4.1
"Cruz, Fernando","518585","143","13.9",40.6,"112.3","88.7","76.2","94.1","82.1","458","181","404","63",44.1,"14",9.8,4.9
"Wilson, Justin","458677","143","17.8",35.7,"112","88.6","76.7","93.6","87.3","444","176","394","59",41.3,"16",11.2,7.7
"Aguiar, Julian","687924","104","18",31.7,"113.4","88.9","77.9","93.2","84.7","437","170","405","37",35.6,"12",11.5,8.6
"Pagán, Emilio","641941","103","20.9",36.9,"107.7","90.4","79.3","93.9","85.2","417","195","399","52",50.5,"9",8.7,5.7
"Moll, Sam","594580","98","10.1",27.6,"112.5","88.8","78.4","92.7","86.1","430","150","400","36",36.7,"6",6.1,3.9
"Lowder, Rhett","695076","92","12.5",34.8,"112.1","90.2","80.5","93","89","372","165",,"38",41.3,"3",3.3,2.3
"Santillan, Tony","663574","67","19.7",29.9,"112.3","90.2","80.4","91.3","89.9","405","185","382","27",40.3,"4",6,3.3
"Zulueta, Yosver","691172","41","0.3",26.8,"110.2","91.1","80.4","96.7","87.8","405","131","398","19",46.3,"4",9.8,5.8
"Williamson, Brandon","682227","40","19.9",45,"106.8","90","81.1","93.5","89","423","212","398","17",42.5,"3",7.5,5.1
"Legumina, Casey","668984","37","2.8",24.3,"107.4","93.1","83.9","94.4","92.2","424","125","408","20",54.1,"2",5.4,4.3
"Leibrandt, Brandon","605335","25","9.9",24,"111.9","89.1","80.7","92.1","88.7","402","136","392","9",36,"3",12,9.4
"Busenitz, Alan","641427","18","11.5",44.4,"105.8","89.2","78.4","86.6","93.3","424","177","424","7",38.9,"2",11.1,9.5
"Maile, Luke","571912","18","21.7",33.3,"107.6","90.8","82.2","96.2","83.4","399","222","399","10",55.6,"2",11.1,11.1
"Kelly, Casey","543391","16","21.9",25,"109.1","88.4","77.9","91.6","85.4","432","179","432","6",37.5,"1",6.3,4.8
"Buchanan, David","571527","11","23.3",27.3,"110.9","87.3","76.5","93.1","92","359","183",,"3",27.3,"0",0,0
"Smith, Dominic","642086","10","28.1",70,"92.2","77.8","68.8","80.3","67.7","337","235",,"0",0,"0",0,0
"Gibaut, Ian","664139","8","19",50,"107.9","94.4","87.8","96.8","77.4","357","233",,"4",50,"0",0,0
"Antone, Tejay","622088","5","10.3",20,"101.1","88.9","81.1","88.1","90.2","268","139",,"2",40,"0",0,0
"Richardson, Lyon","680689","3","32.6",33.3,"96.2","78.4","69.5","78.4",,"361","273","361","1",33.3,"0",0,0
"Kravetz, Evan","667478","2","-8.6",0,"100.2","94.5","88.7",,"94.5","26","17",,"1",50,"0",0,0
