"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Tovar, Ezequiel","678662","467","18.9",38.5,"110.6","88.8","99.3","93.1","84.1","456","195","410","186",39.8,"42",9,6
"Doyle, Brenton","686668","401","13.2",36.9,"110.1","89.2","101","93.5","84.1","445","179","411","166",41.4,"42",10.5,7
"McMahon, Ryan","641857","386","10",36.5,"113","92.1","102.6","95.5","89","462","167","407","192",49.7,"42",10.9,6.5
"Rodgers, Brendan","663898","372","4.9",32.8,"111.1","89.3","101.2","92.6","87.7","439","139","414","164",44.1,"21",5.6,3.9
"Blackmon, Charlie","453568","364","16.3",34.1,"107.6","84.8","96.1","89.6","81.3","452","169","409","99",27.2,"19",5.2,3.8
"Toglia, Michael","669911","255","15.1",39.2,"112","92.1","102.7","95.7","87.3","462","201","404","128",50.2,"44",17.3,9.6
"Cave, Jake","595909","229","7.5",35.4,"106.8","87.5","98.3","92.3","82.1","430","160","396","85",37.1,"12",5.2,3.5
"Stallings, Jacob","607732","180","12.8",38.9,"107.2","86.6","97.8","91.6","81.1","427","168","398","62",34.4,"13",7.2,4.6
"Montero, Elehuris","660707","171","17",27.5,"114.1","89.5","100.9","94.2","87.2","412","179","392","71",41.5,"13",7.6,5.3
"Jones, Nolan","666134","169","7.8",34.3,"112","88.2","100.6","93.3","85","425","146","401","75",44.4,"10",5.9,3.4
"Goodman, Hunter","696100","149","16.5",32.9,"114.7","88.2","100.1","92.6","83.5","448","180","418","59",39.6,"19",12.8,8.5
"Beck, Jordan","687597","106","13.4",32.1,"111.5","86.1","98.6","91.3","80.9","417","164","403","34",32.1,"7",6.6,3.8
"Hilliard, Sam","656541","88","16.5",29.5,"111.3","94.6","103.8","94.8","96.1","476","180","406","46",52.3,"13",14.8,8.2
"Bryant, Kris","592178","86","18.5",39.5,"107.3","85.1","96.8","90.7","81.3","428","174","425","26",30.2,"4",4.7,2.6
"Schunk, Aaron","668845","63","11.9",39.7,"108.8","85.3","95.9","88.8","81.3","429","176","405","20",31.7,"3",4.8,3.1
"Bouchard, Sean","656248","61","10.7",29.5,"109","89.8","98","93.4","86.1","400","170","400","21",34.4,"3",4.9,2.8
"Trejo, Alan","676701","49","13.4",26.5,"102.7","86.5","96","88.6","85.6","401","155",,"12",24.5,"1",2,1.5
"Romo, Drew","691011","33","14.7",21.2,"101","82.2","92.8","86.1","78.1","392","152",,"5",15.2,"1",3,1.9
"Amador, Adael","691182","29","17.1",20.7,"103.6","88.2","97.3","84.5","91.9","388","165",,"9",31,"2",6.9,5.6
"Jones, Greg","675659","1","26.6",100,"109.7","109.7","109.7","109.7",,"419","419","419","1",100,"1",100,16.7
