"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Lugo, Seth","607625","598","10.7",32.8,"115.1","88.5","77.3","93.1","84.5","445","163","407","233",39,"48",8,5.7
"Singer, Brady","663903","528","8.9",35.4,"114.7","88.9","77.3","92.7","86.2","451","157","408","220",41.7,"42",8,5.5
"Wacha, Michael","608379","489","15.7",32.7,"117.5","86.9","75.6","91.1","83.8","445","166","395","159",32.5,"40",8.2,5.8
"Ragans, Cole","666142","466","15.2",31.8,"115.4","88.3","77.7","91.8","85.3","429","164","408","165",35.4,"29",6.2,3.8
"Marsh, Alec","679525","374","15",38,"113.6","89.7","78.8","94.1","86","441","173","406","153",40.9,"36",9.6,6.6
"Lorenzen, Michael","547179","373","15.1",32.2,"115.6","88.5","76.9","93.9","85.8","441","165","390","147",39.4,"30",8,5.6
"McArthur, James","663704","181","7.1",34.3,"111.1","90.2","79.9","93.3","88.5","438","147","387","73",40.3,"15",8.3,6.1
"Stratton, Chris","608717","177","11",38.4,"110.7","87.1","75.1","92.7","82.4","424","165","405","67",37.9,"15",8.5,5.8
"Zerpa, Angel","672582","169","2.8",27.8,"112.3","90.3","80.1","93.7","89.1","452","125","412","74",43.8,"12",7.1,5
"Erceg, Lucas","668674","159","6.6",31.4,"110.3","85.9","74","90","82.8","422","148","410","53",33.3,"10",6.3,4
"Schreiber, John","670167","154","10.2",25.3,"112.9","89","77.8","90.9","88.6","411","131","376","57",37,"6",3.9,2.7
"Harvey, Hunter","640451","143","10.9",37.8,"112.4","90.4","79.4","94.2","87.5","442","165","407","69",48.3,"13",9.1,5.9
"Smith, Will","519293","139","18",40.3,"111.9","87","75.8","90.2","83.4","427","192","403","43",30.9,"12",8.6,6.5
"Lynch IV, Daniel","663738","117","11.5",30.8,"111.6","90.2","80.2","96.2","84.8","449","173","418","56",47.9,"11",9.4,6.3
"Long, Sam","669674","114","10.2",30.7,"110.9","87.5","76.7","91.2","85.4","430","171","402","38",33.3,"9",7.9,5.1
"Anderson, Nick","623433","108","15.2",37,"112.2","89.2","78.7","92.3","85.4","446","181","406","41",38,"8",7.4,5.2
"Hernández, Carlos","672578","85","24.2",30.6,"111.8","88.6","78.8","91","87.1","396","193","394","33",38.8,"8",9.4,6.2
"Bubic, Kris","663460","77","3",26,"110.3","83.4","70.9","92.3","79.3","420","115","397","22",28.6,"2",2.6,1.7
"Sauer, Matt","669422","63","20.6",33.3,"113.8","90.2","81.3","93.6","86.7","431","190","414","27",42.9,"6",9.5,7.1
"Duffey, Tyler","608648","23","15.8",34.8,"105.9","89.1","78","94.8","83.6","393","196",,"12",52.2,"3",13,7.1
"Lyles, Jordan","543475","14","16.3",28.6,"107.1","93.1","83.8","95.1","93.4","377","178",,"9",64.3,"2",14.3,10.5
"Cruz, Steven","674444","14","14.2",35.7,"103.9","90.3","82.6","87.6","95.8","395","154",,"5",35.7,"0",0,0
"Bowlan, Jonathan","680742","11","18.8",36.4,"102.8","85.7","74.3","90.6","80.9","395","177","369","4",36.4,"1",9.1,5.9
"Altavilla, Dan","656186","11","7.5",27.3,"107.4","91.3","82.5","92.7","94","434","135","434","4",36.4,"1",9.1,4.8
"Pratto, Nick","668472","3","23.7",33.3,"105.1","82.5","71.3","105.1","68.5","292","136",,"1",33.3,"0",0,0
"Loftin, Nick","679845","3","-7.4",33.3,"99.7","79.3","69.1","83.8","77.1","203","86",,"1",33.3,"0",0,0
"Hampson, Garrett","641658","3","46.6",33.3,"94.7","86.4","82.2","90.8",,"353","239",,"0",0,"0",0,0
