"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Skubal, Tarik","669373","481","12",32.8,"113","87.5","76.2","91.1","85.6","448","153","405","162",33.9,"32",6.7,4.2
"Maeda, Kenta","628317","352","17",36.9,"111.9","88.4","78.1","91.4","86.1","449","176","394","127",36.1,"29",8.2,6
"Mize, Casey","663554","343","9.3",32.4,"117","90.6","79.9","94.5","87.9","468","150","398","153",44.6,"27",7.9,6
"Olson, Reese","681857","327","8.9",31.2,"111","90.2","80","92","89.9","425","140","388","143",43.7,"18",5.5,3.9
"Montero, Keider","672456","301","15.5",34.6,"111.1","88.9","78.4","93","85.7","425","169","391","114",37.9,"23",7.6,5.6
"Holton, Tyler","663947","256","11.4",29.3,"109.6","86.6","75.2","91.9","83.7","431","148","399","84",32.8,"14",5.5,4
"Vest, Will","676684","205","7.4",36.6,"111.5","88.4","77.7","91.4","86.4","403","151","370","78",38,"6",2.9,2.1
"Foley, Jason","671345","182","7.5",36.8,"115.9","89.5","78.2","93.2","86.3","425","160","391","75",41.2,"12",6.6,4.8
"Brieske, Beau","689225","181","14.8",31.5,"111.3","89","78.9","92.2","87","421","174","378","65",35.9,"10",5.5,3.5
"Faedo, Alex","656412","160","14.8",39.4,"113.5","88.3","77.9","92","84.5","409","176","390","55",34.4,"10",6.3,4.1
"Miller, Shelby","571946","158","16.8",31,"109","91.1","82","93.8","89.7","429","179","404","65",41.1,"12",7.6,5.3
"Hurter, Brant","676428","131","10.2",22.1,"112.1","88.5","77.3","91.6","88","431","130","403","48",36.6,"6",4.6,3.4
"Hanifee, Brenan","669724","91","4.8",27.5,"110.7","86.1","74","91.8","82.7","398","133","391","33",36.3,"4",4.4,3.3
"Manning, Matt","666159","88","21.1",36.4,"114.1","88.1","77.4","90.3","87.8","413","194","402","31",35.2,"8",9.1,6.5
"Sammons, Bryan","676614","76","27",35.5,"108.9","87.4","77.3","90.5","79.8","451","218","398","24",31.6,"7",9.2,6.7
"Madden, Ty","680744","75","15.6",34.7,"108.7","90.1","81.2","92.8","90.6","396","161","381","28",37.3,"6",8,5.9
"Englert, Mason","669438","71","18",35.2,"108.9","89.9","78.2","93.9","85.1","428","192","415","34",47.9,"10",14.1,10.8
"Guenther, Sean","674944","57","3.4",21.1,"109.7","88.6","79.7","92.3","86.7","393","119",,"18",31.6,"1",1.8,1.4
"Lange, Alex","656638","50","9.5",30,"110.9","91.6","81.7","94.5","91.3","388","143",,"26",52,"1",2,1.1
"Vanasco, Ricky","676568","14","1.2",21.4,"106.5","87.3","76.4","86.4","88","290","102",,"5",35.7,"0",0,0
"Jobe, Jackson","695549","12","12.6",41.7,"101.6","88.1","79.6","89.7","85.9","356","187",,"4",33.3,"0",0,0
"McKinstry, Zach","656716","7","23.2",14.3,"108.1","82.1","68.5","93.9","77.3","391","200","391","2",28.6,"1",14.3,12.5
