"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Flexen, Chris","623167","519","17.3",36.8,"115.1","88.7","77.9","93.6","84.3","449","181","389","194",37.4,"42",8.1,5.9
"Cannon, Jonathan","686563","386","14.6",38.3,"111.9","89","78.7","91.9","86.5","425","172","387","140",36.3,"28",7.3,5.4
"Crochet, Garrett","676979","348","11.1",34.5,"111.4","88.3","76.5","93.2","84.6","426","162","383","135",38.8,"32",9.2,5.4
"Shuster, Jared","694363","232","17.6",37.9,"112","87.5","76.9","91.4","84.1","421","179","401","74",31.9,"17",7.3,5.3
"Soroka, Michael","647336","216","15.8",33.8,"115.4","87.6","75.6","92.4","84.3","429","168","397","76",35.2,"21",9.7,6.1
"De Los Santos, Enyel","660853","182","17.5",34.6,"110.6","89.3","78","94.5","84.8","434","182","401","77",42.3,"23",12.6,8.3
"Kuhl, Chad","641771","154","10.2",33.8,"110.1","88.4","77.7","92.5","85","416","156","383","59",38.3,"9",5.8,3.8
"Anderson, Justin","605121","150","15.4",39.3,"111.3","87.3","75.1","91.8","83.8","439","181","404","53",35.3,"13",8.7,5.3
"Martin, Davis","663436","145","11.9",26.2,"112","87.9","76.2","93.2","84","409","155","387","55",37.9,"11",7.6,5
"Thorpe, Drew","689672","142","16.1",34.5,"111.8","87.4","75.1","93.4","81.9","432","176","401","53",37.3,"10",7,5.3
"Nastrini, Nick","680897","111","23.5",30.6,"113","87.7","76.7","93.5","81.7","421","180","400","35",31.5,"14",12.6,8
"Wilson, Steven","621051","100","26.2",34,"110.5","86.6","75.7","90.6","82.4","400","195","383","31",31,"12",12,7.4
"Leasure, Jordan","673929","97","17.8",34,"116.7","88.8","78.7","92.9","85.6","390","181","378","34",35.1,"7",7.2,4.9
"Varland, Gus","681402","79","13.4",38,"108.9","89.5","79.6","91.4","87.8","424","177","399","31",39.2,"4",5.1,3.5
"Toussaint, Touki","657053","72","7.7",40.3,"112.7","88.8","79","90.3","87.9","391","156","371","28",38.9,"4",5.6,3.4
"Ellard, Fraser","686642","62","11",35.5,"113.7","90.1","80.2","92","88.5","412","159","391","25",40.3,"4",6.5,4
"Bush, Ky","681066","59","16.7",32.2,"107.2","90.2","80.4","92.9","89.3","394","174","392","29",49.2,"2",3.4,2.3
"Leone, Dominic","608678","58","7.1",34.5,"113.3","88","78.1","92.5","84.9","432","141","409","20",34.5,"6",10.3,6.7
"Clevinger, Mike","605182","54","18.3",40.7,"114.4","90","79.8","92","88.5","434","201","397","20",37,"8",14.8,10.3
"Peralta, Sammy","671111","54","8.1",40.7,"107.8","91.1","80.3","96.9","86.2","409","165","406","27",50,"7",13,9.7
"Burke, Sean","680732","47","20.8",34,"110.1","90.3","81.3","92.6","90.7","407","170","394","19",40.4,"4",8.5,5.3
"Berroa, Prelander","672860","43","21.1",25.6,"106.7","84.4","74.8","90.2","77.1","423","159","401","8",18.6,"2",4.7,2.4
"García, Deivi","665620","42","20",38.1,"109.4","89.4","80.4","91.6","86.7","423","190","414","15",35.7,"3",7.1,4.4
"Foster, Matt","641582","21","19.7",47.6,"105.3","91.2","81.4","96.3","82.5","381","221","381","10",47.6,"4",19,13.3
"Iriarte, Jairo","683568","16","15.7",18.8,"102.7","86.3","75.4","87.8","87.9","357","144",,"5",31.3,"1",6.3,3.3
"Shaw, Bryan","543766","16","15.6",43.8,"111.5","95.5","88.4","95.9","96.4","378","201","378","9",56.3,"3",18.8,12.5
"Eder, Jake","671109","6","1.1",0,"102.4","86.6","76.7","92","85.5","242","72",,"1",16.7,"0",0,0
"Mendick, Danny","664901","4","2.8",50,"96.4","90.3","84.9","95.2","88.7","306","121",,"2",50,"0",0,0
