"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Cortes, Nestor","641482","505","22.4",34.9,"117.4","89.7","79.1","92.8","88.9","432","190","388","220",43.6,"40",7.9,5.6
"Stroman, Marcus","573186","493","9.9",35.3,"116.8","89.3","78.4","92.4","87.9","442","153","395","197",40.2,"33",6.7,4.9
"Rodón, Carlos","607074","474","18.1",34.2,"112.2","90.4","80.2","93.7","87.6","434","192","397","194",40.9,"52",11,7.1
"Gil, Luis","661563","380","19",33.7,"112.3","89.3","78.9","93.4","86.1","415","175","389","142",37.4,"36",9.5,5.7
"Cole, Gerrit","543037","256","17",31.6,"111","89.7","79.4","94","86.9","441","173","396","101",39.5,"19",7.4,4.9
"Hill, Tim","657612","238","-6.8",19.7,"111.9","88","75.6","93.5","86.1","386","96","374","97",40.8,"4",1.7,1.4
"Schmidt, Clarke","657376","221","16",31.7,"112.3","89.1","78.9","92.2","87.7","418","162","383","84",38,"13",5.9,3.7
"Weaver, Luke","596133","198","16.5",35.9,"110.6","89.1","77.9","93.6","82.8","412","180","386","76",38.4,"17",8.6,5.1
"Holmes, Clay","605280","178","0.3",24.2,"111.2","88.8","78.1","93.5","86.6","407","115","397","65",36.5,"10",5.6,3.7
"Mayza, Tim","641835","151","9.2",41.7,"112.8","88.3","77.4","91.6","84.8","446","165","408","58",38.4,"14",9.3,7.2
"Leiter Jr., Mark","643410","145","11.3",33.1,"110.4","88.8","77.7","93.2","86.6","433","153","399","58",40,"12",8.3,4.7
"Kahnle, Tommy","592454","112","3.7",24.1,"110.4","86.2","74.1","93.8","81.2","428","132","421","36",32.1,"7",6.3,3.9
"Hamilton, Ian","641656","105","13.9",34.3,"113.6","89.5","79.8","91.5","88.3","432","155","408","39",37.1,"4",3.8,2.5
"Cousins, Jake","664776","77","14.1",29.9,"109.3","86.2","73.7","92.4","82.1","433","158","403","26",33.8,"6",7.8,3.9
"Poteet, Cody","547001","71","14.1",33.8,"112.8","91.6","83.4","92.6","91.5","404","176","383","30",42.3,"4",5.6,4.2
"González, Victor","624647","70","8.8",32.9,"112.1","89.3","78.2","91.6","87.7","432","144","396","31",44.3,"5",7.1,5.2
"Warren, Will","701542","69","14.9",39.1,"107.7","92.7","84.9","93.1","92.4","412","190","372","35",50.7,"8",11.6,7.3
"Marinaccio, Ron","676760","61","15.1",27.9,"106.6","89.2","78","93.7","83.9","429","165","388","24",39.3,"5",8.2,5.1
"Gómez, Yoendrys","672782","36","20.1",36.1,"107.3","91.6","82.2","94.8","87.4","396","213","395","18",50,"5",13.9,9.3
"Bickford, Phil","641360","30","15.6",20,"107.1","91.4","82.7","94","91.5","383","173","371","13",43.3,"2",6.7,5.1
"Burdi, Nick","595897","22","30.2",31.8,"109.5","84","70.8","88.9","75.9","368","191","368","7",31.8,"1",4.5,2.2
"Maciejewski, Josh","656671","18","4.9",27.8,"107.8","86.4","72.8","98.3","76.9","412","140","412","7",38.9,"1",5.6,3.7
"Loáisiga, Jonathan","642528","16","3",43.8,"103.5","81.8","70.4","93.6","75.1","342","132",,"3",18.8,"0",0,0
"Trevino, Jose","624431","11","8.1",63.6,"108.6","97.6","91.9","100.2","94.5","375","198",,"8",72.7,"2",18.2,15.4
"Effross, Scott","664123","10","-6.6",40,"105.3","89.6","76.9","96.6","84.9","422","128","422","5",50,"1",10,7.1
"Beeter, Clayton","690925","9","21.8",44.4,"106.1","89.8","80.7","95","82.5","385","170",,"4",44.4,"1",11.1,6.7
"Misiewicz, Anthony","664948","4","14",75,"108.5","101.8","96.2","100.9","104.2","393","254",,"3",75,"0",0,0
"Cabrera, Oswaldo","665828","1","-8.6",0,"87.9","87.9","87.9",,"87.9","13","13",,"0",0,"0",0,0
"Andrews, Clayton","677076","1","24.6",100,"95.2","95.2","95.2","95.2",,"357","357","357","1",100,"0",0,0
