"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Carroll, Corbin","682998","471","12",27.8,"111.5","89.3","101.1","94.6","88.1","440","149","399","192",40.8,"34",7.2,5
"Bell, Josh","605137","421","10.5",31.4,"111.2","88.9","100.1","93.5","86.2","436","154","395","169",40.1,"32",7.6,5.3
"Gurriel Jr., Lourdes","666971","417","15.7",33.8,"110.6","88.4","99.5","92","86.3","431","175","395","167",40,"28",6.7,5.1
"Marte, Ketel","606466","407","9.4",33.7,"117","94","104","96.7","93.5","461","166","410","219",53.8,"50",12.3,8.6
"Suárez, Eugenio","553993","406","19.5",40.4,"111.4","89.1","100.6","93.3","84","452","197","398","172",42.4,"46",11.3,7.2
"McCarthy, Jake","664983","372","9.1",30.4,"106.6","84.5","95.6","89.1","81.3","420","134","390","91",24.5,"10",2.7,2
"Walker, Christian","572233","354","16.6",35,"113.9","91.2","103.1","95.5","88.3","464","189","407","170",48,"47",13.3,8.5
"Perdomo, Geraldo","672695","291","16.9",28.9,"109.8","87","96.1","89.7","85.9","415","153","372","75",25.8,"9",3.1,2.3
"Pederson, Joc","592626","266","16.9",34.2,"114.1","92.3","102.6","96.3","89.3","453","177","412","123",46.2,"34",12.8,7.6
"Moreno, Gabriel","672515","256","8.8",33.6,"111.1","90","99.9","92.7","88.6","433","148","396","105",41,"17",6.6,4.8
"Newman, Kevin","621028","248","9.7",25,"104.7","85.6","95.2","88","84.9","398","133","390","58",23.4,"4",1.6,1.3
"Grichuk, Randal","545341","210","17.3",34.3,"112.3","90.6","102.4","96","87.2","434","178","398","100",47.6,"23",11,8.2
"Guillorme, Luis","641645","128","5.7",32.8,"108.5","85.5","94.4","87.2","84.2","398","128",,"27",21.1,"3",2.3,1.6
"Alexander, Blaze","677942","118","8.5",22.9,"110.6","88.5","98.8","90.1","89","384","134","366","41",34.7,"4",3.4,2.2
"Smith, Pavin","656976","109","13.1",34.9,"112.1","90.2","101.7","96.2","84.6","424","174","398","48",44,"16",14.7,10.1
"Thomas, Alek","677950","79","1",25.3,"109.1","91.2","101.3","96","88","413","131","392","37",46.8,"6",7.6,5.8
"Herrera, Jose","645444","78","9",33.3,"104.5","84.5","95.2","87.7","82.9","374","132","374","18",23.1,"0",0,0
"Del Castillo, Adrian","680728","52","18.3",36.5,"106.3","87.6","97.9","91.2","82.9","416","188","403","18",34.6,"6",11.5,6.9
"Barnhart, Tucker","571466","52","3.2",34.6,"101.6","83.4","94.6","92.1","76.3","382","128",,"12",23.1,"2",3.8,2.1
"Peterson, Jace","607054","17","-12.4",17.6,"102","82.6","92.7","86.2","81.5","308","64",,"4",23.5,"0",0,0
"Barrosa, Jorge","678489","16","9.5",31.3,"103.7","83.2","95.6","94.1","80.2","381","116",,"4",25,"1",6.3,5.6
