"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Pfaadt, Brandon","694297","528","14.1",33,"115.5","89.4","78.7","91.8","88.1","472","167","401","208",39.4,"43",8.1,5.7
"Nelson, Ryne","669194","464","12",34.5,"112.1","90.1","79.8","93.3","88.1","439","166","395","193",41.6,"35",7.5,5.6
"Gallen, Zac","668678","407","11.8",34.9,"114","90","79.8","92.7","88.2","441","161","399","167",41,"30",7.4,4.8
"Montgomery, Jordan","656756","402","12.2",35.8,"112.3","88.6","77.2","92.5","84.8","429","166","406","165",41,"24",6,4.5
"Cecconi, Slade","677944","253","17.9",35.6,"111.5","89","78.4","93.2","83.8","440","190","399","92",36.4,"26",10.3,7.7
"Kelly, Merrill","518876","215","11",33.5,"110","90.5","80.4","95.1","85.1","437","170","413","88",40.9,"23",10.7,7.7
"Floro, Dylan","571670","213","10.9",34.3,"114.1","90.2","80.7","93.4","87.1","405","159","383","83",39,"9",4.2,3.2
"Thompson, Ryan","657044","204","-0.5",26.5,"113.9","90","78.2","95.3","88.2","441","115","405","91",44.6,"15",7.4,5.5
"Ginkel, Kevin","656464","196","10",35.2,"112.6","89.8","79.4","93.3","86.4","438","161","407","80",40.8,"11",5.6,3.8
"Jarvis, Bryce","686826","182","11.4",34.1,"114.1","90.5","81.3","92.2","89.4","421","172","388","73",40.1,"13",7.1,5
"Martinez, Justin","679885","179","-0.3",27.9,"113.5","86.4","74.4","90.8","84.2","433","115","376","57",31.8,"5",2.8,1.6
"Puk, A.J.","640462","176","16.8",35.2,"111","86.2","74.5","91.4","82","405","171","388","59",33.5,"7",4,2.4
"Mantiply, Joe","573009","172","5.4",26.2,"113.5","88.1","76.3","94.3","83.7","408","143","408","72",41.9,"13",7.6,5.3
"Rodriguez, Eduardo","593958","157","14.5",39.5,"117.2","88.7","76.9","92.9","85","430","176","403","66",42,"17",10.8,7.6
"Henry, Tommy","674072","130","13.1",34.6,"114","91.3","81.2","94.9","88.8","439","172","410","60",46.2,"15",11.5,8.2
"Vieira, Thyago","600986","110","13",35.5,"116.3","89.6","78","94.5","86","438","177","409","50",45.5,"11",10,6.2
"Sewald, Paul","623149","109","26",34.9,"111.5","90","79.8","93.6","87.4","431","201","398","46",42.2,"10",9.2,6.1
"McGough, Scott","543518","103","13.2",34,"110.3","90.8","81.2","94.6","88.1","456","184","416","43",41.7,"12",11.7,8
"Allen, Logan","663531","95","12.9",41.1,"108.3","89.3","78.8","94","85","447","164","417","38",40,"5",5.3,3.9
"Diaz, Yilber","700270","88","15.4",38.6,"110.2","91.3","82","94.4","88","430","174","423","40",45.5,"4",4.5,3.4
"Hughes, Brandon","676714","56","16.7",46.4,"111.7","86.5","71.8","96.1","71.2","437","221","412","23",41.1,"12",21.4,13.5
"Castro, Miguel","612434","52","8.3",38.5,"110.7","84.6","74","88","82.5","446","141","427","13",25,"3",5.8,4.7
"Walston, Blake","686796","52","18.9",28.8,"110.1","90.1","80.3","93.2","90.6","441","184","417","19",36.5,"5",9.6,6
"Castellanos, Humberto","528748","35","18.9",48.6,"107.7","86.9","75.2","90.8","87.1","344","186",,"13",37.1,"0",0,0
"Nelson, Kyle","669459","30","16.2",40,"108.2","91","79.6","97.6","87.2","425","163","387","16",53.3,"2",6.7,4.8
"Guillorme, Luis","641645","13","12.1",38.5,"103.1","84.9","73.7","93.1","81.6","381","160","381","5",38.5,"1",7.7,6.7
"Jacques, Joe","682175","12","0.1",41.7,"105.7","87.1","72.7","98.3","71.5","383","163","383","6",50,"2",16.7,12.5
"Mena, Cristian","691441","10","21.4",20,"106.4","94.8","87.6","98","95.2","397","188","393","5",50,"2",20,13.3
"Barnhart, Tucker","571466","7","11.6",57.1,"98.5","93.2","90.3","95.1","91.7","369","174","369","3",42.9,"0",0,0
"Saalfrank, Andrew","685314","4","10.7",75,"105","96.8","89.3","103.5","76.8","371","220",,"3",75,"1",25,12.5
"Smith, Pavin","656976","3","32.3",33.3,"96.3","90.8","88.1","90.3","91.8","367","201",,"1",33.3,"0",0,0
