"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Ohtani, Shohei","660271","479","16.2",37.8,"119.2","95.8","106.7","99.7","91.4","476","199","415","288",60.1,"103",21.5,14.1
"Freeman, Freddie","518692","450","14.3",43.1,"112.3","89.4","100.3","92.8","85.3","437","185","394","188",41.8,"41",9.1,6.4
"Hernández, Teoscar","606192","402","10.3",33.8,"114.1","90.6","102.7","96.7","85.5","445","169","400","188",46.8,"60",14.9,9.2
"Betts, Mookie","605141","397","21.4",39.3,"109.4","89.9","98.5","92.1","87.6","421","205","391","157",39.5,"24",6,4.7
"Smith, Will","669257","379","18.7",38.3,"109.1","89.4","99.3","92.8","83.5","451","202","396","159",42,"41",10.8,7.5
"Lux, Gavin","666158","331","9.1",35,"108.7","88.3","99","92.3","86","413","153","385","136",41.1,"20",6,4.1
"Pages, Andy","681624","299","20.8",40.8,"112","88.6","100.3","92.1","85.6","433","191","399","120",40.1,"32",10.7,7.2
"Hernández, Enrique","571771","289","17.1",35.6,"112.7","89.6","99.3","92.7","87.3","431","179","400","120",41.5,"14",4.8,3.6
"Rojas, Miguel","500743","277","9.7",33.2,"109.1","85","96.3","87.9","84","420","137","382","77",27.8,"7",2.5,2.1
"Kiermaier, Kevin","595281","181","7.3",27.6,"105.9","86.4","97.7","90.1","85.5","415","130","397","54",30,"7",3.9,2.5
"Muncy, Max","571970","166","26.6",32.5,"110","90.2","100.8","94.7","82.3","428","207","395","72",43.4,"18",10.8,6.1
"Taylor, Chris","621035","140","16.9",42.1,"108.5","85.9","97.1","89.4","83.5","419","167","404","40",28.6,"10",7.1,4.1
"Edman, Tommy","669242","111","11.4",31.5,"105.5","87.6","97","90.3","87.8","411","157","379","39",35.1,"4",3.6,2.6
"Barnes, Austin","605131","106","9.5",30.2,"108.5","86.3","97","87.6","88.3","399","130","399","33",31.1,"2",1.9,1.3
"Outman, James","681546","81","15.3",38.3,"110.7","87.6","100.2","95.5","78.5","437","177","389","31",38.3,"4",4.9,2.6
"Feduccia, Hunter","676439","10","9.5",30,"102.1","83.3","91.9","86.4","81.3","323","144",,"2",20,"0",0,0
