"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Stone, Gavin","694813","425","11.2",32.5,"114.7","88.2","77.1","90.8","86.4","449","161","400","154",36.2,"27",6.4,4.7
"Flaherty, Jack","656427","413","14",36.1,"117.5","88.4","77.4","91.9","85.2","448","173","395","144",35.9,"32",7.7,4.9
"Glasnow, Tyler","607192","317","9.3",32.2,"117.6","89","78.1","93.6","85.9","439","151","398","127",40.1,"27",8.5,5.2
"Buehler, Walker","621111","246","10.8",36.2,"111","88.3","77.4","92.8","85","442","164","397","93",37.8,"17",6.9,4.9
"Yamamoto, Yoshinobu","808967","240","8.4",34.2,"112","88.4","76.2","92.9","85.2","429","154","396","99",41.3,"20",8.3,5.4
"Knack, Landon","689017","196","21.1",35.7,"111.3","90.6","80.5","95.2","85.1","476","199","402","86",43.9,"20",10.2,7
"Miller, Bobby","676272","174","10.4",34.5,"115.6","91.5","81.4","95.9","87.7","437","168","399","83",47.7,"20",11.5,7.8
"Hudson, Daniel","543339","170","18.1",30.6,"113","90.4","79.9","93.8","87.6","452","176","399","84",49.4,"21",12.4,8.3
"Kopech, Michael","656629","152","16.9",34.2,"110.3","89","78.9","91.7","85.8","433","184","408","62",40.8,"16",10.5,5.7
"Phillips, Evan","623465","147","11.9",36.1,"117.7","85.9","74.2","89","83.4","462","169","410","48",32.7,"9",6.1,3.9
"Vesia, Alex","681911","140","30",29.3,"113.3","87.5","76.2","93.8","82","462","192","402","49",35,"17",12.1,6.5
"Grove, Michael","675627","139","10.5",30.9,"116.7","87.6","76","92.7","84.9","409","148","389","47",33.8,"13",9.4,6
"Banda, Anthony","607455","139","11.9",30.9,"117","88.3","76.7","92.3","85.7","408","154","388","54",38.8,"9",6.5,4.3
"Honeywell, Brent","641703","118","14",39,"109.4","88.3","77.2","92.3","84.6","420","173","384","47",39.8,"6",5.1,4
"Treinen, Blake","595014","115","14",23.5,"111.3","87.6","76.5","90.7","86.3","414","156","402","39",33.9,"6",5.2,3.3
"Wrobleski, Justin","680736","111","21.7",44.1,"108.8","90","79.9","93.2","88","462","202","409","41",36.9,"13",11.7,8.4
"Kershaw, Clayton","477132","98","14.1",38.8,"110.8","90.4","79.4","93.2","87.7","427","161","387","40",40.8,"4",4.1,3
"Kelly, Joe","523260","86","8",33.7,"110.7","88.7","77.1","95.1","84.5","426","156","408","37",43,"11",12.8,7.7
"Brasier, Ryan","518489","80","16.6",35,"117.2","90.7","81.4","93.5","92.1","432","165","410","35",43.8,"6",7.5,5.5
"Ryan, River","689981","54","9.8",35.2,"108.7","84.3","72","91.8","79.1","429","163","429","15",27.8,"4",7.4,4.9
"Ramirez, Nick","598286","51","9.5",37.3,"110.3","92.7","83.7","94.9","91.9","398","150",,"26",51,"5",9.8,7.9
"Feyereisen, J.P.","656420","33","19.9",36.4,"113.5","92.6","82.5","97.8","86.1","419","205","402","14",42.4,"6",18.2,12.5
"Hurt, Kyle","669165","23","14.8",47.8,"106.9","90.4","82.2","95.4","82","378","189",,"11",47.8,"1",4.3,3.7
"Casparius, Ben","676508","21","15",57.1,"106.1","88.3","78.9","90.6","81.2","369","224",,"8",38.1,"1",4.8,2.7
"Crismatt, Nabil","622503","20","10.3",35,"113.3","87","73.8","92","80.8","426","173","426","6",30,"2",10,7.7
"Hernández, Enrique","571771","18","26.9",44.4,"104.2","91.8","84.3","96.9","91.8","356","224",,"8",44.4,"1",5.6,5.6
"Graterol, Brusdar","660813","18","12.8",44.4,"106.2","84.3","71.8","88.4","86.6","363","143",,"5",27.8,"0",0,0
"Lamet, Dinelson","659275","13","17",15.4,"109","88.3","78.1","92.5","81.6","371","201","371","4",30.8,"2",15.4,11.1
"Brogdon, Connor","641401","10","13.3",40,"110","94.2","83.9","98.1","85.3","442","245","395","5",50,"3",30,15.8
"Logue, Zach","656657","8","15",37.5,"102.8","93.4","86.6","96.6","95.6","367","133","367","5",62.5,"0",0,0
"Henriquez, Edgardo","683618","7","27",14.3,"104.2","84.7","76.9","104.2","77.3","351","101",,"1",14.3,"0",0,0
"Rojas, Miguel","500743","4","-4",50,"97.9","88.5","79.3","88.8","88.3","358","135",,"2",50,"1",25,25
