"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Webb, Logan","657277","617","2.5",32.1,"120.4","89.8","77.9","95.2","86.8","464","133","426","285",46.2,"43",7,5.1
"Harrison, Kyle","690986","365","14.9",34.2,"114.9","90.7","80.4","94.7","87.8","441","180","400","161",44.1,"37",10.1,7
"Hicks, Jordan","663855","329","8.9",34.7,"112.3","89.6","78.4","94.2","86.4","426","152","387","139",42.2,"31",9.4,6.4
"Hjelle, Sean","663546","243","2.3",29.6,"111.8","88.7","78","91.3","87.7","423","124","401","91",37.4,"13",5.3,3.9
"Snell, Blake","605483","228","14.6",32.9,"111.6","86.5","75.5","90.4","83.5","433","160","411","66",28.9,"13",5.7,3.1
"Rogers, Tyler","643511","225","7.5",24.9,"112.6","85.2","73","89.9","83.9","431","127","390","70",31.1,"10",4.4,3.4
"Walker, Ryan","676254","182","9.8",31.3,"116.1","86.4","74.1","91","83.2","427","149","385","55",30.2,"11",6,3.6
"Birdsong, Hayden","806185","180","13.8",32.8,"112.5","92","82.1","95.5","87.9","431","184","396","90",50,"16",8.9,5.1
"Winn, Keaton","676775","165","8.7",34.5,"113.4","93.1","83.8","96.7","90.2","467","164","402","80",50.6,"14",8.5,5.9
"Rogers, Taylor","573124","161","12.3",32.3,"111.1","86.7","74.6","90.3","85.2","430","152","385","53",32.9,"10",6.2,4
"Miller, Erik","669062","158","10.7",25.3,"112.7","89.5","79.1","92","88.6","406","148","380","65",41.1,"11",7,3.9
"Bivens, Spencer","702352","153","8.7",28.1,"109.5","88.7","78.2","93.6","85.9","442","145","405","56",36.6,"12",7.8,5.9
"Doval, Camilo","666808","152","-0.2",27.6,"121.5","89.5","77.7","96.4","84.9","410","133","381","65",42.8,"13",8.6,4.8
"Rodríguez, Randy","678495","146","13.4",26,"114.2","88.1","76.9","92","83.6","434","163","418","55",37.7,"11",7.5,5
"Roupp, Landen","694738","143","10.6",35,"111.6","89","77.6","94","86.6","402","151","401","56",39.2,"7",4.9,3.2
"Black, Mason","696131","120","18.4",37.5,"112.5","89.8","79.5","94.3","84.1","434","194","400","49",40.8,"12",10,7.1
"Ray, Robbie","592662","64","19.2",34.4,"107.3","86.8","74.9","91.8","81.5","423","186","395","23",35.9,"6",9.4,4.7
"Beck, Tristan","663941","48","21.8",33.3,"109.7","88.5","79.4","91.1","87.2","411","183","390","15",31.3,"6",12.5,9
"Teng, Kai-Wei","678906","39","13.6",30.8,"109.1","89.5","77.8","96.9","88.4","380","153","370","20",51.3,"4",10.3,7.3
"Avila, Nick","687014","38","17.7",55.3,"109.9","94.6","88.3","94.7","94.9","391","221","367","25",65.8,"5",13.2,9.1
"Warren, Austin","681810","30","11.4",33.3,"110.5","84.3","71.9","88.1","81","419","153","419","8",26.7,"2",6.7,4.8
"Fitzgerald, Tyler","666149","14","24.2",50,"105.6","90.9","81.8","92.6","88.9","348","210",,"6",42.9,"1",7.1,7.1
"McDonald, Trevor","686790","8","-9.8",0,"106.3","85.3","77.6","86.8","85.1","206","42",,"1",12.5,"0",0,0
"Walton, Donovan","622268","5","32.2",20,"104","86.5","76","87.6","104","350","205",,"2",40,"0",0,0
"Yastrzemski, Mike","573262","5","5.3",20,"104.5","86.5","75.7","87.2","86.1","276","132",,"2",40,"1",20,12.5
"Burgos, Raymond","670103","5","6.5",0,"103.2","85.7","75.3","85.8","85.7","195","55",,"2",40,"0",0,0
