"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Ramírez, José","608070","544","19.6",34,"116.6","89.2","99.6","93","87.5","451","184","389","216",39.7,"47",8.6,6.9
"Giménez, Andrés","665926","495","8.7",32.7,"109.6","86.3","96.5","89.6","84.6","413","140","394","141",28.5,"14",2.8,2.2
"Naylor, Josh","647304","462","11.1",30.1,"110.9","89.9","100.8","94.3","87.5","445","158","399","189",40.9,"39",8.4,6.2
"Kwan, Steven","680757","431","14.9",38.1,"105.6","86.3","95","88.2","84.8","424","172","382","102",23.7,"11",2.6,2
"Thomas, Lane","657041","340","17",31.5,"111","88.8","100.4","92.9","86","429","165","397","138",40.6,"25",7.4,4.7
"Rocchio, Brayan","677587","300","9.4",35.3,"108.1","84.6","95.7","88.5","82.5","400","149","383","67",22.3,"12",4,2.7
"Brennan, Will","686823","283","13.3",31.1,"109","86","97.1","89.7","84.1","401","154","371","92",32.5,"13",4.6,3.7
"Freeman, Tyler","671289","283","13",30.4,"109.2","87.7","98.6","90.2","87.5","418","151","383","98",34.6,"9",3.2,2.3
"Fry, David","681807","255","19.6",36.9,"108.5","88.3","99.1","90.3","87.8","424","183","390","96",37.6,"19",7.5,4.8
"Naylor, Bo","666310","236","19.9",32.6,"109","88.8","98.7","93.3","84.9","435","179","391","89",37.7,"19",8.1,4.9
"Schneemann, Daniel","682177","126","11.1",41.3,"108.3","88.5","98.4","92.2","84.4","408","166","383","48",38.1,"6",4.8,2.7
"Martínez, Angel","682657","121","14.9",29.8,"106.2","86.5","96.8","90.4","85.4","398","156","370","39",32.2,"2",1.7,1.2
"Noel, Jhonkensy","678877","117","19.3",30.8,"115.9","88.6","100.8","93.5","86.7","450","174","407","43",36.8,"17",14.5,8.6
"Manzardo, Kyle","700932","105","22.1",31.4,"109.8","89.1","99.6","92.7","83.5","413","209","395","42",40,"10",9.5,6.4
"Arias, Gabriel","672356","101","5.6",35.6,"113.4","89.7","101.3","96.4","85.1","424","143","406","37",36.6,"8",7.9,5
"Hedges, Austin","595978","87","21.4",23,"103.2","84.8","94.7","91.1","78.1","368","163","362","21",24.1,"1",1.1,0.7
"Florial, Estevan","664314","58","12.8",36.2,"110.7","88.7","99.3","93.7","84.5","387","167","375","24",41.4,"6",10.3,5.4
"Rodriguez, Johnathan","671286","17","-10.8",11.8,"110.6","91.3","102.6","96.1","90.3","361","79",,"8",47.1,"0",0,0
"Straw, Myles","664702","4","23.3",50,"90.5","79.5","90.1","90.5","71.4","289","137",,"0",0,"0",0,0
