"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Bibee, Tanner","676440","471","17.7",37.4,"116.7","88.4","77.5","92.9","84","450","182","387","174",36.9,"33",7,4.6
"Lively, Ben","594902","460","14",30.7,"116.9","90.2","80.5","93.6","88.4","446","168","388","191",41.5,"30",6.5,4.7
"Carrasco, Carlos","471911","320","10.8",35.3,"114.4","89.3","78.9","93.4","85.8","440","163","403","124",38.8,"26",8.1,5.8
"Allen, Logan","671106","308","13.4",36,"114","91","80","95.6","88","456","170","404","143",46.4,"35",11.4,8.1
"Avila, Pedro","658648","231","9.6",39,"112.2","89.6","79.2","92.7","87.2","432","163","400","96",41.6,"12",5.2,3.4
"Williams, Gavin","668909","218","13.2",32.1,"110.8","90.8","80.8","92.9","90.3","431","169","389","96",44,"15",6.9,4.5
"McKenzie, Triston","663474","215","20",31.6,"111.1","90.7","80.7","94.3","88.8","454","191","408","90",41.9,"28",13,8.2
"Gaddis, Hunter","683769","194","18.8",29.9,"111.3","88.5","78.2","92.3","85.6","413","173","392","71",36.6,"11",5.7,4
"Clase, Emmanuel","661403","192","3",31.8,"109.7","86.5","75.5","89.2","85.1","415","126","376","57",29.7,"7",3.6,2.6
"Smith, Cade","671922","166","11.8",39.2,"120.3","90.4","80.1","94.9","88.7","414","163","402","71",42.8,"14",8.4,4.8
"Herrin, Tim","682120","159","7.4",28.3,"111.5","86.9","75.2","91.7","84.3","457","137","415","58",36.5,"11",6.9,4.3
"Sandlin, Nick","680704","145","18.3",29,"113.5","91.3","81.1","94.7","89.1","418","175","392","62",42.8,"16",11,6.5
"Barlow, Scott","605130","138","9",33.3,"109.7","86.2","73.8","92.2","82.3","421","150","391","45",32.6,"8",5.8,3.3
"Morgan, Eli","669212","121","17.6",28.9,"109.2","85.2","74.1","89.8","79.3","446","178","374","34",28.1,"3",2.5,1.8
"Boyd, Matthew","571510","105","20.2",36.2,"111.2","87.6","76.7","91.4","84.3","413","182","375","40",38.1,"7",6.7,4.2
"Cantillo, Joey","676282","104","11",30.8,"112.4","89.1","78.6","94","85.7","427","155","396","42",40.4,"8",7.7,4.9
"Howard, Spencer","675921","103","16.9",35,"111.2","91.8","82.1","91.8","93.3","412","189","384","46",44.7,"9",8.7,6.3
"Hentges, Sam","656529","58","11",32.8,"110.2","89.1","79.4","95.8","85.7","387","150","369","21",36.2,"3",5.2,3.3
"Cobb, Alex","502171","49","0.9",32.7,"108.1","91.9","82.9","95.3","89.8","403","132","390","22",44.9,"3",6.1,4.8
"Beede, Tyler","595881","38","8.2",31.6,"110","89.1","78.8","93.1","83.8","390","161","354","17",44.7,"2",5.3,2.9
"Strzelecki, Peter","657265","34","14.3",38.2,"113.3","87.5","75.6","94.1","81.2","407","165","377","13",38.2,"3",8.8,6.4
"Parsons, Wes","641149","29","-2",37.9,"108","87.6","75.7","94.9","80.9","407","150","399","12",41.4,"3",10.3,7.9
"Bieber, Shane","669456","24","7.1",45.8,"111.4","88.5","77","93.8","85.1","387","146",,"10",41.7,"1",4.2,2.2
"Sabrowski, Erik","681870","24","20.8",29.2,"106.4","88.6","79","90.1","85.1","348","198",,"8",33.3,"0",0,0
"Walters, Andrew","689958","21","27",42.9,"108.4","87.6","79.6","89.9","85.4","380","193",,"5",23.8,"0",0,0
"Gillispie, Connor","687362","19","24.2",36.8,"104.9","90.3","80.4","98.6","83.4","390","172",,"9",47.4,"3",15.8,9.4
"Gose, Anthony","543238","17","9",35.3,"110.2","89.7","78.1","94.8","84","403","189","402","8",47.1,"3",17.6,13.6
"Hedges, Austin","595978","5","18.3",40,"105.4","97.2","92.3","101.8","90.4","407","242",,"4",80,"1",20,16.7
