"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Rodríguez, Julio","677594","413","10.5",33.2,"114.5","91.7","103.6","95.9","88.9","448","159","406","200",48.4,"42",10.2,6.9
"Arozarena, Randy","668227","384","13.2",28.4,"112.1","90.4","100.9","94.6","87.8","445","158","399","167",43.5,"32",8.3,4.9
"Raleigh, Cal","663728","376","21.2",35.6,"113.9","91","102","95.3","86.1","445","195","397","181",48.1,"58",15.4,9.2
"Turner, Justin","457759","372","17.8",40.1,"106.8","87.1","96.7","90.1","84.3","425","186","389","121",32.5,"17",4.6,3.2
"Rojas, Josh","668942","317","15.5",35.6,"108.4","88.2","97.9","93.1","83.5","408","179","388","121",38.2,"18",5.7,3.8
"Crawford, J.P.","641487","291","13.2",30.2,"110.7","87.5","99","91.5","85.6","429","159","394","110",37.8,"19",6.5,4.2
"Polanco, Jorge","593871","281","17.8",35.6,"110.7","88.3","99.2","92.3","82.1","426","183","395","105",37.4,"25",8.9,5.3
"Raley, Luke","670042","273","13.5",30.4,"115.4","90.1","101.7","95.1","86.3","459","160","394","114",41.8,"30",11,6.6
"Haniger, Mitch","571745","255","13.7",31,"112","90.6","101","94.1","87.5","422","164","391","117",45.9,"23",9,5.4
"Moore, Dylan","664238","251","22.6",38.2,"109.1","88.4","98.8","91.7","85.4","429","192","389","91",36.3,"22",8.8,5
"Garver, Mitch","641598","237","18.3",32.5,"108.7","89.9","100","94.8","84.6","419","180","395","94",39.7,"20",8.4,4.7
"Robles, Victor","645302","210","14.8",32.9,"109.8","86.7","97.3","91.9","82.9","426","151","412","60",28.6,"13",6.2,4.4
"Canzone, Dominic","686527","117","9.1",31.6,"110.5","89.9","101.8","95.2","84.6","428","168","415","52",44.4,"13",11.1,6.9
"Urías, Luis","649966","60","19.2",43.3,"106.6","87.1","99.4","94.8","78.8","420","186","401","21",35,"7",11.7,6.4
"Rivas, Leo","660844","51","12.6",45.1,"102.1","87.2","95.7","92.3","81.4","366","160",,"14",27.5,"1",2,1.2
"Bliss, Ryan","669208","43","6.8",37.2,"107","88.5","100.3","98.2","76.2","421","163","416","20",46.5,"4",9.3,5.6
"Locklear, Tyler","682988","25","21.2",28,"111.7","87.2","99.8","98.2","84.1","390","152","378","11",44,"2",8,4.1
"Zavala, Seby","664874","24","19.9",41.7,"105.9","90.5","99.4","93.6","82.9","399","195","357","10",41.7,"1",4.2,2.3
"Vosler, Jason","613564","19","16.5",42.1,"106.1","92.6","98.7","98.5","86.4","392","173",,"8",42.1,"3",15.8,10
"Haggerty, Sam","664059","11","5.7",27.3,"109.9","84.3","95.1","95.4","82.4","299","104",,"2",18.2,"0",0,0
"Marlowe, Cade","687799","7","13.6",28.6,"94","81.9","88.3","81.3","82.3","308","144",,"0",0,"0",0,0
"Taylor, Samad","669392","4","13.8",0,"106.5","90.5","94.6",,"94.4","189","76",,"1",25,"0",0,0
