"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Burger, Jake","669394","389","13",32.4,"115.5","91.3","103.6","96","88.7","441","170","405","182",46.8,"48",12.3,8.3
"Sánchez, Jesús","660821","352","7.7",31.8,"117.2","92.5","104.6","97.1","89.5","480","151","419","180",51.3,"43",12.2,8
"Lopez, Otto","672640","332","5.4",30.4,"108.8","88","99.5","93.1","84.6","427","133","404","129",38.9,"17",5.1,3.9
"Fortes, Nick","663743","279","15.4",28.3,"109.2","84.3","95.6","87.3","86.4","402","132","390","63",22.6,"4",1.4,1.2
"Edwards, Xavier","669364","218","6.7",36.2,"102.7","86.1","95.1","89.1","83.7","379","142","374","53",24.3,"4",1.8,1.3
"Gordon, Nick","624503","196","6.5",34.7,"107.9","86.1","96.6","91.2","82.1","407","147","379","58",29.6,"12",6.1,4.4
"Bruján, Vidal","660644","195","8",29.7,"104.7","85.1","95.2","87.9","84.5","415","130","411","44",22.6,"3",1.5,1.1
"Bride, Jonah","681146","184","11.8",29.9,"105.9","87.1","97.4","92.4","84.8","409","145","382","62",33.7,"10",5.4,3.7
"Anderson, Tim","641313","166","1.4",29.5,"108.9","86.1","97","91.7","82.8","397","118",,"50",30.1,"3",1.8,1.2
"Stowers, Kyle","669065","119","12.3",36.1,"109.7","91","102.2","94.6","88.9","439","156","427","61",51.3,"13",10.9,6.2
"Norby, Connor","681393","115","17",47,"107.5","86.2","99.1","93.6","73.4","435","193","395","45",39.1,"17",14.8,8.8
"Hill, Derek","656537","109","9.8",37.6,"111.3","88.3","99.3","92","85","436","154","415","40",36.7,"12",11,7
"Pache, Cristian","665506","102","9.8",26.5,"109.2","89.9","99.7","91.5","89.4","382","148","374","39",38.2,"5",4.9,2.7
"Sánchez, Ali","645305","67","7.6",25.4,"105.1","86.8","98","89.5","85.5","390","124",,"24",35.8,"3",4.5,3.1
"Myers, Dane","667472","61","11.4",32.8,"106.4","89.9","100.5","93.6","87.7","420","174","403","29",47.5,"7",11.5,6.5
"Conine, Griffin","665052","54","7",29.6,"112.5","89.1","101","93.4","87.7","414","135","373","22",40.7,"4",7.4,4.5
"García, Avisaíl","541645","37","2.1",27,"107","86.6","99.1","92","85.4","421","129","411","11",29.7,"3",8.1,5.9
"Hensley, David","682073","35","-7.7",20,"109.5","84","97.2","90.1","81.4","395","97","395","9",25.7,"1",2.9,1.7
"Sanoja, Javier","691594","31","8.6",29,"105.3","86.2","95.4","85.8","87.8","358","142",,"10",32.3,"0",0,0
"Pereda, Jhonny","640902","29","3.3",34.5,"105.8","85.5","97.9","89.6","83.6","370","129",,"11",37.9,"1",3.4,2.5
"Wall, Forrest","657088","24","14.2",12.5,"101","89.2","96.5","91.1","86.9","372","133",,"8",33.3,"0",0,0
"Devers, José","672701","3","-2.4",33.3,"99.1","92.4","98.6","79.9","98.6","207","77",,"2",66.7,"0",0,0
