"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Muñoz, Roddery","682610","262","15.9",41.2,"113.3","90.8","80.8","94.6","85.3","456","196","402","118",45,"36",13.7,9.5
"Cabrera, Edward","665795","256","10",32.4,"114.6","89.7","78.1","95.2","84.8","450","158","404","117",45.7,"22",8.6,5.3
"Weathers, Ryan","677960","254","10.4",32.7,"111.6","89.5","78.8","93.9","87.6","440","157","401","97",38.2,"21",8.3,5.7
"Bellozo, Valente","678368","228","22.2",34.2,"113.7","90","79.5","93.9","86.6","446","194","418","96",42.1,"25",11,8.5
"Cronin, Declan","686539","204","1.6",29.9,"115.4","89.5","78","93.3","87.3","426","130","426","85",41.7,"10",4.9,3.3
"Luzardo, Jesús","666200","192","16.5",33.3,"115.5","90.4","80.4","92.8","87.9","415","171","393","79",41.1,"19",9.9,6.9
"Meyer, Max","676974","180","10.1",27.2,"114","90.6","79","96","87","429","154","398","86",47.8,"25",13.9,10.1
"Baumann, Mike","657508","174","14.5",33.9,"111.2","91.1","82.2","92.9","88.9","431","175","395","76",43.7,"16",9.2,6.1
"Bender, Anthony","669622","147","8.7",32,"115.7","87.7","75.8","93.6","84.5","411","142","402","60",40.8,"7",4.8,3.1
"McCaughan, Darren","670766","146","19.5",35.6,"112.5","89.1","78.2","92.8","84.9","415","189","394","57",39,"12",8.2,6.2
"Faucher, Calvin","676534","142","9",31.7,"110.4","89.6","79.4","91.4","87.9","400","152",,"56",39.4,"11",7.7,4.7
"Curry, Xzavion","675540","137","25.6",38,"111","89.9","79.6","93.1","86.7","434","221","393","59",43.1,"15",10.9,8.7
"Oller, Adam","670124","129","18.2",28.7,"115.1","90.4","81.2","94.9","86.6","435","175","405","50",38.8,"11",8.5,5.8
"Sánchez, Sixto","664350","128","10.4",29.7,"110.1","90","79.7","94","87.2","409","151","396","56",43.8,"8",6.3,4.9
"Nardi, Andrew","677053","121","21.5",33.9,"112.7","88.2","77.8","89.7","87.6","454","197","399","42",34.7,"9",7.4,4.3
"Garrett, Braxton","666129","118","9",30.5,"111.4","92.3","82.2","95.1","91.8","434","146","404","57",48.3,"10",8.5,6.2
"Tinoco, Jesus","622786","105","13",28.6,"112.8","87.1","75.9","92.7","83.8","418","161","404","35",33.3,"7",6.7,4.3
"Chirinos, Yonny","630023","103","20",33,"111","87.6","76.4","92.4","84.8","436","175","405","36",35,"8",7.8,5.6
"Tyler, Kyle","667725","98","10.2",32.7,"110.1","88.7","76.5","94.5","83.6","428","152","398","45",45.9,"8",8.2,5.6
"Soriano, George","666277","85","15.2",51.8,"113.1","89","76.7","95.4","75.9","473","210","405","39",45.9,"11",12.9,8.4
"Anderson, Shaun","641312","73","15.7",42.5,"109.3","91.6","83.5","94.3","88.9","428","185","407","30",41.1,"8",11,9.4
"Petersen, Michael","656848","64","22.7",34.4,"108.6","88.7","78.6","93.4","79","438","203","414","24",37.5,"4",6.3,4.4
"Maldonado, Anthony","687424","64","19.8",32.8,"110.6","85.3","74.1","91.6","76.5","446","158","446","17",26.6,"2",3.1,2.4
"Ramirez, Emmanuel","642629","60","17.5",33.3,"109.6","91","81.3","95.7","87.1","415","190","400","27",45,"4",6.7,4.3
"Emanuel, Kent","592288","60","1.7",25,"114.9","89.5","78.6","93.4","87.2","420","134","405","27",45,"6",10,7.3
"Veneziano, Anthony","685107","40","17.6",35,"112.3","93.4","85.6","96","89.5","415","197","415","20",50,"2",5,3.4
"Kitchen, Austin","685116","34","4.7",32.4,"108","89.9","80.1","97","86.7","396","119","396","14",41.2,"1",2.9,2.4
"McMillon, John","669111","29","8.6",20.7,"107.8","85.8","75.4","92.4","79.4","398","152","398","6",20.7,"1",3.4,2.1
"Bachar, Lake","669199","25","18.2",44,"110.8","91.6","82.2","94.7","87","403","179","393","12",48,"4",16,10
"Bermúdez, Jonathan","642834","25","20.3",32,"109","88.5","76.5","91.9","85.8","394","184","386","11",44,"3",12,9.1
"Andriese, Matt","542882","18","9.9",38.9,"114.6","90.5","77.9","97.9","83.2","446","197","433","8",44.4,"2",11.1,7.7
"Villalobos, Eli","681871","13","21.2",46.2,"106.6","93.4","86.3","95.6","93.2","388","219","388","6",46.2,"2",15.4,11.1
"Bruján, Vidal","660644","11","30.4",45.5,"113.6","94.2","85.4","94.1","99.5","440","239","418","5",45.5,"2",18.2,12.5
"Gutierrez, Vladimir","661269","11","28.2",36.4,"106.6","81.3","72","88","81.4","425","203","425","2",18.2,"1",9.1,5.9
"Hensley, David","682073","8","18",50,"102.2","91.5","84.8","90.1","95.8","366","238",,"4",50,"0",0,0
"Pereda, Jhonny","640902","1","9.1",100,"102.9","102.9","102.9","102.9",,"154","154",,"1",100,"0",0,0
