"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Severino, Luis","622663","527","12.7",30.2,"114.7","87.1","75.3","90.9","85.9","442","152","404","187",35.6,"30",5.7,3.9
"Quintana, Jose","500779","508","10.7",32.9,"114.2","88","76.4","92.8","84.8","461","159","397","194",38.2,"34",6.7,4.7
"Manaea, Sean","640455","481","16.3",36.8,"114.9","88.6","77.7","93","85.2","443","178","396","182",37.8,"36",7.5,4.9
"Peterson, David","656849","356","7.2",35.4,"114.4","89.3","78.3","91.9","88.4","432","145","404","152",42.7,"26",7.3,5.1
"Blackburn, Paul","621112","233","11",38.2,"111","87.6","76.8","93","83.5","434","162","396","83",35.6,"19",8.2,6
"Houser, Adrian","605288","228","9.3",29.8,"114.6","91","81.6","94.2","88.9","423","153","392","92",40.4,"20",8.8,6.5
"Megill, Tylor","656731","209","12.3",36.4,"110.5","88.9","77.6","93.2","84.5","446","177","394","89",42.6,"21",10,6.2
"Buttó, José","676130","172","15.9",30.2,"114.5","88.7","78.1","94.2","84.5","445","167","406","65",37.8,"13",7.6,4.4
"Maton, Phil","664208","172","12.9",32,"111.6","86.5","74.4","92.2","83.7","422","154","397","57",33.1,"12",7,4.5
"Stanek, Ryne","592773","146","19",34.2,"109.9","90.2","81","92.3","88.3","406","196","396","61",41.8,"14",9.6,5.8
"Ottavino, Adam","493603","144","13.6",33.3,"110.6","87.1","75.4","91.3","84.7","423","161","400","50",34.7,"11",7.6,4.5
"Scott, Christian","681035","143","22.1",37.1,"111.4","89.2","78.6","92.7","88.2","431","183","401","51",35.7,"15",10.5,7.6
"Brazobán, Huascar","623211","138","10.4",33.3,"110.1","82.3","69.8","87.7","77.5","394","143","380","34",24.6,"6",4.3,2.8
"Garrett, Reed","657585","132","13.5",28,"110.3","87.5","75.6","90.4","86.6","420","144","400","49",37.1,"7",5.3,2.8
"Díaz, Edwin","621242","109","13.9",32.1,"110.7","85.9","74.7","92.5","81.6","428","160","390","33",30.3,"8",7.3,3.7
"Young, Danny","664849","92","2.8",28.3,"113.1","88.9","77.7","91.5","86.5","423","132","413","36",39.1,"6",6.5,3.6
"Núñez, Dedniel","673380","79","10.1",26.6,"113.1","88.7","76.7","94.3","85.8","445","135","433","30",38,"8",10.1,5.9
"Diekman, Jake","518617","77","10.8",36.4,"108.7","87","75","93.4","83.2","439","169","396","30",39,"8",10.4,5.5
"Reid-Foley, Sean","656887","51","6.9",19.6,"109.5","88.9","77.1","93.8","88.2","351","118",,"20",39.2,"0",0,0
"Smith, Drew","622098","47","24.9",38.3,"108.9","91.6","82.7","94.4","91","426","209","416","18",38.3,"5",10.6,6.3
"Young, Alex","622065","46","12.2",30.4,"112.4","88.4","76.9","91.1","89.2","425","157","389","22",47.8,"3",6.5,4.4
"Walker, Josh","677020","38","8.2",39.5,"108.1","86.2","73.6","90.5","84.2","389","155","389","14",36.8,"3",7.9,5.4
"Lucchesi, Joey","664192","31","11.8",29,"115.4","94.9","86.3","95.3","94.9","386","153","386","17",54.8,"3",9.7,6.5
"Hartwig, Grant","701643","21","16.8",33.3,"110","84.5","72.1","86.1","85.5","413","162","413","5",23.8,"3",14.3,9.7
"Adcock, Ty","686654","16","20.8",50,"107.1","90","78.7","92.1","83.8","423","227","399","8",50,"4",25,19
"Raley, Brooks","548384","13","15.9",23.1,"104.7","82.8","69.7","92.3","67.1","370","195",,"4",30.8,"2",15.4,8
"Teheran, Julio","527054","11","19.5",36.4,"112","89.2","76.7","98.6","81.5","442","201","442","5",45.5,"1",9.1,6.3
"Senga, Kodai","673540","9","21.8",55.6,"113","90.2","78.7","103.1","76.1","397","200","392","5",55.6,"2",22.2,10
"Orze, Eric","679358","7","24.7",28.6,"110.3","91.2","82.4","95.5","65.8","377","260","377","3",42.9,"1",14.3,9.1
"Alvarez, Eddy","657193","3","18.2",33.3,"106.1","97.6","93.4","102.3","88.4","317","209",,"2",66.7,"1",33.3,20
"Torrens, Luis","620443","1","-7.6",0,"97","97","97",,"97","21","21",,"1",100,"0",0,0
