"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Henderson, Gunnar","683002","475","9.2",34.5,"113.1","92.8","104","96.1","90.8","430","163","399","256",53.9,"53",11.2,7.4
"Rutschman, Adley","668939","475","18.8",35.4,"109.3","88.2","98.1","90.4","86.4","425","184","391","174",36.6,"29",6.1,4.5
"Santander, Anthony","623993","471","22.7",35,"114.4","89.8","100.3","94.6","86.1","442","192","395","196",41.6,"55",11.7,8.3
"O'Hearn, Ryan","656811","377","12",35,"108.8","89.6","99.7","93.3","86.7","435","171","390","151",40.1,"26",6.9,5.3
"Mountcastle, Ryan","663624","365","10.4",36.2,"113.5","90.8","102.1","93.7","88.8","443","167","398","165",45.2,"32",8.8,6.3
"Mullins, Cedric","656775","350","21.5",31.4,"106.4","87.1","97.8","90.7","86","430","172","384","117",33.4,"17",4.9,3.4
"Cowser, Colton","681297","330","13",31.8,"113.6","90.5","101.8","95.6","84.7","443","179","409","152",46.1,"45",13.6,8
"Westburg, Jordan","676059","321","13.1",37.4,"111.2","91.1","101.8","94.8","88.2","433","177","397","148",46.1,"38",11.8,8.5
"Jiménez, Eloy","650391","255","4.3",25.1,"112.3","92","103.2","95.8","91","441","127","418","125",49,"20",7.8,5.7
"Urías, Ramón","602104","218","12.8",32.6,"109.5","88.3","98.8","93.7","83.9","432","166","404","84",38.5,"19",8.7,6.3
"Rivera, Emmanuel","656896","202","8.7",33.7,"109.2","89.7","100","92.2","89.3","442","153","401","89",44.1,"16",7.9,5.3
"McCann, James","543510","162","14.4",38.9,"110.5","87.4","99.2","91.6","83.3","429","174","403","61",37.7,"14",8.6,6
"Mateo, Jorge","622761","149","14.1",30.2,"109.2","88.1","99.9","93.5","85.4","434","153","400","52",34.9,"6",4,2.9
"Holliday, Jackson","702616","122","8.6",27,"109.2","89.3","100.2","94.8","85.9","439","151","409","55",45.1,"10",8.2,4.8
"Slater, Austin","596103","121","7.2",37.2,"105.4","88.2","98.4","91.8","85","415","142","388","45",37.2,"4",3.3,1.9
"Kjerstad, Heston","677008","66","10.3",28.8,"108.5","90.2","100.6","95.3","86.5","415","166","408","29",43.9,"4",6.1,3.5
"Mayo, Coby","691723","19","6",52.6,"104.3","84.7","94.9","87.1","82","336","155",,"4",21.1,"0",0,0
"Soto, Livan","670869","10","22.1",40,"98.8","85.1","93.9","87.9","78.3","381","180",,"2",20,"1",10,6.3
"Kemp, Tony","643393","8","17.6",25,"97","82.8","92.9","93.8","73.8","348","134",,"1",12.5,"0",0,0
"Maton, Nick","665155","3","32.5",33.3,"95.7","92.9","94.9","92.9",,"307","299",,"1",33.3,"0",0,0
"Bañuelos, David","675915","1","56.3",0,"87.3","87.3","87.3","87.3",,"205","205",,"0",0,"0",0,0
"Johnson, Daniel","669288","1","-13.4",0,"100.3","100.3","100.3",,"100.3","7","7",,"1",100,"0",0,0
