"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Bohm, Alec","664761","474","10.1",35.2,"110.8","90.4","100.8","92.4","90","427","160","397","216",45.6,"32",6.8,5.3
"Castellanos, Nick","592206","469","15.2",39,"113.1","88.4","99.3","91.4","85.4","445","184","398","179",38.2,"38",8.1,5.8
"Stott, Bryson","681082","422","14",35.3,"109.8","87","97.1","90.4","84.7","432","162","393","130",30.8,"15",3.6,2.6
"Harper, Bryce","547180","415","13.5",36.1,"113.8","91.1","102.5","95.1","86.3","428","185","392","200",48.2,"44",10.6,7
"Turner, Trea","607208","408","11.5",30.9,"110.6","89.1","99.7","93.2","86.2","459","161","405","166",40.7,"28",6.9,5.2
"Schwarber, Kyle","656941","384","15",31.8,"115.6","93.6","105.2","98.2","90.2","447","175","408","213",55.5,"60",15.6,8.7
"Realmuto, J.T.","592663","279","9.4",36.9,"109.7","89.2","101.2","94.8","84.2","430","163","401","130",46.6,"29",10.4,7
"Rojas, Johan","679032","277","4.8",21.3,"110.6","85.7","97.2","88.6","86","406","114","391","76",27.4,"7",2.5,1.9
"Marsh, Brandon","669016","270","13.8",40.7,"110.1","91.6","101.1","95.4","87.4","409","184","389","128",47.4,"27",10,5.7
"Sosa, Edmundo","624641","186","12.8",27.4,"113.7","89.2","100.5","91.9","89","450","152","399","77",41.4,"16",8.6,5.8
"Hays, Austin","669720","179","14.9",30.2,"109.9","88.9","100.4","93.9","84.7","432","165","397","72",40.2,"12",6.7,4.7
"Stubbs, Garrett","596117","115","19.4",40,"98.9","79.7","90.1","83.7","74.6","381","161","380","11",9.6,"0",0,0
"Clemens, Kody","665019","85","19.2",30.6,"108.4","89.4","99.4","93.9","85","413","187","393","36",42.4,"6",7.1,5
"Wilson, Weston","642215","60","19.1",35,"108.6","89.7","102","95.3","85.2","397","173","384","30",50,"9",15,9.2
"Marchán, Rafael","665561","44","16.7",47.7,"103.3","86.2","95.7","86.9","87.3","414","190","402","14",31.8,"4",9.1,7.1
"Dahl, David","621311","38","12.7",36.8,"105.6","87.1","96.4","92.4","80.1","390","176","366","8",21.1,"3",7.9,4.8
"Stevenson, Cal","670276","20","12.2",25,"103.1","85.6","95.8","89.1","79.7","376","164",,"5",25,"2",10,7.4
"Kennedy, Buddy","671083","15","12.6",60,"103.9","88.8","98.7","88","90.6","389","195","389","8",53.3,"2",13.3,7.7
"Garcia, Aramis","605244","4","-5.7",0,"107.7","97","101.3","94.9","97.7","338","89",,"1",25,"0",0,0
