"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Nola, Aaron","605400","570","12",35.4,"120.5","88.5","77.3","93.8","84","441","162","394","218",38.2,"41",7.2,5
"Sánchez, Cristopher","650911","557","2.4",30,"120","87.4","75.2","92","84.8","450","126","401","192",34.5,"30",5.4,4
"Wheeler, Zack","554430","503","13.5",32.4,"114.3","86.5","74.9","90.8","84.4","443","155","397","169",33.6,"42",8.3,5.3
"Suárez, Ranger","624133","434","6.3",32.7,"115.6","86.9","74.7","92","84","431","140","399","149",34.3,"22",5.1,3.5
"Walker, Taijuan","592836","283","15.4",37.8,"115.3","91.4","81.1","94.6","88.6","439","182","404","131",46.3,"38",13.4,10
"Banks, Tanner","621383","205","10.8",30.2,"116.2","87.5","76.5","91.2","85.5","429","152","399","70",34.1,"13",6.3,4.2
"Alvarado, José","621237","166","12.6",31.3,"111.8","89.5","78.5","93.4","86.6","427","146","401","68",41,"11",6.6,4.3
"Kerkering, Orion","689147","158","5.4",32.3,"116.9","87.3","76.4","90.5","85.7","398","136","380","53",33.5,"8",5.1,3.1
"Hoffman, Jeff","656546","157","17.3",32.5,"112.5","88.3","76.3","94.1","85","424","178","391","66",42,"12",7.6,4.5
"Estévez, Carlos","608032","149","19.5",38.9,"111.6","90.3","81.1","93.8","85.5","414","191","391","63",42.3,"15",10.1,7.1
"Ruiz, José","614179","147","12.4",28.6,"111","90.7","80.9","94.4","88.4","449","159","405","62",42.2,"12",8.2,5.5
"Strahm, Matt","621381","141","21.6",36.2,"113.2","89.2","79","92.8","85.8","422","190","389","53",37.6,"10",7.1,4.2
"Turnbull, Spencer","605513","139","10.7",33.1,"108.9","87.8","76.4","91","85.9","413","157","398","59",42.4,"10",7.2,4.5
"Phillips, Tyler","663969","123","12.7",38.2,"116.1","88.9","76.7","93.6","86.8","459","168","404","50",40.7,"17",13.8,10.6
"Marte, Yunior","628708","89","11.1",34.8,"113.4","87","73.8","92.9","83.7","430","155","401","38",42.7,"7",7.9,5.5
"Allard, Kolby","663465","86","15.7",27.9,"111.5","88.9","77.2","92.7","86.7","441","162","415","35",40.7,"7",8.1,6
"Pinto, Ricardo","620982","44","4.5",27.3,"109.4","88.3","76.7","90.9","86.5","378","137","372","18",40.9,"1",2.3,1.7
"Mercado, Michael","675650","44","19.5",45.5,"109.4","92.4","82.8","96.2","85","452","240","427","21",47.7,"10",22.7,15.6
"Lazar, Max","676661","43","11.4",41.9,"109.5","93.6","85.3","94.6","93.6","421","153","411","19",44.2,"2",4.7,3.7
"Gilbert, Tyler","656457","31","14.9",51.6,"110","92","83.7","92.6","90.4","410","204","410","15",48.4,"1",3.2,2.6
"Stubbs, Garrett","596117","17","17.1",23.5,"101.5","90.4","83.4","93.8","89.2","421","184","405","7",41.2,"1",5.9,5.3
"Johnson, Seth","686751","15","20.1",46.7,"106.9","93.2","84.4","90.3","100.3","418","200","418","7",46.7,"1",6.7,5.6
"Nelson, Nick","656793","15","23",26.7,"104.1","83.5","71","92.4","89.9","311","138",,"5",33.3,"0",0,0
"Clemens, Kody","665019","5","26.3",60,"106.4","96.8","90.9","96.8",,"393","333","393","3",60,"1",20,16.7
"Ortiz, Luis F.","656814","4","1.8",50,"108","95.8","85.3","108","91.7","188","90",,"3",75,"0",0,0
"Wilson, Weston","642215","4","23.4",0,"94.2","85.9","78.8","78.8","93.1","261","162",,"0",0,"0",0,0
