"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Keller, Mitch","656605","540","12.4",38,"115.3","88.8","77.9","92.9","85.3","448","170","403","212",39.3,"39",7.2,5
"Falter, Bailey","663559","445","17",36.4,"113.5","90.1","79.9","93.1","88.8","436","179","403","184",41.3,"40",9,6.8
"Ortiz, Luis L.","682847","398","13.9",34.9,"112.9","89","78.2","92.6","86.5","453","173","413","150",37.7,"35",8.8,6.3
"Jones, Jared","683003","328","14.5",36.9,"110.9","89.6","79","94","86.4","440","179","401","146",44.5,"32",9.8,6.3
"Skenes, Paul","694973","306","8.4",27.8,"112.5","87.8","76.6","92.4","85.1","427","139","389","111",36.3,"16",5.2,3.1
"Beeks, Jalen","656222","227","13.5",30.4,"115.5","87.2","76","91.1","86.3","439","155","413","75",33,"11",4.8,3.5
"Wentz, Joey","666214","194","15.5",32.5,"110","88.1","77.2","93.5","83.9","436","165","385","70",36.1,"14",7.2,4.6
"Santana, Dennis","642701","193","14.3",37.3,"109","86.3","75.3","90.4","81.8","402","172","386","63",32.6,"9",4.7,3.1
"Bednar, David","670280","172","17.9",30.8,"111.3","90.2","80","92.7","88.1","433","180","407","68",39.5,"16",9.3,6.1
"Nicolas, Kyle","693312","153","10.8",34,"112.4","90","80.2","93.1","87.3","431","165","400","62",40.5,"13",8.5,5.3
"Mlodzinski, Carmen","669387","142","12.9",29.6,"112.3","89.3","79.4","90.7","88.6","450","159","400","50",35.2,"4",2.8,1.9
"Holderman, Colin","670059","137","15.7",37.2,"112.3","87.6","75.9","94","83.1","422","172","405","52",38,"15",10.9,6.7
"Woodford, Jake","663765","129","14.5",38.8,"112.3","88.9","77.9","92.1","85.6","413","180","398","51",39.5,"10",7.8,6
"Chapman, Aroldis","547973","126","11.2",31,"112","90.5","80.4","93.5","88.1","428","170","400","52",41.3,"9",7.1,3.4
"Gonzales, Marco","594835","117","15.1",41,"112.1","90.9","80.3","94.5","89","442","176","421","51",43.6,"13",11.1,8.6
"Stratton, Hunter","676702","115","19.4",32.2,"110.6","87.3","76.1","93.7","81.7","407","154","388","36",31.3,"7",6.1,4.4
"Fleming, Josh","676596","106","6.6",23.6,"107","86.6","75","91.9","83.4","417","131","408","35",33.3,"4",3.8,2.9
"Germán, Domingo","593334","66","23.7",34.8,"111.7","88.9","79","93.8","85.7","417","175","391","24",36.4,"5",7.6,5
"Ryan, Ryder","656924","63","15.9",36.5,"111.8","90.2","79.7","93.5","89.1","416","186","385","28",44.4,"7",11.1,7.5
"Jefferies, Daulton","641726","56","12",39.3,"112.2","87.7","76","94.9","79.7","455","191","378","20",35.7,"5",8.9,6.8
"Heller, Ben","621294","39","13.6",41,"106.4","89.2","79","91.9","85.9","410","172","410","18",46.2,"3",7.7,4.5
"Borucki, Ryan","621366","33","5.4",39.4,"109","89.1","78.6","93.1","85.1","426","148","405","11",33.3,"4",12.1,7.8
"Bruihl, Justin","677865","20","4.1",25,"107","91.2","81.7","97.9","86.7","429","141","429","12",60,"1",5,3.7
"Hernandez, Jose E.","669796","17","24.3",47.1,"105.1","91.3","82.2","92.7","85.1","409","253","409","8",47.1,"4",23.5,16
"Tellez, Rowdy","642133","12","20.1",50,"108.6","86.2","75","92.4","68.3","371","213",,"3",25,"0",0,0
"Mattson, Isaac","676755","11","6.8",36.4,"104.3","83.3","70","97.6","73.6","391","147",,"3",27.3,"1",9.1,4.3
"Feigl, Brady","621399","11","5.1",27.3,"111.3","86.7","75.4","90.2","82.5","409","181","409","4",36.4,"2",18.2,18.2
"Burrows, Mike","681347","9","21.4",11.1,"104.2","90.1","80.7","98","87.8","406","187","406","4",44.4,"1",11.1,7.1
"Kiner-Falefa, Isiah","643396","7","29.4",28.6,"102.1","83","72.7","88.2","70.2","373","202",,"2",28.6,"1",14.3,11.1
