"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Duran, Jarren","680776","515","9.5",33.6,"113.9","90.8","101.9","94.8","88.8","433","159","403","226",43.9,"48",9.3,6.5
"Rafaela, Ceddanne","678882","398","14.9",34.9,"108.2","86.6","98.2","91.5","83","420","157","392","147",36.9,"30",7.5,5.3
"Devers, Rafael","646240","384","11.6",35.2,"114.7","93.2","104.6","96.9","90.6","467","171","405","202",52.6,"50",13,8.3
"Wong, Connor","657136","336","12.9",30.4,"109.1","86.5","98.7","90.8","83.3","420","153","388","116",34.5,"21",6.3,4.3
"Yoshida, Masataka","807799","328","10.5",36.3,"111.1","88","99.1","91.3","85.9","425","163","394","123",37.5,"18",5.5,4.3
"Abreu, Wilyer","677800","279","19.2",33.7,"114.4","91.6","101.9","94.4","89.6","430","191","407","141",50.5,"31",11.1,6.9
"O'Neill, Tyler","641933","254","20.2",34.6,"113.1","90.9","102.8","96.5","84.3","465","189","403","124",48.8,"44",17.3,9.3
"Jansen, Danny","643376","220","21.7",34.1,"107.2","86.6","97.2","91.1","82.2","395","188","382","65",29.7,"14",6.4,4.3
"Hamilton, David","666152","214","15.8",38.3,"108.8","87","97.7","90.6","82.8","406","180","382","69",32.2,"12",5.6,3.8
"Refsnyder, Rob","608701","195","10.7",32.8,"111.5","89.6","101.6","94.6","86.6","419","155","392","84",43.1,"19",9.7,6.2
"Valdez, Enmanuel","665839","153","19.3",32,"110.8","89.4","99.9","92.3","87.8","442","181","386","64",41.8,"14",9.2,6.3
"Gonzalez, Romy","663853","145","3.7",29,"112.3","92.3","104.2","96.5","90.2","452","140","423","74",51,"12",8.3,5.6
"Casas, Triston","671213","135","10.5",35.6,"112","90.2","101.4","95.8","85.2","429","174","389","61",45.2,"18",13.3,7.4
"McGuire, Reese","624512","104","12.4",29.8,"105.8","84","95.7","89.5","78.8","392","155","386","28",26.9,"7",6.7,4.4
"Grissom, Vaughn","687093","82","8.3",41.5,"105.1","86.1","97.8","89.8","82.1","376","145",,"27",32.9,"4",4.9,3.5
"Cooper, Garrett","643265","72","12.7",47.2,"109.9","85.9","98.9","90.8","78.8","401","170","401","26",36.1,"7",9.7,6
"Story, Trevor","596115","61","18.6",37.7,"105.2","86.1","96.4","90.7","81.2","394","183","384","18",29.5,"4",6.6,3.8
"Sogard, Nick","686765","54","15.7",46.3,"101.6","87.4","96.4","89.9","85.5","372","183",,"17",31.5,"1",1.9,1.2
"Reyes, Pablo","622569","41","13.2",31.7,"108","88","98","88.9","90","386","155",,"13",31.7,"2",4.9,3.1
"Dalbec, Bobby","666915","41","10",19.5,"107.8","86","98.7","93.3","75.9","365","161","360","16",39,"1",2.4,1.1
"Westbrook, Jamie","642197","28","16.3",42.9,"106.5","89.4","98.7","93.5","83.6","426","183","407","10",35.7,"3",10.7,6.3
"Gasper, Mickey","681508","10","4.5",40,"104.9","90.7","99.9","94.7","86.7","297","146",,"4",40,"0",0,0
