"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Gomber, Austin","596295","541","15",37.5,"113","90.2","80","93.3","87.7","476","188","414","223",41.2,"52",9.6,7.5
"Feltner, Ryan","663372","495","11.9",33.1,"111.3","88.1","76.7","91.6","85.7","478","162","421","182",36.8,"32",6.5,4.6
"Quantrill, Cal","615698","466","11.1",37.1,"113.5","89.1","77.9","93.9","85.2","470","167","407","192",41.2,"34",7.3,5.2
"Freeland, Kyle","607536","378","15.2",34.7,"116","90.3","79.6","94","88","457","172","409","154",40.7,"40",10.6,8.2
"Hudson, Dakota","641712","300","7.6",31.3,"116.4","89.9","78.9","93.9","86.9","446","145","407","126",42,"19",6.3,4.7
"Blach, Ty","621389","270","13.2",37.8,"114","90.7","80.2","94.9","86.3","465","186","419","115",42.6,"33",12.2,10
"Vodnik, Victor","680767","217","4.5",27.6,"115.4","91.3","81.2","95.3","88.6","453","143","422","107",49.3,"17",7.8,5.3
"Molina, Anthony","683627","199","11.2",38.7,"111.8","90.4","79.1","94","87.6","436","162","403","91",45.7,"16",8,6.1
"Lambert, Peter","663567","198","16.1",38.9,"110.1","88.1","77.4","90.8","85.8","425","170","401","73",36.9,"12",6.1,4.3
"Lawrence, Justin","664875","194","5.7",32,"115.3","90","78.8","93.6","87.3","468","149","417","82",42.3,"15",7.7,5.4
"Kinley, Tyler","641755","178","15.5",37.6,"113.1","87.5","75.7","92.7","80.7","461","183","401","59",33.1,"16",9,5.6
"Gordon, Tanner","685299","125","15.9",33.6,"114.8","90.2","80.3","91.9","88.8","448","179","400","46",36.8,"10",8,6.3
"Bird, Jake","656234","125","11.3",30.4,"110","88.3","75.9","93.9","83.1","439","157","412","52",41.6,"11",8.8,5.9
"Blalock, Bradley","687134","106","14.3",42.5,"111.8","90.5","79.5","94.5","85.3","432","194","400","50",47.2,"11",10.4,7.5
"Chivilli, Angel","683409","94","9.3",31.9,"111","89.1","77.5","94.3","86.4","424","156","402","44",46.8,"10",10.6,7.5
"Davis, Noah","663562","74","15.2",29.7,"113.1","88.1","76.7","91","87.4","425","164","415","25",33.8,"4",5.4,4.2
"Criswell, Jeff","676105","50","11.9",50,"110.5","87.7","74.8","92.4","80.2","429","188","412","21",42,"6",12,6.9
"Rogers, Josh","642028","42","20.4",35.7,"113.1","89.3","78.9","88.6","93.7","449","196","449","18",42.9,"2",4.8,4
"Senzatela, Antonio","622608","39","16.5",43.6,"111.3","89.9","78.5","95.9","85.5","460","178","436","18",46.2,"6",15.4,11.1
"Hill, Jaden","677955","33","6.5",15.2,"105.6","90.6","83.7","89.4","91.5","380","138","378","14",42.4,"1",3,2.2
"Hartlieb, Geoff","664129","33","14.2",39.4,"104.7","88.1","78","89.9","88.2","433","174","433","12",36.4,"3",9.1,6.8
"Carasiti, Matt","571539","32","10.5",46.9,"109.3","90.5","78.7","92","89","438","171","420","15",46.9,"1",3.1,2.3
"Halvorsen, Seth","678020","30","16.2",26.7,"114.7","92.4","83.2","91.2","94.8","432","152","407","14",46.7,"2",6.7,4.3
"Peralta, Luis","678821","28","14.7",39.3,"105.9","91.2","84.2","91.9","89.9","377","187",,"10",35.7,"0",0,0
"Márquez, Germán","608566","13","15.4",23.1,"107.9","93.1","83.5","96.6","93.1","403","169","403","7",53.8,"1",7.7,5
"Curtiss, John","595928","11","23.7",63.6,"101.2","88.8","80.4","92","79.2","385","234","380","6",54.5,"2",18.2,16.7
"Gilbreath, Lucas","656458","10","8.9",20,"103.5","86.2","72.2","90.6","82.6","339","126","339","5",50,"0",0,0
"Pint, Riley","666207","8","23",50,"107.6","91.1","82.3","95.1","93.3","427","243","406","3",37.5,"1",12.5,4.5
"Koch, Matt","571863","4","17.9",50,"105.5","94.4","86.4","94.6","93.8","409","244","409","2",50,"1",25,20
"Shreve, Chasen","592741","4","-5",25,"108.3","103","99.5",,"103","137","65",,"4",100,"0",0,0
