"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Witt Jr., Bobby","677951","538","15.1",35.7,"116.9","92.7","104","95.3","91.1","468","187","410","260",48.3,"77",14.3,10.9
"Garcia, Maikel","672580","481","6.4",33.9,"108.6","90.4","100.1","92.4","89.5","423","147","401","206",42.8,"18",3.7,2.9
"Perez, Salvador","521692","467","19",39.4,"113.3","91.1","101.9","95.1","86.7","457","196","420","209",44.8,"57",12.2,8.7
"Pasquantino, Vinnie","686469","439","14.6",31.9,"112.2","91","101","93.7","90.8","442","175","397","204",46.5,"31",7.1,5.6
"Pham, Tommy","502054","335","11",32.2,"112.9","90.4","101.1","94","88.3","441","158","399","143",42.7,"24",7.2,5
"Isbel, Kyle","664728","306","9",24.8,"109.6","88.1","99.4","91.7","87.2","412","137","397","111",36.3,"12",3.9,2.8
"Renfroe, Hunter","592669","302","16.7",27.8,"112","88.5","100.3","92.3","86.2","434","164","398","119",39.4,"20",6.6,4.7
"Melendez, MJ","669004","299","14.6",29.1,"112.9","91.1","101.5","95.3","89","431","169","398","135",45.2,"25",8.4,5.5
"DeJong, Paul","657557","294","20",36.4,"111.5","87.8","100","93.3","80.9","435","188","394","122",41.5,"30",10.2,6.2
"Massey, Michael","686681","282","16.8",34.4,"110","89.2","98.4","92.8","85.4","434","180","392","104",36.9,"20",7.1,5.6
"Fermin, Freddy","666023","277","11.1",28.5,"108.1","88.2","97.9","89.2","88.5","403","137","377","94",33.9,"9",3.2,2.4
"Frazier, Adam","624428","206","15.3",37.9,"106.3","84.5","95","87.2","82.5","414","160","386","47",22.8,"6",2.9,2
"Hampson, Garrett","641658","158","16.1",31,"109.1","86","96.9","89.5","82.8","398","166",,"48",30.4,"7",4.4,3
"Grossman, Robbie","543257","152","13.3",30.3,"107","86.3","96.1","90.5","83.2","413","155","381","42",27.6,"5",3.3,2
"Velázquez, Nelson","676369","147","17.4",29.9,"111","88.2","99.4","93.4","82.1","437","179","413","56",38.1,"13",8.8,5.7
"Loftin, Nick","679845","127","9.9",29.9,"104.9","83.6","95.3","87.2","81","394","138","394","33",26,"4",3.1,2.3
"Blanco, Dairon","680118","90","8.6",25.6,"107.4","89","99.7","95.1","86","413","142","406","34",37.8,"7",7.8,5.3
"Gurriel, Yuli","493329","41","7.5",34.1,"106","90.3","101.8","94.8","88.3","395","161",,"22",53.7,"1",2.4,1.5
"Waters, Drew","671221","10","3.8",20,"95.9","77.9","88.6","92.2","69.4","363","133",,"2",20,"0",0,0
"Alexander, CJ","680769","5","19.8",60,"98","79.2","88.5","84.5","57.7","387","226",,"1",20,"1",20,12.5
"Gentry, Tyler","694355","3","41.8",0,"97.7","95","95.9","94.2","97.7","254","136",,"1",33.3,"0",0,0
