"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Keith, Colt","690993","408","11.3",34.6,"109.4","87.8","98.5","91","85.2","426","162","395","144",35.3,"23",5.6,4.1
"Vierling, Matt","663837","402","11.7",34.1,"111.2","89.8","100.2","93","88.3","426","161","385","163",40.9,"30",7.5,5.3
"Greene, Riley","682985","358","12.2",39.1,"114","91.3","102.1","95.3","86.7","427","177","391","168",47.1,"48",13.4,8.2
"Pérez, Wenceel","672761","300","18",37.7,"109.1","88.4","97.3","91.1","86.6","411","174","385","91",30.6,"13",4.3,3.1
"Torkelson, Spencer","679529","238","20.2",31.5,"109","89","99.7","92.1","87.7","446","174","405","94",39.7,"16",6.7,4.2
"McKinstry, Zach","656716","230","18.7",37.8,"108.1","88","97.3","92.1","82.7","407","192","372","75",32.6,"10",4.3,3.1
"Rogers, Jake","668670","213","15.7",32.9,"107.1","89","99.2","94.2","83.7","443","181","390","89",41.8,"21",9.9,6.2
"Báez, Javier","595879","206","11.2",27.7,"111.1","88.3","100.5","92.4","85.9","409","148","392","82",40,"16",7.8,5.5
"Meadows, Parker","678009","196","18.5",34.7,"110","87","98","91.6","82.6","427","184","400","63",32.3,"15",7.7,5
"Carpenter, Kerry","681481","192","17.6",40.1,"109.6","90.5","100.9","94.9","85.1","430","190","393","89",46.4,"34",17.7,11.5
"Ibáñez, Andy","628451","163","20.3",33.7,"108.6","88.1","97.9","92.6","85.6","405","174","384","54",33.1,"8",4.9,3.3
"Malloy, Justyn-Henry","669234","119","18.7",31.9,"107.9","87.6","98.3","92.9","81.3","413","190","399","45",37.8,"13",10.9,5.7
"Sweeney, Trey","700242","79","12.8",27.8,"109","91.1","100.9","95.8","87.1","414","172","399","37",46.8,"7",8.9,5.9
"Dingler, Dillon","693307","54","9.6",35.2,"107.9","89.8","101.1","94.6","88.2","406","158","406","26",48.1,"2",3.7,2.3
"Jung, Jace","690291","50","11",32,"107.4","86.4","98.1","88.1","86.1","393","148",,"17",34,"2",4,2.1
"Madris, Bligh","676632","48","23.7",37.5,"108.3","87.1","98.8","92.6","84.9","422","174","422","17",35.4,"5",10.4,6.7
"Baddoo, Akil","668731","47","21",25.5,"109.3","91.1","100.7","95.5","90.5","404","183","393","22",46.8,"6",12.8,7.3
"Kreidler, Ryan","668952","40","13.2",17.5,"105.9","82","94.2","89.2","75.3","395","139","395","9",22.5,"2",5,3.1
"Vilade, Ryan","668723","35","5.5",25.7,"107.6","86.2","98.9","85.4","86.9","389","118","389","13",37.1,"2",5.7,4.1
