"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Santana, Carlos","467793","424","16.1",30.9,"113.6","89.2","99.5","93.3","87.4","425","171","392","169",39.9,"31",7.3,5.2
"Castro, Willi","650489","413","13.6",38.7,"112.3","87.4","98.9","91.2","84","432","175","399","152",36.8,"29",7,4.6
"Miranda, Jose","669304","339","15.5",33.9,"110.7","88.9","99.4","92.3","87.4","437","173","405","132",38.9,"20",5.9,4.7
"Jeffers, Ryan","680777","325","16.2",31.7,"113.9","86.9","99","92.2","83.5","416","171","388","110",33.8,"27",8.3,5.8
"Kepler, Max","596146","291","16.8",35.4,"115.4","88.9","99.6","92.3","85.7","426","185","406","107",36.8,"18",6.2,4.5
"Larnach, Trevor","663616","268","12.4",36.2,"113.2","92","102.4","94.5","89.8","441","177","400","121",45.1,"27",10.1,6.8
"Margot, Manuel","622534","265","13.8",30.6,"111.2","88.2","98.9","91.6","86.8","419","165","404","89",33.6,"13",4.9,3.8
"Correa, Carlos","621043","262","8.9",34.4,"113.9","90.3","102.5","94.1","88","442","161","401","117",44.7,"24",9.2,6.5
"Buxton, Byron","621439","258","19.8",39.5,"113.2","91.7","102.5","95.6","88.2","456","198","407","124",48.1,"34",13.2,8.8
"Vázquez, Christian","543877","238","16.1",36.1,"108.8","88.5","98","91.6","86.3","425","169","389","87",36.6,"9",3.8,2.9
"Lewis, Royce","668904","223","16.8",36.3,"111.6","87.1","99.7","92.4","82.7","435","179","395","84",37.7,"25",11.2,7.7
"Martin, Austin","668885","188","12.7",39.4,"108.8","87.2","96.6","90.7","84","389","163","376","63",33.5,"2",1.1,0.8
"Farmer, Kyle","571657","168","17.9",36.3,"108.7","87.7","97","90.8","84.1","427","188","402","50",29.8,"9",5.4,3.7
"Julien, Edouard","666397","164","11.9",38.4,"110.2","87.8","98.9","94.4","79.8","412","173","384","62",37.8,"16",9.8,5.3
"Lee, Brooks","686797","147","12.5",36.7,"107.4","85.8","95.6","90.7","81.7","409","162","389","36",24.5,"6",4.1,3.2
"Wallner, Matt","670242","126","21.6",38.1,"116.8","92.8","104.6","96.6","88.7","444","201","405","67",53.2,"22",17.5,8.4
"Kirilloff, Alex","666135","115","13.2",27,"107.1","91.3","100.3","96.5","88","402","170","387","47",40.9,"13",11.3,7.3
"Keirsey Jr., DaShawn","680577","12","4.5",50,"104.9","84.7","95.7","87.8","80.3","368","179","368","4",33.3,"2",16.7,14.3
"Helman, Michael","680737","7","19.8",14.3,"98.8","86.1","94.1","83.9","86.1","348","140",,"2",28.6,"0",0,0
"Castillo, Diego A.","660636","5","0.1",40,"101.6","81.4","91.2","76.7","84.5","237","102",,"1",20,"0",0,0
"Camargo, Jair","665856","3","-1.1",0,"85.7","78.5","83.7",,"78.5","78","36",,"0",0,"0",0,0
