"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"López, Pablo","641154","523","13.3",35.9,"113","87.9","76.7","91.8","84.2","467","163","393","196",37.5,"43",8.2,5.6
"Ober, Bailey","641927","469","20.4",34.5,"113.8","87.5","76.7","92.3","81.7","445","187","405","161",34.3,"39",8.3,5.5
"Woods Richardson, Simeon","680573","401","18.5",35.4,"109.4","88.4","78.1","92.5","85","424","183","393","145",36.2,"33",8.2,5.8
"Irvin, Cole","608344","379","15.3",38.5,"116.6","89.9","79.7","93.4","86.3","448","183","399","155",40.9,"48",12.7,9.8
"Ryan, Joe","657746","363","18.5",33.3,"116.4","88.3","77.1","93.1","84.5","431","172","396","133",36.6,"31",8.5,5.8
"Paddack, Chris","663978","283","14.3",39.9,"115.5","90.4","79.4","94.5","86.7","427","180","400","122",43.1,"28",9.9,7.3
"Tonkin, Michael","543859","217","12.5",35.9,"111.3","88","76.9","91.7","83.3","423","165","398","76",35,"16",7.4,4.7
"Sands, Cole","663485","189","17.6",32.8,"113","89","78.6","91.8","87.2","458","180","391","70",37,"12",6.3,4.1
"Richards, Trevor","670950","177","18.8",31.1,"110.5","88.3","78.1","91.6","86.1","407","183","380","67",37.9,"12",6.8,4.3
"Festa, David","701581","175","15.1",41.1,"111.8","89.5","79.4","92.5","87.5","459","180","412","68",38.9,"15",8.6,5.4
"Varland, Louie","686973","169","11.1",41.4,"114","90.6","80.3","93.4","88","435","174","400","76",45,"15",8.9,6.3
"Jax, Griffin","643377","163","6.3",23.9,"111.3","88.2","77.1","92.1","85.8","415","141","395","63",38.7,"13",8,4.7
"Alcala, Jorge","660896","153","19",32,"109","86.6","75.4","92.1","81.8","443","176","401","50",32.7,"11",7.2,4.7
"Duran, Jhoan","661395","141","-3.1",27.7,"109.9","87","74.9","92.7","85.7","410","112","380","51",36.2,"5",3.5,2.2
"Thielbar, Caleb","573204","139","16.2",33.8,"110.4","88.3","77.1","93.2","84.2","432","167","408","47",33.8,"14",10.1,6.5
"Matthews, Zebby","805673","121","14.1",38,"109.4","90.5","81","95","86.3","442","188","402","51",42.1,"17",14,9.6
"Funderburk, Kody","681892","109","6",35.8,"112.4","87.8","76.3","92.9","85.9","434","133","407","38",34.9,"8",7.3,5
"Okert, Steven","595345","108","19.7",36.1,"111.4","85.5","74","91.3","80.6","445","173","402","32",29.6,"9",8.3,5.6
"Jackson, Jay","543351","76","16",42.1,"111.8","88.3","77.3","92.3","82.8","439","181","397","32",42.1,"8",10.5,7
"Staumont, Josh","622251","69","11.8",29,"110.2","86.8","75.4","92.8","84.2","384","146",,"24",34.8,"2",2.9,2
"Henriquez, Ronny","678692","60","7.4",30,"107.7","91.7","82.8","95.5","90.1","412","142","384","30",50,"5",8.3,6.1
"Blewett, Scott","656240","58","14.3",27.6,"112.9","91.9","82.3","93.9","90.9","419","162","400","27",46.6,"5",8.6,5.9
"Stewart, Brock","592779","39","15.6",48.7,"112.2","91.2","79","95.1","86.9","400","187","386","23",59,"1",2.6,1.5
"Dobnak, Randy","677976","33","8.4",30.3,"114.7","89.2","79.1","93.2","87.1","414","131","414","10",30.3,"2",6.1,4.4
"Castillo, Diego","650895","29","18.3",13.8,"110.5","89","77.2","87.9","94.5","344","132",,"11",37.9,"0",0,0
"Winder, Josh","680739","25","11.1",32,"106.4","85.4","73.9","90.8","82.6","412","176",,"9",36,"1",4,2.6
"Farmer, Kyle","571657","18","7.9",16.7,"102.9","84.6","71","90.2","83.5","411","126",,"7",38.9,"1",5.6,5.3
"Boushley, Caleb","676961","17","20.1",17.6,"113.8","85.9","74","87.5","90.4","395","158",,"7",41.2,"2",11.8,10
"Duarte, Daniel","650960","11","7.4",27.3,"105.5","86.1","74","94.8","78.9","402","148","402","4",36.4,"1",9.1,6.7
"Topa, Justin","623437","6","10.6",16.7,"88.7","75.2","65.8","72.9","78.7","197","93",,"0",0,"0",0,0
"Headrick, Brent","687396","6","9.2",50,"106.6","92.4","82","94.3","90.5","423","192","423","3",50,"1",16.7,7.7
"Wallner, Matt","670242","6","27.3",66.7,"105.5","89","77.2","89",,"312","240",,"3",50,"0",0,0
"Castro, Willi","650489","4","16.6",25,"100.1","95.9","92.5","99.3","92.5","380","223",,"2",50,"0",0,0
