"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Vaughn, Andrew","683734","443","16.6",33.6,"112.2","90.3","100.9","93.8","87.8","432","176","403","192",43.3,"41",9.3,6.6
"Benintendi, Andrew","643217","384","16.1",36.5,"109.5","88","97.2","92","83.8","415","180","382","132",34.4,"24",6.3,4.6
"Sheets, Gavin","657757","348","13.5",41.1,"110","87.8","98.9","90.9","86","410","173","384","123",35.3,"20",5.7,4
"Lopez, Nicky","670032","337","5.6",30,"106.5","85","94.1","89.1","83.3","397","124","383","57",16.9,"5",1.5,1.1
"Sosa, Lenyn","672820","277","12.3",42.2,"110.7","89","99.4","93","85.5","406","174","387","114",41.2,"17",6.1,4.6
"Lee, Korey","686676","255","9.6",34.1,"110","88.3","99.5","92.1","86","436","153","403","96",37.6,"19",7.5,4.8
"Robert Jr., Luis","673357","253","13.5",35.6,"113","90.1","101.2","93.8","86.3","470","177","402","103",40.7,"25",9.9,5.9
"Senzel, Nick","669222","176","15.5",38.6,"106.9","84","95.7","89.4","80.3","415","161","400","47",26.7,"10",5.7,3.7
"Fletcher, Dominic","666150","168","12.1",38.7,"105.4","84.4","95.8","87.9","84.1","394","148","394","45",26.8,"3",1.8,1.2
"Vargas, Miguel","678246","152","21.3",28.9,"110.8","86.2","96","90.3","79.6","404","185","379","40",26.3,"7",4.6,3
"Julks, Corey","667452","124","15",33.9,"108.5","84.9","97","89.3","81.9","408","170","388","36",29,"4",3.2,2.1
"Mendick, Danny","664901","98","13.9",31.6,"108.1","83.8","94.6","89.4","78.8","404","162","402","22",22.4,"6",6.1,4.3
"Maldonado, Martín","455117","87","20.1",29.9,"107.7","88","98.5","93.3","82.5","408","167","381","31",35.6,"7",8,4.8
"Baldwin, Brooks","681460","84","26.2",34.5,"105.9","87.4","96.9","90.4","84.7","409","185","380","27",32.1,"4",4.8,3.3
"Ramos, Bryan","682868","78","11.8",35.9,"106.4","90.1","100.6","92.2","89.9","397","174","388","36",46.2,"5",6.4,4.6
"Shewmake, Braden","669699","56","14.3",26.8,"109.1","86.5","95.8","89.7","86.7","375","137","375","15",26.8,"2",3.6,3
"Robinson, Chuckie","642020","50","1.2",28,"107.1","81.4","93.5","85.2","81.1","374","111",,"11",22,"1",2,1.3
"DeLoach, Zach","676113","46","3",28.3,"104.4","87.4","97.4","90.4","84.7","401","134","401","15",32.6,"0",0,0
"Amaya, Jacob","676070","40","6.3",30,"104.6","87.8","97.5","89.1","87","370","128",,"13",32.5,"1",2.5,1.4
"Moncada, Yoán","660162","29","6.1",37.9,"108.6","90.2","98.1","88","92.3","393","128",,"10",34.5,"0",0,0
"Remillard, Zach","621545","24","14.3",25,"105.3","86.9","96.7","87.4","86.2","376","151",,"7",29.2,"1",4.2,2.6
"Colás, Oscar","693049","23","7.1",26.1,"109.2","89.9","101.7","87.1","91.4","365","103",,"10",43.5,"0",0,0
"Ortega, Rafael","542364","11","11.6",18.2,"104.1","85.1","100.7","89.6","86","354","145",,"5",45.5,"0",0,0
