"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Volpe, Anthony","683011","486","8.4",33.1,"108.7","87.7","98.2","91.6","84.9","421","146","383","172",35.4,"19",3.9,2.8
"Verdugo, Alex","657077","478","9.9",31.6,"110.7","88.3","98","91.6","86.5","422","151","390","167",34.9,"27",5.6,4.3
"Torres, Gleyber","650402","461","15",38.2,"111.2","88.6","98.3","91.9","85.3","418","177","380","163",35.4,"29",6.3,4.4
"Soto, Juan","665742","461","10.7",35.4,"115.7","94.2","105.7","99.5","89.3","447","172","404","262",57,"91",19.7,12.8
"Chisholm Jr., Jazz","665862","412","11.4",29.4,"110.1","89.7","100.1","94.4","87.5","440","152","401","169",41.1,"40",9.7,6.4
"Judge, Aaron","592450","390","19",40.8,"117.5","96.2","107.2","99.9","89.6","477","219","409","238",61,"105",26.9,14.9
"Stanton, Giancarlo","519317","276","14.7",34.8,"120","94.6","108.2","100.4","91.3","451","181","414","152",55.3,"57",20.7,12.4
"Wells, Austin","669224","275","17.1",34.5,"111.2","88.4","99.7","93.2","84.2","423","179","398","107",38.9,"25",9.1,6
"Rizzo, Anthony","519203","274","14.3",31,"110.7","86.7","97.8","91.5","84.2","417","146","390","91",33.2,"11",4,2.9
"Cabrera, Oswaldo","665828","241","12.5",34,"107.2","88.2","97.6","89.3","89","387","156","363","84",34.9,"9",3.7,2.8
"LeMahieu, DJ","518934","173","1.9",31.8,"108.4","88.5","98.3","92.7","86","400","139","384","65",37.6,"10",5.8,4.4
"Trevino, Jose","624431","171","9.9",26.9,"107.8","88.1","98","91.3","86.1","409","150","383","60",35.1,"9",5.3,3.8
"Grisham, Trent","663757","125","20",25.6,"107.7","90.6","100.4","95","86.6","404","177","379","58",46.4,"15",12,7.2
"Rice, Ben","700250","109","17.7",34.9,"110.8","90","99.7","93.7","87.9","407","191","399","40",36.7,"17",15.6,9.6
"Davis, J.D.","605204","103","2.8",24.3,"111.8","89.1","101.4","97.4","85.7","414","125","408","45",43.7,"9",8.7,5.7
"Berti, Jon","542932","53","11",41.5,"110.7","84.2","96.6","86.5","82.5","366","162","366","16",30.2,"1",1.9,1.4
"Domínguez, Jasson","691176","37","5.1",24.3,"109.3","89.4","103.2","96.7","89.1","414","117","406","17",45.9,"4",10.8,6
"Jones, Jahmai","663330","27","15.8",29.6,"109.5","85.2","100","93.1","78.3","385","176","383","11",40.7,"2",7.4,4.3
"Peraza, Oswald","672724","7","5.9",42.9,"105.1","87","97.1","94.7","86.5","398","158","398","2",28.6,"1",14.3,9.1
"Narvaez, Carlos","665966","7","8.7",28.6,"108.2","99.7","105.5","99.8","99.6","274","121",,"6",85.7,"0",0,0
"Trammell, Taylor","666211","4","31.2",0,"104.1","82","91.9","79.6","91.8","214","93",,"1",25,"0",0,0
"Ellis, Duke","668752","3","-21.1",33.3,"104.9","81.1","87.2","69.5","86.9","194","66",,"1",33.3,"0",0,0
